"tweet","retweets"
"RT @JusticeWillett: Allyson Felix already training for the 400m at #Tokyo2020. #TeamUSA https://t.co/pR96dr67My",216
"RT @milesplit: CRAZY FINISH! Shaunae Miller DIVES over the line in 49.44 to beat Allyson Felix (49.51) #Rio2016 #Athletics https://t.co/y22â€¦",215
"RT @iaaforg: Allyson Felix won her 7th Olympic medal in #Rio2016 
She has 4 gold &amp; 3 silver incl relays

Congrats @allysonfelix https://t.câ€¦",214
"RT @theScore: Shaunae Miller beats Allyson Felix in the 400m on a dive! Unbelievable. https://t.co/iJAlCVYRxI https://t.co/MV1KLN95ot",213
"RT @USATODAY: Shaunae Miller's unorthodox dive is an Olympic moment to remember https://t.co/9P8xo8InCX https://t.co/iI9NZAZBk1",212
"RT @JamaicaOlympics: #TeamUSA is out Women's 4x100M Final. Allyson Felix drops baton on first leg. https://t.co/9tvn8Qfkl0",212
"RT @liam_bp: Yup, you can win in track by diving across the line. As long as your torso makes it across first. https://t.co/MQG3qx4F2n",211
"RT @Umm_vanessa: Allyson Felix should've won but that other girl from the Bahamas wanted to be fake and throw herself so...",210
"RT @NBCSN: Usain Bolt and Allyson Felix run tonight in primetime on @NBC! https://t.co/wqcvetrFcx",210
"Usain Bolt and Allyson Felix run tonight in primetime on @NBC! https://t.co/wqcvetrFcx",210
"RT @LifeZette: How faith transformed the way this Olympic athlete competes https://t.co/kFzr8PodhM",209
"RT @InameAj: How Allyson Felix leave the stage #carryyacunny #BahamianTwitter",209
"How Allyson Felix leave the stage #carryyacunny #BahamianTwitter",209
"How faith transformed the way this Olympic athlete competes https://t.co/kFzr8PodhM",209
"RT @jerodsharp1517: Allyson Felix just got cheated from a gold medal. It's a foot race, not a diving race. #stillproud í ¼í·ºí ¼í·¸í ¼í¿†í ½í²ª",209
"RT @deikamorrison: How Miller beat Felix w/ perfectly legal dive across finish line via @SBNation https://t.co/PJLmRFDhJj https://t.co/fCuQâ€¦",209
"RT @nationalpost: A dive for gold: Shaunae Miller puts her body on the line to win womenâ€™s 400mn by 0.07 sec https://t.co/eXCclUlFLU https:â€¦",209
"RT @Ian_OConnor: Baseball coaches who swear you slow down when diving head-first into 1st base--how will they explain that to Allyson Felix?",209
"RT @Sportsnet: #ICYMI: Allyson Felix had a gold medal in her sights...

Until Shaunae Miller's epic finish: https://t.co/ZXglQ09WRE https:/â€¦",209
"Baseball coaches who swear you slow down when diving head-first into 1st base--how will they explain that to Allyson Felix?",209
"A dive for gold: Shaunae Miller puts her body on the line to win womenâ€™s 400mn by 0.07 sec https://t.co/eXCclUlFLU https://t.co/4RRqeLbxFI",209
"RT @NBCPhiladelphia: #BREAKING: @UgHLyDuCkLiN, Women's relay team make most of redo, qualify for 4x100m relay: https://t.co/kGVlEtmtBt http…",209
"RT @TaylorRooks: Great to see the team back out here. Veteran move by Allyson Felix to tell her team to FINISH. That focus got them back in.",209
"Great to see the team back out here. Veteran move by Allyson Felix to tell her team to FINISH. That focus got them back in.",209
"#BREAKING: @UgHLyDuCkLiN, Women's relay team make most of redo, qualify for 4x100m relay: https://t.co/kGVlEtmtBt https://t.co/VUrgzA1rlW",209
"RT @Slim__Iz: #TeamUSA will get a chance to rerun 4x100 heat! <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE> Allyson Felix and English Gardner are feeling redeemed. #trackandfield…",209
"#TeamUSA will get a chance to rerun 4x100 heat! <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE> Allyson Felix and English Gardner are feeling redeemed. #trackandfield #USA #Rio2016",209
"RT @ABC: Shaunae Miller's head-first dive at the finish line edgesÂ Allyson Felix in 400m. https://t.co/EdQL4dMTTI #Rio2016 https://t.co/z1fâ€¦",208
"RT @Blavity: Allyson Felix becomes the most decorated women's track &amp; field athlete in US history https://t.co/Qp3jDKT6Mg https://t.co/ZacH…",207
"RT @Blavity: Allyson Felix becomes the most decorated women's track &amp; field athlete in US history https://t.co/Qp3jDKT6Mg https://t.co/ZacHâ€¦",206
"RT @JusticeWillett: Allyson Felix is a #TeamUSA #Olympics legendâ€”the most decorated woman in U.S. track &amp; field history! í ½í±Ÿí ¼í·ºí ¼í·¸í ½í´¥í ½í±Ÿí ¼í·ºí ¼í·¸í ½í´¥
https://tâ€¦",205
"RT @TrackieNation: How I look after a 400 vs Allyson Felix after a 400 https://t.co/FAwKKCqehZ",205
"RT @trendincontent: Allyson Felix Wins Silver As The Bahamas' Miller Takes Gold In 400-Meter Final https://t.co/UgoX0UkUeZ https://t.co/T0Oâ€¦",205
"RT @USATODAY: Shaunae Miller's shining moment in photos: https://t.co/NbTsX9nIFq #Rio2016 #gold https://t.co/4yWb67T3tM",204
"RT @HuffingtonPost: Allyson Felix makes history after medaling in 400-meter dash https://t.co/0xR5ONrxEt https://t.co/EXEZ5Q1kBE",203
"RT @Sartor1836: So Shaunae Miller won a gold for the new event of land diving, apparently.

Allyson Felix won a gold for running the 400m,…",202
"RT @Sartor1836: So Shaunae Miller won a gold for the new event of land diving, apparently.

Allyson Felix won a gold for running the 400m,â€¦",201
"RT @si_olympics: Looks like Allyson Felix was hit while handing off the baton. #USA will likely appeal. https://t.co/wpp223Ly2H",200
"RT @SInow: Shaunae Miller upset Allyson Felix in the 400 meters by diving across the finish line https://t.co/TwfCt2qNf8 https://t.co/mMjBfâ€¦",199
"RT @CruzanChoklate: I have to give Allyson Felix props for handling it with grace, cause I would have kicked that girl in her neck.",198
"RT @LizzieReichart: Can we TALK about how FLAWLESS Allyson Felix is in every sense of the word?? You are my ultimate GOALS @allysonfelix htâ€¦",197
"RT @cnni: Dive! Shaunae Miller beats Allyson Felix for 400m gold by .07 seconds https://t.co/l0OHh4I2g3 #Rio2016 #Olympics https://t.co/4lm…",197
"RT @DrRKelly: My kids at end of a day at Disney.  Congrats #ShaunaeMiller !  https://t.co/ksmmnPeYQ5",196
"RT @triketora: Diving across the finish line shouldnâ€™t be allowed  https://t.co/5A0ZdIEYdB",196
"Diving across the finish line shouldnâ€™t be allowed  https://t.co/5A0ZdIEYdB",196
"RT @WritersofColour: Most athletes run on the track, but Alison Felix gives the impression of gliding across the surface: 
 https://t.co/4kâ€¦",196
"Most athletes run on the track, but Alison Felix gives the impression of gliding across the surface: 
 https://t.co/4kYy6H4kLy",196
"RT @guardian_sport: Shaunae Miller's Olympic-winning dive: unorthodox, but entirely legal. By @timmyhilleh https://t.co/wtLsjmbtdI https://â€¦",196
"Shaunae Miller's Olympic-winning dive: unorthodox, but entirely legal. By @timmyhilleh https://t.co/wtLsjmbtdI https://t.co/gsthAjLd6m",196
"My kids at end of a day at Disney.  Congrats #ShaunaeMiller !  https://t.co/ksmmnPeYQ5",196
"RT @itstmarie: I don't like that Shaunie Miller could dive across the line to beat Allyson Felix. Seems unfair. This is track...track meansâ€¦",196
"RT @hyperactive_gh: NEWS:USA wins 4x100m re-run appeal:A second-exchange bungle between Allyson Felix and Eng... https://t.co/44S9jOuq5f ht…",196
"NEWS:USA wins 4x100m re-run appeal:A second-exchange bungle between Allyson Felix and Eng... https://t.co/44S9jOuq5f https://t.co/jtdR6h6dA1",196
"RT @He_Say_She_Say: Allyson Felix is a goddess. Unslanderable",196
"Allyson Felix is a goddess. Unslanderable",196
"RT @RTNBA: Watch as Allyson Felix lost gold on a last second dive https://t.co/Lu54WgmYr1",196
"RT @Acquired_Taste: Let's discuss Allyson Felix &amp; Natasha Hastings and how I need both of them in my life...",196
"RT @kadsbrezi: Still doesn't change the fact that English Gardener and Allyson Felix are 2 of the most salty ppl on that team",196
