"tweet","retweets"
"RT @BreakingNews: USA's Ashton Eaton wins gold in men's decathlon for 2nd straight Olympics - NBC https://t.co/7hiQdheT6d",124
"RT @DumbFlotrack: Ashton Eaton is the best athlete in the world*

*who isn't superstar Quidditch Seeker Viktor Krum",123
"RT @JordanSpieth: Congrats Ashton Eaton world's greatest athlete <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>!",122
"RT @runnersworld: Decathlon: Ashton Eaton Extends Reign as Best All-Around Athlete https://t.co/pizppc4nA3 https://t.co/WqS3PekwpL",121
"RT @DanielSquizzato: How can folks question the ‚Äúpatriotism‚Äù of Gabby Douglas or Ashton Eaton? They‚Äôre literally *representing the USA* in‚Ä¶",120
"RT @HuffPostCanada: American athlete shamed online for wearing Canada hat to the Olympics #Rio2016 https://t.co/gaZbGPpXGr https://t.co/dfj‚Ä¶",120
"RT @TorontoStar: U.S. Olympian Ashton Eaton faces criticism for wearing ‚ÄòCanada‚Äô hat https://t.co/jjzi06wTS2 https://t.co/I2VAe8ns0I",120
"American athlete shamed online for wearing Canada hat to the Olympics #Rio2016 https://t.co/gaZbGPpXGr https://t.co/dfjspNm25G",120
"RT @TeamWorldVision: USA TODAY story featuring @WeAreEaton partnership with #TWV! Blown away by their hearts. https://t.co/CXohvdweLn https‚Ä¶",120
"RT @cbcasithappens: Ashton Eaton responds to 'traitor' backlash for supporting wife Brianne Theisen-Eaton: https://t.co/BeOUAMKTcB https://‚Ä¶",120
"RT @WorldVisionUSA: Olympians @AshtonJEaton and @btheiseneaton find ""true happiness"" while visiting Kenya with us: https://t.co/ebNaMOEuLg‚Ä¶",120
"Ashton Eaton responds to 'traitor' backlash for supporting wife Brianne Theisen-Eaton: https://t.co/BeOUAMKTcB https://t.co/O4Oz0qnvTC",120
"U.S. Olympian Ashton Eaton faces criticism for wearing ‚ÄòCanada‚Äô hat https://t.co/jjzi06wTS2 https://t.co/I2VAe8ns0I",120
"RT @CSNNW: The World's Greatest Athlete's story. *Caution- Have tissues ready* @AshtonJEaton @OregonTF https://t.co/MD0Pn5533Q
https://t.coÖ",120
"The World's Greatest Athlete's story. *Caution- Have tissues ready* @AshtonJEaton @OregonTF https://t.co/MD0Pn5533Q
https://t.co/2rguwPte8g",120
"RT @atty2thestars: For my tennis players https://t.co/7mL1YCl7Jf",120
"RT @nbcwashington: And the worldís greatest athlete is Ö. American Ashton Eaton! https://t.co/DdyC3N9FNq https://t.co/Ilw42EKpnT",120
"RT @SportsonEarth: ICYMI: Ashton Eaton celebrating with wife, Canada's Brianne Theisen-Eaton, after winning #Gold in the decathlon. https:/Ö",120
"RT @tennisdothow: American decathlete Ashton Eaton says tennis is the second most athletic sport https://t.co/sTEpsQzJLs via @BI_Sports",120
"For my tennis players https://t.co/7mL1YCl7Jf",120
"And the worldís greatest athlete is Ö. American Ashton Eaton! https://t.co/DdyC3N9FNq https://t.co/Ilw42EKpnT",120
"RT @SuperSportBlitz: USA's Ashton Eaton won Gold in the men's decathlon while Franceís Kevin Mayer claimed Silver &amp; Damian Warner of CanadaÖ",120
"RT @theScore: Ashton Eaton not expecting to return for Tokyo 2020. #USA https://t.co/dL7yEEFJn2 https://t.co/yMROYmIkN5",120
"RT @JulieCareyNBC: Face of an incredible champion. Decathalon #Gold again for Ashton Eaton  @nbcwashington https://t.co/FOiWrBjdhz",120
"ICYMI: Ashton Eaton celebrating with wife, Canada's Brianne Theisen-Eaton, after winning #Gold in the decathlon. https://t.co/DBts81ukSM",120
"Ashton Eaton not expecting to return for Tokyo 2020. #USA https://t.co/dL7yEEFJn2 https://t.co/yMROYmIkN5",120
"RT @OlympicRio016: Ashton Eaton still 'The World's Greatest Athlete' after win https://t.co/boR2RyVj9o https://t.co/fX6fmbrEsx",120
"RT @BleacherReport: Ashton Eaton once again wins #gold in the decathlon; first repeat winner since 1984 #USA (via @br_uk)

#Rio2016 https:/Ö",119
"RT @gregmyre1: Ashton Eaton repeats as Olympic decathlon champion just days after his wife wins a bronze in the heptathlon. https://t.co/H4Ö",118
"RT @FloTrack: Ashton Eaton ties the Olympic record and is back-to-back Olympic #gold medalist. #Rio2016 -&gt; https://t.co/euOAt4eomq https://Ö",117
"RT @USATODAY: Ashton Eaton repeats as decathlon gold medalist https://t.co/6kGkxOouhG https://t.co/jFBLR1DxVN",117
"RT @FOXSports: Ashton Eaton defends Olympic decathlon gold to retain title as ""world's greatest athlete."" https://t.co/1qxOe0jMYl",116
"RT @NCAATrackField: Ashton Eaton again the world's greatest athlete!

Oregon grad 1st since '84 to repeat #gold in decathlon! #NCAAtoRio htÖ",115
"RT @ChrisChavezSI: Ashton Eatonís resume has the World record, Olympic record, two Olympic gold medals and two world championship gold medaÖ",114
"RT @karagoucher: Great article on @AshtonJEaton who begins his attempt to defend his 2012 Olympic Decathlon Title Thursday. #rio2016 https:‚Ä¶",113
"Great article on @AshtonJEaton who begins his attempt to defend his 2012 Olympic Decathlon Title Thursday. #rio2016 https://t.co/DR08cTrZen",113
"RT @evanmitsui: And here they are: Brianne Theisen-Eaton + Canada cap-wearing husband decathlete Ashton https://t.co/29xZIZSYmW https://t.c‚Ä¶",113
"And here they are: Brianne Theisen-Eaton + Canada cap-wearing husband decathlete Ashton https://t.co/29xZIZSYmW https://t.co/pnyLEqV3c1",113
"RT @HTSportsNews: Ashton Eaton, worldís best all-round athlete, wins second straight gold. #decathlon #Olympics
https://t.co/f6TJCDuc4M",113
"Ashton Eaton, worldís best all-round athlete, wins second straight gold. #decathlon #Olympics
https://t.co/f6TJCDuc4M",113
"RT @KTVZ: CONGRATULATIONS to Central Oregon's own Ashton Eaton for capturing his second straight Olympic decathlon gold medal! https://t.coÖ",113
"CONGRATULATIONS to Central Oregon's own Ashton Eaton for capturing his second straight Olympic decathlon gold medal! https://t.co/8r8m4cvsbq",113
"RT @OregonTF: Twitter reacts to Ashton Eaton's Gold Medal https://t.co/J81ldzf6lC via @247Sports",113
"Twitter reacts to Ashton Eaton's Gold Medal https://t.co/J81ldzf6lC via @247Sports",113
"RT @BuzzFeedNews: USA's Ashton Eaton wins gold in the decathlon for a second time in a row, and gets a new Olympic record. Nbd https://t.coÖ",112
"RT @SoleCollector: Nike is giving newborn babies free shoes to celebrate Ashton Eaton's gold medal https://t.co/CQosRcUwoa https://t.co/ep9Ö",111
"Nike is giving newborn babies free shoes to celebrate Ashton Eaton's gold medal https://t.co/CQosRcUwoa https://t.co/ep9wpqYhBS",111
"RT @people: Ashton Eaton gets the gold in decathlon for second timeócelebrating with Olympian wife https://t.co/zAJ3lMUhjH https://t.co/N6sÖ",110
"Ashton Eaton gets the gold in decathlon for second timeócelebrating with Olympian wife https://t.co/zAJ3lMUhjH https://t.co/N6sySWZUnA",110
"RT @ChrisChavezSI: Ashton Eaton on the track for the decathlon 1,500. He needs a 4:23.25 to score 790 points and break the Olympic record.Ö",109
"RT @GlobalCalgary: Ashton Eaton, American decathlete, attacked on Twitter for wearing Canadian gear #Rio2016 https://t.co/D4XLlFetH6",108
"Ashton Eaton, American decathlete, attacked on Twitter for wearing Canadian gear #Rio2016 https://t.co/D4XLlFetH6",108
