"tweet","retweets"
"RT @TimesNow: You'll always be an inspiration @Abhinav_Bindra : Fmr Olympian @Ra_THORe #IndiaAtRio #Rio2016 #Olympics #GoldRushRio https://…",117
"RT @YUVSTRONG12: https://t.co/B7aenSayfg all the best @Abhinav_Bindra you make your country proud Jai hind !",117
"RT @virendersehwag: Thode Se reh gaye @Abhinav_Bindra bt efforts like urs unite&amp;help us realise pwr of sports,Not won medal bt won billion…",116
"RT @VanDiablo: Abhinav Bindra
Sania-Bopanna
Dipa Karmakar. 

All of a sudden #IND have become Arsenal. #Rio2016",115
"Abhinav Bindra
Sania-Bopanna
Dipa Karmakar. 

All of a sudden #IND have become Arsenal. #Rio2016",115
"RT @bishnoikuldeep: @Abhinav_Bindra You have always made the country proud. Your spirit is inspirational... 
https://t.co/wUxzCqUUx2",114
"RT @mainbhiengineer: Best of luck Abhinav Bindra, please note that India is looking at this Gold as desperately a newly married girl looks…",114
"RT @WhiteHouse: As we cheer on #TeamUSA, @POTUS &amp; @FLOTUS team up to share their favorite Olympic memories: https://t.co/p2YKF9QAFV https:/…",114
"RT @ojasvi_yuva: Our Players Need Our Support.
Please do support INDIA!
#Rio2016 #RioOlympics2016
@Abhinav_Bindra @DuttYogi https://t.co/He…",113
"Our Players Need Our Support.
Please do support INDIA!
#Rio2016 #RioOlympics2016
@Abhinav_Bindra @DuttYogi https://t.co/HeIY3y20af",113
"RT @mohanstatsman: Today in 2008 at the Beijing #Olympics Abhinav Bindra in men's 10m air rifle,  became the first and only Indian to win a…",112
"Today in 2008 at the Beijing #Olympics Abhinav Bindra in men's 10m air rifle,  became the first and only Indian to win an individual #Gold",112
"RT @ESPNIndia: Bindra asked to head independent inquiry to examine the shooting contingent’s failure to win a single medal
https://t.co/vUE…",111
"RT @Sports_NDTV: #Rio2016: There was a period of silence after London: #abhinavbindra on India's dismal show https://t.co/EU8iVf5bUI https:…",111
"#Rio2016: There was a period of silence after London: #abhinavbindra on India's dismal show https://t.co/EU8iVf5bUI https://t.co/8MEvNEBlNN",111
"Bindra asked to head independent inquiry to examine the shooting contingent’s failure to win a single medal
https://t.co/vUEDGpYOzJ
#Rio2016",111
"RT @atulkasbekar: @Abhinav_Bindra having said that AB, inexplicable the drop in medals from last games to this one. 
Needs an inquest of so…",111
"RT @NewsX: #Beijing #Olympics #gold medallist @Abhinav_Bindra blames system for #Ind's failure to open account in @Rio2016 https://t.co/Ac4…",111
"RT @ZeeNewsSports: Why does #IND struggle to win medals at #Olympics? Abhinav Bindra's tweet has the answer

https://t.co/B2HCNOAdlt https:…",111
"Why does #IND struggle to win medals at #Olympics? Abhinav Bindra's tweet has the answer

https://t.co/B2HCNOAdlt https://t.co/3lgU5LyuYH",111
"RT @CNNnews18: India is still waiting for its first medal even after sending its biggest ever contingent (118) to #Rio2016  
https://t.co/0…",111
"#Beijing #Olympics #gold medallist @Abhinav_Bindra blames system for #Ind's failure to open account in @Rio2016 https://t.co/Ac4DNUhfBq",111
"India is still waiting for its first medal even after sending its biggest ever contingent (118) to #Rio2016  
https://t.co/0ME9YC2mAd",111
"@Abhinav_Bindra having said that AB, inexplicable the drop in medals from last games to this one. 
Needs an inquest of some kind. Yes?",111
"RT @thecrazysim: Milkha singh
Abhinav Bindra
PT.Usha
Sania/Bopanna
And
Deepa karmakar
4th position is such a heartbreak. But they are heroe…",111
"Milkha singh
Abhinav Bindra
PT.Usha
Sania/Bopanna
And
Deepa karmakar
4th position is such a heartbreak. But they are heroes.",111
"RT @WithCongGuj: The Sports Minister was spotted at Abhinav Bindra’s event, too, but exited after the shooter ended fourth.

#SackVijayGoel",111
