"tweet","retweets"
"RT @televisionjam: Yohan Blake eases into second place with a time of 20.13s. He‚Äôs on to the semifinals Ì†ΩÌ±èÌ†ºÌøæ
#TVJRIO #Rio2016 https://t.co/kM‚Ä¶",54
"RT @_Kheemy: yohan blake is coming 2nd in that 200m finals. god's willing",9
"RT @CVMTV: Yohan Blake, Usain Bolt and Nickel Ashmeade through to semifinal round for the men's 200m. #RioDream #Rio2016 https://t.co/erZY8‚Ä¶",11
"RT @_Kheemy: yohan blake is coming 2nd in that 200m finals. god's willing",9
"RT @_Kheemy: yohan blake is coming 2nd in that 200m finals. god's willing",9
"RT @_Kheemy: yohan blake is coming 2nd in that 200m finals. god's willing",9
"RT @JamaicaOlympics: VIDEO: Yohan Blake Ì†ºÌ∑ØÌ†ºÌ∑≤ in Heat 2 of Men's 200M. Click https://t.co/wJvmrRZnSK to watch race. #TeamJamaica https://t.co/‚Ä¶",35
"RT @EuroAthletics: European champion Bruno Hortelano sets another #ESP record of 20.12 to beat Yohan Blake #JAM in the second 200m heat!",74
"Yohan Blake 2nd in Heat 2: Men's 200m at Rio Olympics https://t.co/EYijL0tOoT",1
"RT @_Kheemy: yohan blake is coming 2nd in that 200m finals. god's willing",9
"RT @SuperSportBlitz: Usain Bolt, Justin Gatlin, Yohan Blake &amp; Nigerian Ejowvokoghene Oduduru all advanced to the 200m semi-finals #Rio2016‚Ä¶",23
"RT @JamaicaOlympics: Yohan Blake, Usain Bolt and Nickel Ashmeade through to Men's semifinal round. #TeamJamaica Ì†ºÌ∑ØÌ†ºÌ∑≤ https://t.co/fyMzrE5uI4",70
"RT @_Kheemy: yohan blake is coming 2nd in that 200m finals. god's willing",9
"RT @_Kheemy: yohan blake is coming 2nd in that 200m finals. god's willing",9
"RT @_Kheemy: yohan blake is coming 2nd in that 200m finals. god's willing",9
"RT @JamaicaOlympics: VIDEO: Yohan Blake Ì†ºÌ∑ØÌ†ºÌ∑≤ in Heat 2 of Men's 200M. Click https://t.co/wJvmrRZnSK to watch race. #TeamJamaica https://t.co/‚Ä¶",35
"RT @_Kheemy: yohan blake is coming 2nd in that 200m finals. god's willing",9
"RT @PSimpsonMiller: Congratulations to Yohan Blake, Nickel Ashmeade and Usain Bolt for advancing to the 200m semifinals #JAM #Rio2016",43
"RT @PSimpsonMiller: Congratulations to Yohan Blake, Nickel Ashmeade and Usain Bolt for advancing to the 200m semifinals #JAM #Rio2016",43
"RT @TnFjunkie: Nice Interview with Yohan Blake after 200m heat

#TracknFieldJunkie https://t.co/AOMnDwLGx4",2
"RT @_Kheemy: yohan blake is coming 2nd in that 200m finals. god's willing",9
"RT @_Kheemy: yohan blake is coming 2nd in that 200m finals. god's willing",9
"RT @_Kheemy: yohan blake is coming 2nd in that 200m finals. god's willing",9
"RT @CANOCBroadcast: Yohan Blake #JAM @JamaicaOlympics 2nd; S.Hart #BAH 7th: 200M Heat#2 @ESPN_Caribbean #CANOC2016 #RioESPN #Rio2016 https:‚Ä¶",21
"yohan blake is coming 2nd in that 200m finals. god's willing",9
"RT @EWNsport: #Rio2016 @teamsa16's Anaso Jobodwana has finished 4th in heat 2 - Yohan Blake came 2nd in the heat.",49
"RT @AndrewHolnessJM: Congrats to Yohan Blake (20.13s), Nickel Ashmeade (20.15s) and Usain Bolt (20.28s) on making it through to the 200m Se‚Ä¶",73
"RT @AndrewHolnessJM: Congrats to Yohan Blake (20.13s), Nickel Ashmeade (20.15s) and Usain Bolt (20.28s) on making it through to the 200m Se‚Ä¶",73
"RT @BiIlionaires: Sprinter Yohan Blake wore a Richard Mille watch in 100m final tonight reportedly worth $1 million https://t.co/riE6KCklag",83
"Would be awesome on the track too, imagine a team of Usain Bolt, Shelly-Ann Fraser-Pryce, Elaine Thompson + Yohan Blake #olympics #athletics",1
"RT @JamaicaOlympics: VIDEO: Yohan Blake Ì†ºÌ∑ØÌ†ºÌ∑≤ in Heat 2 of Men's 200M. Click https://t.co/wJvmrRZnSK to watch race. #TeamJamaica https://t.co/‚Ä¶",35
"RT @SuperSportBlitz: Usain Bolt, Justin Gatlin, Yohan Blake &amp; Nigerian Ejowvokoghene Oduduru all advanced to the 200m semi-finals #Rio2016‚Ä¶",23
"RT @BiIlionaires: Sprinter Yohan Blake wore a Richard Mille watch in 100m final tonight reportedly worth $1 million https://t.co/riE6KCklag",83
"RT @_Lolami: So Divine Oduduru and Yohan Blake were robots eh? Anuofia https://t.co/RZNy2h6Dk0",68
"RT @BiIlionaires: Sprinter Yohan Blake wore a Richard Mille watch in 100m final tonight reportedly worth $1 million https://t.co/riE6KCklag",83
"RT @BiIlionaires: Sprinter Yohan Blake wore a Richard Mille watch in 100m final tonight reportedly worth $1 million https://t.co/riE6KCklag",83
"RT @BiIlionaires: Sprinter Yohan Blake wore a Richard Mille watch in 100m final tonight reportedly worth $1 million https://t.co/riE6KCklag",83
"RT @BiIlionaires: Sprinter Yohan Blake wore a Richard Mille watch in 100m final tonight reportedly worth $1 million https://t.co/riE6KCklag",83
"RT @BiIlionaires: Sprinter Yohan Blake wore a Richard Mille watch in 100m final tonight reportedly worth $1 million https://t.co/riE6KCklag",83
"RT @AdaoraKaycee: After Yohan Blake replied 'ok' to that woman showing love on Twitter, this is his karmaÌ†ΩÌ∏ÇÌ†ΩÌ∏≠ next time he'll add atleast a s‚Ä¶",53
"RT @BiIlionaires: Sprinter Yohan Blake wore a Richard Mille watch in 100m final tonight reportedly worth $1 million https://t.co/riE6KCklag",83
"RT @JamaicaOlympics: VIDEO: Yohan Blake Ì†ºÌ∑ØÌ†ºÌ∑≤ in Heat 2 of Men's 200M. Click https://t.co/wJvmrRZnSK to watch race. #TeamJamaica https://t.co/‚Ä¶",35
"RT @televisionjam: 20.15secs to win heat 6 by Nickel Ashmeade to join Yohan Blake in the 200m semifinals
#TvjRio #Rio2016 https://t.co/RaCQ‚Ä¶",3
"RT @BiIlionaires: Sprinter Yohan Blake wore a Richard Mille watch in 100m final tonight reportedly worth $1 million https://t.co/riE6KCklag",83
"RT @JamaicaOlympics: VIDEO: Yohan Blake Ì†ºÌ∑ØÌ†ºÌ∑≤ in Heat 2 of Men's 200M. Click https://t.co/wJvmrRZnSK to watch race. #TeamJamaica https://t.co/‚Ä¶",35
"RT @televisionjam: 20.15secs to win heat 6 by Nickel Ashmeade to join Yohan Blake in the 200m semifinals
#TvjRio #Rio2016 https://t.co/RaCQ‚Ä¶",3
"RT @JamaicaOlympics: VIDEO: Yohan Blake Ì†ºÌ∑ØÌ†ºÌ∑≤ in Heat 2 of Men's 200M. Click https://t.co/wJvmrRZnSK to watch race. #TeamJamaica https://t.co/‚Ä¶",35
"Olympic Focus: Yohan Blake https://t.co/GIExqNpew8",1
"Olympic Focus: Yohan Blake https://t.co/vCv2HvE8FQ",1
"RT @televisionjam: 20.15secs to win heat 6 by Nickel Ashmeade to join Yohan Blake in the 200m semifinals
#TvjRio #Rio2016 https://t.co/RaCQ‚Ä¶",3
"Nice Interview with Yohan Blake after 200m heat

#TracknFieldJunkie https://t.co/AOMnDwLGx4",2
"@GarrySullivan80 @Mlynx_92 @BBCSport he is no yohan Blake let alone comparing him to the bolt",1
"RT @PSimpsonMiller: Congratulations to Yohan Blake, Nickel Ashmeade and Usain Bolt for advancing to the 200m semifinals #JAM #Rio2016",43
"RT @A96oaye: @BBCSport So did Yohan Blake and Divine Oduduru...",85
"RT @JamaicaOlympics: VIDEO: Yohan Blake Ì†ºÌ∑ØÌ†ºÌ∑≤ in Heat 2 of Men's 200M. Click https://t.co/wJvmrRZnSK to watch race. #TeamJamaica https://t.co/‚Ä¶",35
"So Divine Oduduru and Yohan Blake were robots eh? Anuofia https://t.co/RZNy2h6Dk0",68
"RT @JamaicaOlympics: VIDEO: Yohan Blake Ì†ºÌ∑ØÌ†ºÌ∑≤ in Heat 2 of Men's 200M. Click https://t.co/wJvmrRZnSK to watch race. #TeamJamaica https://t.co/‚Ä¶",35
"RT @JamaicaOlympics: Yohan Blake, Usain Bolt and Nickel Ashmeade through to Men's semifinal round. #TeamJamaica Ì†ºÌ∑ØÌ†ºÌ∑≤ https://t.co/fyMzrE5uI4",70
"RT @JamaicaOlympics: VIDEO: Yohan Blake Ì†ºÌ∑ØÌ†ºÌ∑≤ in Heat 2 of Men's 200M. Click https://t.co/wJvmrRZnSK to watch race. #TeamJamaica https://t.co/‚Ä¶",35
"Odurudu finished in a record time of 20.34 while Usain Bolt finished at 20.28. Justin Gatlin and Yohan Blake got to the semi-finals too",1
"Tyson Gay didn't want no parts of Yohan Blake Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç",1
"RT @CANOCBroadcast: Yohan Blake #JAM @JamaicaOlympics 2nd; S.Hart #BAH 7th: 200M Heat#2 @ESPN_Caribbean #CANOC2016 #RioESPN #Rio2016 https:‚Ä¶",21
"The madness Yohan Blake does to Tyson Gay on the 3rd leg Ì†ΩÌ∏ÖÌ†ΩÌ∏Ö https://t.co/F2K9L8xkSk",1
"RT @CANOCBroadcast: Yohan Blake #JAM @JamaicaOlympics 2nd; S.Hart #BAH 7th: 200M Heat#2 @ESPN_Caribbean #CANOC2016 #RioESPN #Rio2016 https:‚Ä¶",21
"RT @A96oaye: @BBCSport So did Yohan Blake and Divine Oduduru...",85
"RT @CANOCBroadcast: Yohan Blake #JAM @JamaicaOlympics 2nd; S.Hart #BAH 7th: 200M Heat#2 @ESPN_Caribbean #CANOC2016 #RioESPN #Rio2016 https:‚Ä¶",21
"RT @_Kheemy: yohan blake get so humble now. is a good look bredda.",7
"RT @SuperSportBlitz: Usain Bolt, Justin Gatlin, Yohan Blake &amp; Nigerian Ejowvokoghene Oduduru all advanced to the 200m semi-finals #Rio2016‚Ä¶",23
"RT @EarlMoxam: Yohan Blake: ""Usain is chasing immortality; I am chasing a piece of history"".",77
