"tweet","retweets"
"RT @rwalkeradvocate: Tori Bowie didn't practice on a track in high school. Her coach estimated 100 &amp; 200 meters and they ran on the pavemen‚Ä¶",82
"RT @clarionledger: Former Southern Miss star, Tori Bowie, takes the Silver in the women's 100 meters at the #Rio2016 https://t.co/hsjlP8iD4Z",81
"RT @USMGoldenEagles: #NotableAlum 

2016 Silver Medalist Tori Bowie! (More races still to come!)

#AllDaySouthernMiss #AllDayCUSA https://t‚Ä¶",80
"RT @Conference_USA: For her country. For her college. For her conference.
Congratulations @bowie_tori! Ì†ºÌøÖ
#CUSAinRIO #AllDaySouthernMiss htt‚Ä¶",80
"RT @munzly: Tori Bowie, former Southern Miss star, running in the #Rio2016 women's 200m semifinals at 8:16 pm. Bowie won silver in 100m las‚Ä¶",80
"RT @ChrisHudgison: #Rio2016: Tori Bowie wins Semifinal #3 of 200m. Sand Hill native advances to Olympic final tomorrow 8:30pm @WLBT #SMTTT",80
"RT @kynnedyflannel: Tori Bowie look like a smooth piece of dark chocolate yesss Ì†ΩÌ∏ç",80
"#Rio2016: Tori Bowie wins Semifinal #3 of 200m. Sand Hill native advances to Olympic final tomorrow 8:30pm @WLBT #SMTTT",80
"Tori Bowie look like a smooth piece of dark chocolate yesss Ì†ΩÌ∏ç",80
"Tori Bowie, former Southern Miss star, running in the #Rio2016 women's 200m semifinals at 8:16 pm. Bowie won silver in 100m last week.",80
"For her country. For her college. For her conference.
Congratulations @bowie_tori! Ì†ºÌøÖ
#CUSAinRIO #AllDaySouthernMiss https://t.co/ydQeqohBcK",80
"#NotableAlum 

2016 Silver Medalist Tori Bowie! (More races still to come!)

#AllDaySouthernMiss #AllDayCUSA https://t.co/3oJNsLhoOK",80
"RT @BlackPRWire: Tori Bowie sped past her competitors to finish with an Olympic Silver Medal in the Women's 100m race! #Rio2016 https://t.c‚Ä¶",80
"Tori Bowie sped past her competitors to finish with an Olympic Silver Medal in the Women's 100m race! #Rio2016 https://t.co/SOyw4v2Oyl",80
"RT @clarionledger: Former Southern Miss star Tori Bowie advances to 200m semis in Rio https://t.co/GzrL3sxchy via @hburgamerican",80
"Former Southern Miss star Tori Bowie advances to 200m semis in Rio https://t.co/GzrL3sxchy via @hburgamerican",80
"RT @CBNNews: Tori Bowie: Faith The Size of A Mustard Seed Wins Her Silver https://t.co/cPGEF8CtMg",80
"Tori Bowie: Faith The Size of A Mustard Seed Wins Her Silver https://t.co/cPGEF8CtMg",80
"RT @thetrudz: WHAT! Elaine ThompsonÌ†ºÌ∑ØÌ†ºÌ∑≤ (gold) took the gold from Shelly-Ann Fraser-PryceÌ†ºÌ∑ØÌ†ºÌ∑≤ (bronze). Tori BowieÌ†ºÌ∑∫Ì†ºÌ∑∏ (silver). Gold still belon‚Ä¶",79
"RT @GldnEaglePride: Go Tori Go!!  Congrats to #SouthernMiss sprinter Tori Bowie going for the gold Wednesday night!",78
"RT @CARE_totell: I just love Tori Bowie's southern accent lol",78
"RT @druyae: Tori Bowie's skin is so amazing.",78
"RT @RunnerSpace_com: #Rio2016 @bowie_tori is up in the final heat of the women's 200m",78
"Go Tori Go!!  Congrats to #SouthernMiss sprinter Tori Bowie going for the gold Wednesday night!",78
"I just love Tori Bowie's southern accent lol",78
"Tori Bowie's skin is so amazing.",78
"#Rio2016 @bowie_tori is up in the final heat of the women's 200m",78
"RT @FloTrack: Olympic silver medalist in the 100m, #TeamUSA's Tori Bowie toes the line in lane 8. #Rio2016 #Athletics https://t.co/wOVat9XC‚Ä¶",78
"Olympic silver medalist in the 100m, #TeamUSA's Tori Bowie toes the line in lane 8. #Rio2016 #Athletics https://t.co/wOVat9XCqN",78
