"tweet","retweets"
"RT @tnfgirlprobz: 8) Brianna Rollins
- gives me so much life
- hair on point
- I WANNA SEE HER IN THE 2016 OLYMPICS https://t.co/q9ltQTTzrZ",22
"RT @GreenvilleNews: Former Clemson star Brianna Rollins posted fastest time of the morning &amp; advanced to the women‚Äôs 100 hurdles semis http‚Ä¶",21
"RT @MNW_Bulls1955: Good luck in Rio, Brianna Rollins, MNW alumna! Bring home the GOLD! https://t.co/Wgl5fslrM9",21
"Former Clemson star Brianna Rollins posted fastest time of the morning &amp; advanced to the women‚Äôs 100 hurdles semis https://t.co/ehYwk2JArR",21
"RT @TigerFanForum: Brianna Rollins advances to semifinals in Rio https://t.co/5RypIX9Fwg https://t.co/vLhxm2UsFE",21
"RT @fgeffardAFP: #Rio2016 - USA's Brianna Rollins competes in Women's 100m Hurdles Round 1 during the athletics event. By @jewelsamad https‚Ä¶",21
"RT @ClaireFranSays: @KatyKeiser I feel like you and i could both appreciate how beautiful Brianna Rollins is lol https://t.co/S7uit6bf1D",21
"#Rio2016 - USA's Brianna Rollins competes in Women's 100m Hurdles Round 1 during the athletics event. By @jewelsamad https://t.co/BYDx56WzHu",21
"Brianna Rollins advances to semifinals in Rio https://t.co/5RypIX9Fwg https://t.co/vLhxm2UsFE",21
"RT @Carnage45: Brianna Rollins (@Bri_Rollin ) Ì†ΩÌ¥•Ì†ΩÌ¥•Ì†ΩÌ¥• https://t.co/r0crVMfAJD",21
"Brianna Rollins (@Bri_Rollin ) Ì†ΩÌ¥•Ì†ΩÌ¥•Ì†ΩÌ¥• https://t.co/r0crVMfAJD",21
"@KatyKeiser I feel like you and i could both appreciate how beautiful Brianna Rollins is lol https://t.co/S7uit6bf1D",21
"RT @gloed_up: Brianna Rollins (@Bri_Rollin ) Ì†ΩÌ¥•Ì†ΩÌ¥•Ì†ΩÌ¥•
We love you. https://t.co/Dud6iUAnPM",20
"Brianna Rollins (@Bri_Rollin ) Ì†ΩÌ¥•Ì†ΩÌ¥•Ì†ΩÌ¥•
We love you. https://t.co/Dud6iUAnPM",20
"RT @JamaicaObserver: #JAM Shermaine Williams faces a strong field including #USA Brianna Rollins, #GER Cindy Roleder and #GBR Tiffany Porte‚Ä¶",19
"#JAM Shermaine Williams faces a strong field including #USA Brianna Rollins, #GER Cindy Roleder and #GBR Tiffany Porter in semifinal 1",19
"RT @MNW_Bulls1955: Brianna Rollins overcame hurdles on her way from Liberty City to the Rio Olympics https://t.co/wXsZo0gVQx",19
"Brianna Rollins overcame hurdles on her way from Liberty City to the Rio Olympics https://t.co/wXsZo0gVQx",19
"RT @MakingOfChamps: Brianna Rollins #USA wins the final Heat, clocking the fastest time of 12.54s.",19
"Brianna Rollins #USA wins the final Heat, clocking the fastest time of 12.54s.",19
"RT @_itsshvr: Brianna Rollins Ì†ΩÌ∏ç",19
"Brianna Rollins Ì†ΩÌ∏ç",19
"RT @ClemsonTrackXC: Brianna Rollins talks 100H preparation in advance of Tuesday's prelims. #ClemsonFamily #TeamUSA #Rio2016 

https://t.co‚Ä¶",19
"Brianna Rollins talks 100H preparation in advance of Tuesday's prelims. #ClemsonFamily #TeamUSA #Rio2016 

https://t.co/6OReaP6lxH",19
"RT @Essence: These Olympic Track and Field Stars Are Hair and Beauty Goals: https://t.co/JHw4izWPxO https://t.co/cXqpvWY58k",18
"These Olympic Track and Field Stars Are Hair and Beauty Goals: https://t.co/JHw4izWPxO https://t.co/cXqpvWY58k",18
"RT @bantuapp: So much #blackgirlmagic at these here Olympics. Also, #hairgoals Ì†ΩÌπåÌ†ºÌøæ #Rio2016 https://t.co/xzfGmvYZo6",17
"RT @CoachFlea: Miami Northwestern Alum Brianna Rollins Qualifies For Rio Olympics ¬´ CBS Miami https://t.co/VVpuY0fo7w",17
"So much #blackgirlmagic at these here Olympics. Also, #hairgoals Ì†ΩÌπåÌ†ºÌøæ #Rio2016 https://t.co/xzfGmvYZo6",17
"RT @NoLoveForUHoes_: Brianna Rollins Ì†ΩÌ∏´Ì†ΩÌ∏´Ì†ΩÌ∏´Ì†ΩÌ∏çÌ†ΩÌ∏çÌ†ΩÌ∏çÌ†ΩÌ∏çÌ†ΩÌ∏ç",17
"Brianna Rollins Ì†ΩÌ∏´Ì†ΩÌ∏´Ì†ΩÌ∏´Ì†ΩÌ∏çÌ†ΩÌ∏çÌ†ΩÌ∏çÌ†ΩÌ∏çÌ†ΩÌ∏ç",17
"RT @DearOldClemson: Former Clemson track star, Brianna Rollins, runs the first round of the 100m hurdles this morning. Her heat expected to‚Ä¶",17
"Former Clemson track star, Brianna Rollins, runs the first round of the 100m hurdles this morning. Her heat expected to start at 10:40am.",17
