"tweet","retweets"
"RT @ChristianToday: #Rio2016 : Christian Taylor give glory to God for triple jump #Gold https://t.co/5QOE7E8hvK https://t.co/b6Rmo1c2VU",47
"RT @Blavity: Will Claye proposes to fellow track &amp; field athlete Queen Harrison after silver medal win https://t.co/9ezSMPxBf2 https://t.co…",47
"Will Claye proposes to fellow track &amp; field athlete Queen Harrison after silver medal win https://t.co/9ezSMPxBf2 https://t.co/KF5KArSlZJ",47
"RT @11AliveSports: #SandyCreek's @Taylored2jump vies for back-to-back gold in #triplejump event in #Rio2016 https://t.co/LTQf9bDUEe https:/…",47
"#Rio2016 : Christian Taylor give glory to God for triple jump #Gold https://t.co/5QOE7E8hvK https://t.co/b6Rmo1c2VU",47
"RT @onlygators: #Gold #Silver It's ridiculous. #Gators Christian Taylor, Will Claye do it again #USA

Story: https://t.co/omduZmMAeq https:…",46
"RT @ESPNStatsInfo: Christian Taylor (#USA) wins #gold in triple jump (also won in 2012). 

1st American to win multiple golds in a field ev…",46
"RT @nytimes: Christian Taylor reinvented his approach to the triple jump. It paid off. https://t.co/85syAYS9kU https://t.co/1zsE3pthe5",45
"RT @FloTrack: #Rio2016 -&gt; https://t.co/3do67KVQKs
Christian Taylor #USA = GOLD
Will Claye #USA = SILVER

Congrats #TeamUSA !!! https://t.co…",45
"RT @YahooSports: Christian Taylor, Will Claye finish 1-2 again for U.S. in triple jump. From @JeffPassan. https://t.co/92ombrtGEq https://t…",44
"RT @JFreemanTV: Usain Bolt might be in the house but this morning the stadium belongs to Christian Taylor! @spikesmag @Taylored2jump https:…",44
"RT @FRANCE24: American Christian Taylor retains Olympic triple jump title https://t.co/M87epsr4fS https://t.co/pcF710709M",44
"RT @SpheraOlimpica: #Atletismo Triple Salto (M) 
#Oro Christian Taylor #USA 
#Plata Willie Claye #USA 
#Bronce Bin Dong #CHN",44
"RT @NBCPhiladelphia: JSUT IN: US gets gold, silver in #Rio2016 Triple Jump: https://t.co/FEqOLJAH04 https://t.co/NcTsXBfYXw",44
"Usain Bolt might be in the house but this morning the stadium belongs to Christian Taylor! @spikesmag @Taylored2jump https://t.co/52AlHsA6Yl",44
"American Christian Taylor retains Olympic triple jump title https://t.co/M87epsr4fS https://t.co/pcF710709M",44
"Christian Taylor, Will Claye finish 1-2 again for U.S. in triple jump. From @JeffPassan. https://t.co/92ombrtGEq https://t.co/gNHRoWH9Nn",44
"RT @GWillowWilson: And he wasn't even Muslim--he was an Arab Christian. But it's not racism. Nope nope nope. https://t.co/Kk3R8NpsZI",43
"RT @nytvideo: ""This is when the triple jump, for me, completely slows down. It becomes a nice little dance."" https://t.co/lMQ2YB5V0y",42
"""This is when the triple jump, for me, completely slows down. It becomes a nice little dance."" https://t.co/lMQ2YB5V0y",42
"RT @MylesApparel: An interactive guide to how gold medal triple jumper @Taylored2jump takes flight: https://t.co/eH08STQhUw",42
"RT @onlygators: Dan Patrick says Christian Taylor #USA is the first American to win back-to-back gold in a field event since Carl Lewis. #G…",42
"Dan Patrick says Christian Taylor #USA is the first American to win back-to-back gold in a field event since Carl Lewis. #Gators #Olympics",42
"RT @AllKindsWeather: Christian Taylor: #GOLD. William Claye: #SILVER. The pair of #Gators go 1-2 in the triple jump for the 2nd straight #O…",42
"RT @BlackPRWire: Christian Taylor leaped to reach his Gold Medal Victory in the Men's Triple Jump!!! #Rio2016 https://t.co/fvwHVYdY7b",42
"Christian Taylor leaped to reach his Gold Medal Victory in the Men's Triple Jump!!! #Rio2016 https://t.co/fvwHVYdY7b",42
"RT @11AliveNews: #GOLD!

Fayetteville Olympian Christian Taylor wins the Men's Triple Jump

https://t.co/F8ygoZvfrQ
#Olympicson11 https://t…",42
"Christian Taylor: #GOLD. William Claye: #SILVER. The pair of #Gators go 1-2 in the triple jump for the 2nd straight #Olympics. #GatorsInRio",42
"RT @AthleticsWeekly: #Rio2016 triple jump
GOLD Christian Taylor 17.86m
SILVER Will Claye 17.76m PB
BRONZE Dong Bin 17.58m",42
"RT @GrindOfAthletes: RT if you're a Christian Athlete! https://t.co/1idnG0KTBq",41
"RT @NBCOlympics: Christian Taylor looks to win another #gold in the triple jump!

Now on @NBCSN or HERE: https://t.co/70ETvfW7yg https://t.…",40
"RT @wsbtv: Congratulations to Fayetteville, GA's Christian Taylor (Sandy Creek HS), who just won triple jump #gold! #Rio2016 https://t.co/I…",39
"RT @milesplit: Christian Taylor wins triple jump gold medal with a jump of 17.86m #Rio2016 #Athletics https://t.co/yD8bDvKVSY",38
"RT @JFreemanTV: Christian Taylor @Taylored2jump 

.

London 2012 Triple Jump Champion on his left leg 

.

Rio 2016 Triple Jump Champion on…",37
"RT @RunnerSpace_com: #Rio2016 Christian Taylor's Legendary Status Continues to Grow https://t.co/G2XlwM6Id3 https://t.co/y6G8oz3qvq",36
"#Rio2016 Christian Taylor's Legendary Status Continues to Grow https://t.co/G2XlwM6Id3 https://t.co/y6G8oz3qvq",36
"RT @paulsinha: Christian Taylor making a habit of winning Olympic triple jump gold.",36
"RT @GdnUSsports: Who is Christian Taylor, USA's Olympic triple jump gold medal winner? https://t.co/PqymzYy5g2 https://t.co/2n8MMo1naI",36
"Who is Christian Taylor, USA's Olympic triple jump gold medal winner? https://t.co/PqymzYy5g2 https://t.co/2n8MMo1naI",36
"RT @JeffPassan: Americans go gold-silver in the triple jump for the second straight Olympics. Christian Taylor wins gold, Will Claye silver…",36
"RT @SuperSportBlitz: American Christian Taylor defended his Olympic crown, claiming gold in the men’s triple jump with a leap of 17.86m #Ri…",36
"RT @AthsUnited: Christian McCaffrey is unreal  https://t.co/ntVmaJSV0o",35
"RT @CBSNews: Americans sweep gold and silver in triple jump for U.S. at back-to-back Olympics https://t.co/ZwMpYYZALS https://t.co/OzuV3ChW…",34
"Americans sweep gold and silver in triple jump for U.S. at back-to-back Olympics https://t.co/ZwMpYYZALS https://t.co/OzuV3ChWFW",34
