"tweet","retweets"
"RT @EW: Simone Biles will be Team USA's flag bearer at the #Rio2016 closing ceremony: https://t.co/1BUiUbSO1Y https://t.co/UEgVPWdEYY",69
"Simone Biles will be Team USA's flag bearer at the #Rio2016 closing ceremony: https://t.co/1BUiUbSO1Y https://t.co/UEgVPWdEYY",69
"RT @ABC: #Rio2016 closing ceremony designed to be more low-key than the opening. https://t.co/DVR5xrcvXh https://t.co/g7t90SsGhx",68
"#Rio2016 closing ceremony designed to be more low-key than the opening. https://t.co/DVR5xrcvXh https://t.co/g7t90SsGhx",68
"RT @reuterspictures: Rio Olympics closing ceremony: https://t.co/hNqAQRJcaT https://t.co/rlDX2lUZws",67
"Rio Olympics closing ceremony: https://t.co/hNqAQRJcaT https://t.co/rlDX2lUZws",67
"RT @KeithMoffitt: Such a shame that like opening ceremony, closing ceremony of Rio Olympics being let down by appalling sound. It can't be…",66
"RT @nationalpost: We're sharing the best photos from the #Rio2016 closing ceremony. Follow along: https://t.co/CZg3SLfJId https://t.co/gyrJ…",66
"We're sharing the best photos from the #Rio2016 closing ceremony. Follow along: https://t.co/CZg3SLfJId https://t.co/gyrJfx9Rrn",66
"RT @abcgrandstand: Olympic gold medalist in rowing Kim Brennan will carry the Australian flag at the Rio Olympics closing ceremony. https:/…",66
"RT @standardnews: Rio 2016 Olympics closing ceremony: UK start time, live stream, date, TV and tickets https://t.co/O7HOnbmXzE",66
"RT @HollywoodLife: Olympics closing ceremony live stream -- WATCH the end of the #RioOlympics2016 games online https://t.co/r0qHPOanqD",66
"RT @snolen: Am live-blogging closing ceremony of #Rio2016 from Maracanã - in case your TV broke  https://t.co/e8OFrFDQfS  (or you like a li…",66
"Such a shame that like opening ceremony, closing ceremony of Rio Olympics being let down by appalling sound. It can't be that difficult?",66
"Am live-blogging closing ceremony of #Rio2016 from Maracanã - in case your TV broke  https://t.co/e8OFrFDQfS  (or you like a little snark)",66
"Olympics closing ceremony live stream -- WATCH the end of the #RioOlympics2016 games online https://t.co/r0qHPOanqD",66
"Olympic gold medalist in rowing Kim Brennan will carry the Australian flag at the Rio Olympics closing ceremony. https://t.co/oViIIulZ5b",66
"Rio 2016 Olympics closing ceremony: UK start time, live stream, date, TV and tickets https://t.co/O7HOnbmXzE",66
"RT @IndySport: BREAKING: Joe Joyce suffers defeat in men's super heavyweight final to take silver medal https://t.co/Ea3peK4qT9 https://t.c…",66
"BREAKING: Joe Joyce suffers defeat in men's super heavyweight final to take silver medal https://t.co/Ea3peK4qT9 https://t.co/GLG6IJDIHl",66
"RT @FirstpostSports: Maracana set for a grand #RioOlympics2016 closing ceremony with over 41,000 tickets sold. https://t.co/PUp4wkP5s6 http…",66
"RT @kimabrandy: @KBCChannel1 No doubt Kenya's national anthem will be played at the closing ceremony of the Rio Olympics in Brazil.its Gold…",66
"@KBCChannel1 No doubt Kenya's national anthem will be played at the closing ceremony of the Rio Olympics in Brazil.its Gold.. Eliud kipchoge",66
"RT @JosephBrandon8: Biles chosen to carry U.S. flag at closing ceremony https://t.co/6Cv8pe95Sy",66
"Biles chosen to carry U.S. flag at closing ceremony https://t.co/6Cv8pe95Sy",66
"RT @greta: Rio Olympics 2016: Emma McKeon has closing ceremony ban lifted https://t.co/03ylmUCkBF",66
"Maracana set for a grand #RioOlympics2016 closing ceremony with over 41,000 tickets sold. https://t.co/PUp4wkP5s6 https://t.co/bN3HtZu1qe",66
"RT @WGRZ: #SimoneBiles to carry U.S. flag at closing ceremony in #Rio https://t.co/VbcXdlAQCs Photo: Robert Deutsch/@usatsimg https://t.co/…",66
"Rio Olympics 2016: Emma McKeon has closing ceremony ban lifted https://t.co/03ylmUCkBF",66
"RT @VancouverSun: VOTE: Who should carry Canada’s flag at the closing ceremony of the #Rio2016 Olympics? https://t.co/fs7YgWr7Sj",66
"#SimoneBiles to carry U.S. flag at closing ceremony in #Rio https://t.co/VbcXdlAQCs Photo: Robert Deutsch/@usatsimg https://t.co/rMlcM7ylzh",66
"RT @heraldsunsport: Emma McKeon wins appeal to march in #Rio2016 closing ceremony - https://t.co/tjoQ4wDe7T @balym_GCB https://t.co/BSE1IV6…",66
"RT @USATODAY: Simone Biles' one concern about carrying U.S. flag tonight: 'I'm afraid the flag is going to be too heavy for me' https://t.c…",65
"Simone Biles' one concern about carrying U.S. flag tonight: 'I'm afraid the flag is going to be too heavy for me' https://t.co/463mhFPL11",65
"RT @TIME: How to watch the Rio Olympics closing ceremony https://t.co/j6YDTtU43l",64
"RT @timesofindia: LIVE | #RioWithTOI The closing ceremony of #Rio2016 is underway https://t.co/ZBAAs7Zs09 https://t.co/XI0G1dQFPR",64
"LIVE | #RioWithTOI The closing ceremony of #Rio2016 is underway https://t.co/ZBAAs7Zs09 https://t.co/XI0G1dQFPR",64
"How to watch the Rio Olympics closing ceremony https://t.co/j6YDTtU43l",64
"RT @timesofindia: Rio Olympics: @SakshiMalik to be Indian flagbearer at closing ceremony https://t.co/eaCmwOjYKk 

#RioWithTOI https://t.co…",63
"Rio Olympics: @SakshiMalik to be Indian flagbearer at closing ceremony https://t.co/eaCmwOjYKk 

#RioWithTOI https://t.co/5kjSlbKOJc",63
"RT @NewsNationTV: #RioOlympics2016: #Closingceremony at Maracana stadium, #SakshiMalik to carry the national flag
https://t.co/cyLKse6KGk",62
"#RioOlympics2016: #Closingceremony at Maracana stadium, #SakshiMalik to carry the national flag
https://t.co/cyLKse6KGk",62
"RT @SputnikInt: Watch the beginning of the 2016 Olympics closing ceremony in #Rio #Rio2016 #RioOlympics2016 (LIVE VIDEO)

https://t.co/J2kg…",62
