"tweet","retweets"
"RT @StatsCentre: Derek Drouin becomes the 2nd #CAN ever to win #Gold in Men's High Jump at the #Olympics. Other was Duncan McNaughton in 19…",100
"RT @nytimes: If running faster means jumping higher, why does world champion Derek Drouin run so slow? https://t.co/d5qrBY0TJ8 https://t.co…",99
"RT @LFPress: Baker Greg Phillion poses behind a new tray of Derek Drouin donuts at Corunna's timhortons… https://t.co/qfBbo9yvit",98
"Baker Greg Phillion poses behind a new tray of Derek Drouin donuts at Corunna's timhortons… https://t.co/qfBbo9yvit",98
"RT @BBicknellCTV: St.Clair Twp. Mayor Steve Arnold enjoys first ever Derek Drouin Tim Horton's donut #Corunnaproud @CTVLondon https://t.co/…",98
"St.Clair Twp. Mayor Steve Arnold enjoys first ever Derek Drouin Tim Horton's donut #Corunnaproud @CTVLondon https://t.co/j8PlbbXFh9",98
"RT @cnnsport: High jump #Gold for #CAN's Derek Drouin at 2m38: https://t.co/cRAKI8jdH5 https://t.co/wpmkpFC4DP",98
"RT @theprovince: Derek Drouin’s perfect night earns him Canada’s third gold medal at Rio 2016 https://t.co/T5jvz6FWeK #sports https://t.co/…",98
"RT @DarrenWHaynes: CONFIRMED: The Greatest Canadian Hero can fly higher than The Greatest American Hero. Congrats Derek Drouin. #Gold https…",98
"RT @MelnykEugene: Congratulations to Canada's Derek Drouin on your golden high jump! @ddrouin10 #Rio2016",98
"RT @BobRae48: Wonderful""@PostmediaNews: Derek Drouin’s perfect night at high jump earns him Canada’s third gold medal at Rio 2016 https://t…",98
"RT @jacktodd46: Fanastic!!!! Derek Drouin gold!!!
A Canadian tops Greg Joy in 1976 
Derek Drouin gold.",98
"RT @edmontonjournal: Breaking: Canada's Derek Drouin has won a gold medal in high jump. #Rio2016",98
"RT @SNstats: BREAKING: Derek Drouin is the first #Can Track &amp; Field athlete to win a medal in back-to-back Olympics since Phil Edwards(800m…",97
"RT @ottguy: When you joyously sing O Canada tonight for Derek Drouin spare a thought for Mauril Belanger and his family.",96
"RT @CityNews: #BREAKING: Ontario's Derek Drouin has won a gold medal in the men's high jump final at #Rio2016. #CAN https://t.co/Odx90czDDF",95
"RT @StingHockey: Congratulations to Corunna-native, Derek Drouin on capturing Olympic  #Gold in men's high jump! https://t.co/Aeu0IV5SvA",94
"RT @TaraJeffrey: You can now order your very own Derek Drouin donut at the #Corunna Tim Hortons. #SLont @ddrouin10 #Rio2016  @TimHortons",93
"RT @calgarysun: How high can he go? Here are some things Derek Drouin can jump over ‚ including Manute Bol https://t.co/yC1HkAoog4 https://…",93
"How high can he go? Here are some things Derek Drouin can jump over ‚ including Manute Bol https://t.co/yC1HkAoog4 https://t.co/vfkL8gnlFY",93
"You can now order your very own Derek Drouin donut at the #Corunna Tim Hortons. #SLont @ddrouin10 #Rio2016  @TimHortons",93
"RT @Edmontonsun: How high can he go? Here are some things Derek Drouin can jump over https://t.co/5HNRVzgDpA #Rio2016 #CAN https://t.co/gR6…",93
"RT @AthleticsCanada: Liked the hat Derek Drouin was wearing last night, you can own it &gt; https://t.co/sgSxFXWidN https://t.co/K8kizIAMKP",93
"RT @MacleansMag: Will everyone soon be copying Derek Drouin's jumping style? https://t.co/TbB6PMu8zm https://t.co/2LDBwM1VKi",93
"Will everyone soon be copying Derek Drouin's jumping style? https://t.co/TbB6PMu8zm https://t.co/2LDBwM1VKi",93
"How high can he go? Here are some things Derek Drouin can jump over https://t.co/5HNRVzgDpA #Rio2016 #CAN https://t.co/gR6hJUQge4",93
"RT @petrocanada: Congrats to Derek Drouin on his gold medal! We are proud to support #TeamCanada in Rio! https://t.co/gqK5JsXwNM",93
"RT @SteveRobertsTO: Another gold for #Canada in #RioOlympics2016 - Derek Drouin won gold in high jump, taking our medal count to 14! https:…",93
"RT @981CHFI: They said ""jump"". Derek Drouin said ""how's 2.38m?""  ""you're the ##Rio2016 High Jump Champ"" they replied. #can #Gold https://t.…",93
