"tweet","retweets"
"RT @AndrewHolnessJM: Gold for Elaine Thompson!! Ì†ºÌ∑ØÌ†ºÌ∑≤Ì†ºÌ∑ØÌ†ºÌ∑≤ #TeamJamaica #Rio2016 #Proud",127
"RT @JamaicaOlympics: Elaine Thompson Ì†ºÌ∑ØÌ†ºÌ∑≤ finishes 2nd in Heat 4 of Women's 200M in 22.63. She is through to semifinal round. #TeamJamaica ht‚Ä¶",126
"Elaine Thompson Ì†ºÌ∑ØÌ†ºÌ∑≤ finishes 2nd in Heat 4 of Women's 200M in 22.63. She is through to semifinal round. #TeamJamaica https://t.co/vQVheY0dsm",126
"RT @FLOWJamaica: Elaine WINS

Congrats to #TeamJamaica's Elaine Thompson on winning the #Rio2016 Women's 100m in 10.71s! #FlowToRio https:/‚Ä¶",125
"RT @JamaicaOlympics: Shelly-Ann Fraser-Pryce Ì†ºÌ∑ØÌ†ºÌ∑≤ and Elaine Thompson Ì†ºÌ∑ØÌ†ºÌ∑≤ warming up for Women's 100M Heats. #TeamJamaica https://t.co/Hpn9ysH‚Ä¶",124
"RT @JamaicaGleaner: #RioGoldRush: Elaine Thompson seeks to secure second Olympic medal - evening session preview - https://t.co/8mcYQMwRAs",123
"#RioGoldRush: Elaine Thompson seeks to secure second Olympic medal - evening session preview - https://t.co/8mcYQMwRAs",123
"RT @CARICOMorg: Fastest woman on earth, Elaine Thompson, gets her gold medal #CARiCOmatRio #JAM https://t.co/LaBhnjLrdN",123
"RT @LaineyGossip: Elaine Thompson! Means a LOT to me. A rare time an Elaine has been a winner. We are normally irrelevant. #Olympics https:‚Ä¶",123
"Fastest woman on earth, Elaine Thompson, gets her gold medal #CARiCOmatRio #JAM https://t.co/LaBhnjLrdN",123
"RT @Nareik4G: ‚ö°Ô∏è ‚ÄúJamaica's Elaine Thompson is the 'fastest woman in the world'‚Äù

https://t.co/FGVxOOK1S2",123
"‚ö°Ô∏è ‚ÄúJamaica's Elaine Thompson is the 'fastest woman in the world'‚Äù

https://t.co/FGVxOOK1S2",123
"RT @TelegraphSport: Jamaica's Elaine Thompson wins 100m gold in 10.72 seconds! Fraser-Pryce beaten #Rio2016 https://t.co/uRNGbrkCHR https:/‚Ä¶",123
"RT @MirrorSport: Jamaica's Elaine Thompson wins gold in women's 100m final with second fastest time this year https://t.co/QqC7f8stVR https‚Ä¶",123
"RT @YohanBlake: Elaine Thompson to di worl!!! https://t.co/auwMlSuAoB",122
"RT @lucabaptista: Jamaica‚Äôs Elaine Thompson is the Fastest Woman in the World https://t.co/WfIKctcw0j",121
"RT @____PantheR: Elaine Thompson won Gold AND is now the fastest woman in the world. GET. IT. https://t.co/yx1kY6no5i",120
"RT @MOMENTUMARTIST: Shelly Ann Fraser, Veronica Campbell, Blake, Elaine Thompson and Melanie Walker but to name a few why so much hate Ì†æÌ¥ó ht‚Ä¶",119
"Shelly Ann Fraser, Veronica Campbell, Blake, Elaine Thompson and Melanie Walker but to name a few why so much hate Ì†æÌ¥ó https://t.co/dM3rqEnnoa",119
"RT @Queen_Muva: Congratulations to Elaine Thompson #JAM on your #Gold in the Women's 100m. Shelly-Ann Fraser-Pryce on the #Bronze https://t‚Ä¶",118
"RT @Diamond_League: Congratulations Elaine #Thompson, #Olympic champion over #100m! 

#DiamondRace
#DiamondLeague
#Rio2016 https://t.co/BKX‚Ä¶",118
"RT @BBCSport: This is the moment Jamaica's Elaine Thompson won 100m gold!

Watch https://t.co/fJfLtfQIM2 #Rio2016 https://t.co/IUWIE3JiaV",117
"RT @JamaicaGleaner: Elaine Thompson: ""It's amazing, I feel great! I look up to SFP so much. Last year told me I could do so much."" #RioGold‚Ä¶",117
"This is the moment Jamaica's Elaine Thompson won 100m gold!

Watch https://t.co/fJfLtfQIM2 #Rio2016 https://t.co/IUWIE3JiaV",117
"RT @JamaicaOlympics: 24 y-o Elaine Thompson left no doubt as to who is no. 1 in the world. Click https://t.co/i6xdkHYBpI to read more. http‚Ä¶",116
"RT @thetrudz: WHAT! Elaine ThompsonÌ†ºÌ∑ØÌ†ºÌ∑≤ (gold) took the gold from Shelly-Ann Fraser-PryceÌ†ºÌ∑ØÌ†ºÌ∑≤ (bronze). Tori BowieÌ†ºÌ∑∫Ì†ºÌ∑∏ (silver). Gold still belon‚Ä¶",116
"RT @spikesmag: DOMINANT

Elaine Thompson JAM wins 100m gold in 10.71

2 Bowie USA 10.83
3 Fraser-Pryce JAM 10.86

#Rio2016 https://t.co/Mpy‚Ä¶",116
"RT @JamaicaGleaner: Elaine Thompson: ""Jamaica has so many great sprinters so to be only the second Jamaican to win Olympic gold means a lot‚Ä¶",116
"24 y-o Elaine Thompson left no doubt as to who is no. 1 in the world. Click https://t.co/i6xdkHYBpI to read more. https://t.co/LVzHqFnobE",116
"RT @JamaicaOlympics: Shelly-Ann Fraser-Pryce Ì†ºÌ∑ØÌ†ºÌ∑≤ and Elaine Thompson Ì†ºÌ∑ØÌ†ºÌ∑≤ warming up for Women's 100M semifinals. #TeamJamaica https://t.co/Zh‚Ä¶",115
"RT @LoopJamaica: RIO 2016: Elaine Thompson advances to 200m final to stay on course for sprint double
https://t.co/oGRkMbEBf2 https://t.co/‚Ä¶",114
"RT @SuperSportTV: Dafne Schippers &amp; Elaine Thompson blitzed the first semi-final to both qualify for the 200m women's final. #Rio2016 https‚Ä¶",114
"RT @FiendKhvlil___: WOMEN'S 200M PREDICTION :
1ST: Dafne Schippers #NED 
2ND: Elaine Thompson #JAM 
3RD: Torie Bowie #USA 

#Olympics #Rio2‚Ä¶",114
"RIO 2016: Elaine Thompson advances to 200m final to stay on course for sprint double
https://t.co/oGRkMbEBf2 https://t.co/sy3bDylUcb",114
"RT @FLOWJamaica: Olympic 100m Champion, Jamaica's Elaine Thompson advances to the finals of the Women's 200m in a season's best time of 22.‚Ä¶",114
"WOMEN'S 200M PREDICTION :
1ST: Dafne Schippers #NED 
2ND: Elaine Thompson #JAM 
3RD: Torie Bowie #USA 

#Olympics #Rio2016",114
"RT @JamaicaGleaner: Women's 200m SEMI-FINAL heat 1: A season's best from Elaine Thompson 22.13. She qualifies for the finals. #RioGoldRush‚Ä¶",114
"Olympic 100m Champion, Jamaica's Elaine Thompson advances to the finals of the Women's 200m in a season's best time of 22.13s! #FlowToRio",114
"Women's 200m SEMI-FINAL heat 1: A season's best from Elaine Thompson 22.13. She qualifies for the finals. #RioGoldRush #JAinRio",114
"Dafne Schippers &amp; Elaine Thompson blitzed the first semi-final to both qualify for the 200m women's final. #Rio2016 https://t.co/Q6uwHJpnzN",114
"RT @BlackPRWire: Elaine Thompson stormed past competitors to her Olympic Gold Medal victory in the Women's 100m race!!! #Rio2016 https://t.‚Ä¶",114
"Elaine Thompson stormed past competitors to her Olympic Gold Medal victory in the Women's 100m race!!! #Rio2016 https://t.co/H8jELTBqLb",114
"RT @mslauryntrill: Usain Bolt, Elaine Thompson, Shelly-Ann Fraser-Pryce... JAMAICA START RUNNING YOU BETTER MOVE OUTTA DI BLOODCLAAAT WAY!‚Ä¶",114
"Usain Bolt, Elaine Thompson, Shelly-Ann Fraser-Pryce... JAMAICA START RUNNING YOU BETTER MOVE OUTTA DI BLOODCLAAAT WAY! Ì†ºÌ∑ØÌ†ºÌ∑≤Ì†ºÌ∑ØÌ†ºÌ∑≤",114
"RT @rodneytwit: Most people missed the biggest reaction from Elaine Thompson..it really wasn't the win...it was after she realised SAFP had‚Ä¶",114
"RT @tv6tnt: ICYMI: VIDEO - Jamaica's Elaine Thompson wins gold, Michelle @LeeAhye in 6th #TeamTTinRio
https://t.co/S9FwC8Rn5L https://t.co/‚Ä¶",114
"RT @IamaJamaican: Ì†ΩÌ≥∑ WELL DONE, ladies! Elaine Thompson, the NEW 100m OLYMPIC Champion. 10.71 Ì†ºÌøÖTori Bowie (USA) 10. 83 -... https://t.co/2gn‚Ä¶",114
"Most people missed the biggest reaction from Elaine Thompson..it really wasn't the win...it was after she realised SAFP had also made podium",114
"RT @zesty_nfl: Rio #Olympics2016: Jamaicas #ElaineThompson cruises to gold in 100m final https://t.co/Mv20MWUw8d https://t.co/p7dXuIKuR1",114
"RT @7olympics: #JAM Elaine Thompson cruises to victory in 3rd semi-final of the women's 100m. What a final it will be! #Rio2016 https://t.c‚Ä¶",114
"RT @guardian_sport: Elaine Thompson surges clear to capture women's 100m #gold for #Jam https://t.co/t0fbvq0FEV By @BryanAGraham https://t.‚Ä¶",114
"RT @Greg0706: A new World's Fastest Woman was crowned in Rio tonight and for the 3rd Olympics in a row, she's a Jamaican.|Time| https://t.c‚Ä¶",114
"RT @TheTropixs: Jamaica's Elaine Thompson wins gold in women's 100m https://t.co/ElIHWfC7mT https://t.co/nGKE1jXgSG",114
"RT @JamaicaOlympics: Elaine Thompson Ì†ºÌ∑ØÌ†ºÌ∑≤ secures her spot in Women's 200M final with time of 22.13 (SB). #TeamJamaica https://t.co/umnPd2PZzp",113
"Elaine Thompson Ì†ºÌ∑ØÌ†ºÌ∑≤ secures her spot in Women's 200M final with time of 22.13 (SB). #TeamJamaica https://t.co/umnPd2PZzp",113
"RT @boldandworthy: ""The fastest woman in the world is still a Jamaican."" 

And her name is Elaine Thompson #TeamJamaica https://t.co/GT2LQd‚Ä¶",113
"RT @ESPNStatsInfo: Elaine Thompson won Jamaica's 3rd straight gold &amp; 7th straight medal in 100 meters #Olympics https://t.co/d1ucSXAB7t",112
"Elaine Thompson won Jamaica's 3rd straight gold &amp; 7th straight medal in 100 meters #Olympics https://t.co/d1ucSXAB7t",112
"RT @SuperSportTV: WHAT A VICTORY!
Elaine Thompson went faster than anyone as she recorded a time of 10.71 to capture the 100m #Gold. https:‚Ä¶",111
"RT @NBCOlympics: Elaine Thompson: The fastest woman in the WORLD! #GOLD #JAM https://t.co/tFVphqfDTq",110
"Elaine Thompson: The fastest woman in the WORLD! #GOLD #JAM https://t.co/tFVphqfDTq",110
"RT @nytimes: The fastest woman in the world is Elaine Thompson of Jamaica. She just won the 100-meter dash at the Rio Games https://t.co/Ii‚Ä¶",109
