"tweet","retweets"
"RT @SNstats: BREAKING Erica Wiebe becomes the 3rd #CAN in history to win an Olympic wrestling gold medal https://t.co/Ir9P8wNsfo",65
"RT @GlobeOlympics: ICYMI: #CAN Erica Wiebe wins #gold in women's freestyle 75 kg wrestling https://t.co/uuQlNfqEVx #Rio2016 https://t.co/7r…",64
"RT @CBCOttawa: 'I just had such a good feeling,' wrestling gold medallist Erica Wiebe says of winning Olympic plan https://t.co/zVlTaMedra",64
"RT @JonGatehouse: Erica Wiebe #gold makes 16 medals for #CAN with poss. of 2 more at track and field tonight. #CAN now #17 on table, #11 by…",64
"'I just had such a good feeling,' wrestling gold medallist Erica Wiebe says of winning Olympic plan https://t.co/zVlTaMedra",64
"ICYMI: #CAN Erica Wiebe wins #gold in women's freestyle 75 kg wrestling https://t.co/uuQlNfqEVx #Rio2016 https://t.co/7rHqXIXd0w",64
"RT @MacleansMag: Yesterday, @ericawiebe became Canada’s third-ever Olympic gold medallist in wrestling: https://t.co/a9ilJvT7xH https://t.c…",64
"RT @ArashMadani: Canada's wrestling coaches carry Erica Wiebe off on their shoulders, the country's new gold medalist waving the Canadian f…",64
"Yesterday, @ericawiebe became Canada’s third-ever Olympic gold medallist in wrestling: https://t.co/a9ilJvT7xH https://t.co/9eYX203miE",64
"RT @GlobalEdmonton: Rio 2016: Canada’s Erica Wiebe captures wrestling gold https://t.co/i8Xcwry7zP",64
"RT @GlobalEdmonton: UPDATE: Canada’s Erica Wiebe captures wrestling gold https://t.co/YsXrWcJAN2",64
"RT @CBCAlerts: More @cbcnews Wrestler Erica Wiebe wins Canada's 4th gold at Rio Olympics: https://t.co/nnJXOHyYq1",64
"RT @calgaryherald: Calgary's Erica Wiebe takes gold in the #Olympics women's 75kg class in wrestling. #rio2016",64
"RT @MikeKellyNHL: <ed><U+00A0><U+00BC><ed><U+00B7><U+00A8><ed><U+00A0><U+00BC><ed><U+00B7><U+00A6><ed><U+00A0><U+00BC><ed><U+00B7><U+00A8><ed><U+00A0><U+00BC><ed><U+00B7><U+00A6> Erica Wiebe wins gold in wrestling. Stittsville, ONT native. #StittsVegas #MainStPub <ed><U+00A0><U+00BC><ed><U+00B7><U+00A8><ed><U+00A0><U+00BC><ed><U+00B7><U+00A6><ed><U+00A0><U+00BC><ed><U+00B7><U+00A8><ed><U+00A0><U+00BC><ed><U+00B7><U+00A6>",64
"RT @FAN590: #CAN wrestler Erica Wiebe has captured the #gold medal in 75kg freestyle wrestling, defeating Guzel Manyurova 6-0 #Rio2016!",64
"RT @chronicleherald: Canadian wrestler Erica Wiebe wins Olympic gold medal https://t.co/f6x2eGkoYm #Rio2016 #wrestling https://t.co/33I75RW…",64
"RT @globeandmail: #Breaking: Canada's Erica Wiebe wins #gold in women's freestyle 75 kg #wrestling https://t.co/SCBOy8JATI https://t.co/Oi1…",63
"RT @theScore: Erica Wiebe becomes 3rd Canadian ever to win wrestling #gold. #CAN #Rio2016 https://t.co/tbOjbrzMqL https://t.co/qa6daNNYS8",62
