"tweet","retweets"
"RT @DDTX12: Congratulations to Italian Fabio Basile in Rio, Olympic Gold in Judo 2016!“ https://t.co/lu9l4HvA5Q",11
"Congratulations to Italian Fabio Basile in Rio, Olympic Gold in Judo 2016!“ https://t.co/lu9l4HvA5Q",11
"RT @JudoInside: Fabio Basile was the spice of the judo diner at the Olympics. Read the review #Judo   https://t.co/RFr16ozdyn https://t.co/…",11
"Fabio Basile was the spice of the judo diner at the Olympics. Read the review #Judo   https://t.co/RFr16ozdyn https://t.co/5gK4YLWnpQ",11
"RT @europeanjudo: What a sensation!! The current junior world champion is the new Olympic Champion. Fabio BASILE #ITA won #gold https://t.c…",10
"RT @speedotodd: Meet Judo Hunk Fabio Basile
He’s just won the gold and looked damn fine doing it https://t.co/aTbvz7w903",9
"Meet Judo Hunk Fabio Basile
He’s just won the gold and looked damn fine doing it https://t.co/aTbvz7w903",9
"RT @ESCDritero: wow male judokas are pretty hot... example: fabio basile https://t.co/vOPcS8R2Tg",9
"RT @acangiano: Fabio Basile who just won the Gold medal for Judo said: ""I suffered so much that I learned to love the suffering"". I find it…",8
"RT @JudoInside: Can you believe that! Its true FABIO BASILE Olympic Champion for #ITA #gold Ezio Gamba, Giuseppe Maddaloni, Giulia Quintava…",7
"Fabio Basile. my god https://t.co/D96eg6vnSb",6
"RT @goldmedalhottie: Fabio Basile #ITA #Judo he won gold and he IS gold!! https://t.co/FJrGzH6e2a",5
"Fabio Basile #ITA #Judo he won gold and he IS gold!! https://t.co/FJrGzH6e2a",5
"RT @JudoInside: Fabio Basile breaks all expectations and grabs Olympic #judo #gold https://t.co/8MIS2JMdLV #ITA The full story! https://t.c…",4
"RT @alertaclarica: Fabio Basile
appreciation tweet https://t.co/8DLDOD55es",3
"RT @DDyslexiaCT: ""A young man with dyslexia has reached the top of the world: congratulations to Fabio Basile in Rio, Olympic Gold... https…",2
"""A young man with dyslexia has reached the top of the world: congratulations to Fabio Basile in Rio, Olympic Gold... https://t.co/Bk5Tf6IRK2",2
"RT @ScandalousMurph: @KungFu_Grip That's the Judo Dreamboat Fabio Basile",2
"@KungFu_Grip That's the Judo Dreamboat Fabio Basile",2
"5th YOG athlete medal today! Fabio Basile, -66 kg #Judo! @Rio2016 @Olympics @IntJudoFed @Coninews #YOGtoRio #ITA https://t.co/hco5DMqbtr",1
"@HEBF1 If Olympic Gold Medal Winner, Fabio Basile, talked about being dyslexic, that would have been the interest; not that a dyslexic won.",1
"have you included fabio basile for judo italy yet or will you not include him? https://t.co/jcO3RZDpNQ",1
"Paltrinieri wins gold, immediately announces he will attend the Fabio Basile afterparty, now entering its second week",1
"My #athlete of the week: The cheeky Fabio Basile delivers breakout performance to win 66kg #judo gold https://t.co/fRDrg1AYuq #Sport #rio",1
"Has Fabio Basile climbed out of that vodka bottle yet

idk,",1
"Italian judo champion with #dyslexia Fabio Basile wins the gold in Rio:... https://t.co/Msuz6uoVGf",1
"If you weren't tweeting about Fabio Basile it offends me to the core to see you tweeting about Kayla Harrison. #judo band wagoners imo",1
"Think I'm in love with Fabio Basile #Rio2016 https://t.co/t3dUCd7WZ5",1
"#Olympics #Judo with #ITA's Fabio Basile
@fabiobasile66
https://t.co/Jd9Vpvel0v
#Olympian #athlete #Italian #Gold https://t.co/Jn29ujjXo3",1
"Fabio Basile show! #PowertoItaliaTeam https://t.co/PjA2KOG85A #ad",1
"Fabio Basile
#Gold in #judo

200th Gold for Italy in Olympics history https://t.co/wRnb3D4tRT",1
"JUDO - Fabio Basile - ITALY - Against The Wind https://t.co/rAcDVVhYOs",1
"#Rio2016 #Olympic
Italian Fabio Basile celebrating winning the men's -66kg gold medal against Baul An of Korea https://t.co/l5bjtVwd6j",1
"and the gymnasts, and the diving teams, and the judo teams. . .ESPECIALLY Fabio Basile. . . . . https://t.co/X8VsErvMh7",1
"Looking at the Judo results so far from the Olympics and dang...Fabio Basile....",1
"#Tuesday4Her 
 Fabio Basile of Italy celebrates after winning the Gold Medal in Men's https://t.co/hXyYbC4hjx",1
"LET'S JUST TAKE A MOMENT TO APPRECIATE FABIO BASILE. #Rio2016",1
"Watch “JUDO - Fabio Basile - ITALY - Against The Wind” on #Vimeo https://t.co/hjyYULofLk",1
"Italian Fabio Basile even threw in a sommersault to celebrate winning #Rio2016 https://t.co/kcWwBWNW3f",1
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
