"tweet","retweets"
"RT @cnnsport: Is Usain Bolt immortal? ""Two more medals to go and I can sign off. Immortal."" https://t.co/mkWYVTtWVU https://t.co/wuuzEVw2hu",202
"RT @nytimes: Usain Bolt of Jamaica is (still) the world's fastest man https://t.co/6Q0d354WGJ https://t.co/25LuOEqS4S",201
"RT @nytimes: Usain Bolt of Jamaica is (still) the world's fastest man https://t.co/6Q0d354WGJ https://t.co/25LuOEqS4S",200
"RT @TIME: Justin Gatlin has a final chance tonight to beat Usain Bolt‚Äîand win redemption https://t.co/O3TCWSpwM2",199
"RT @BBCSport: Excited?

#UsainBolt v Justin Gatlin is not far away now.

Don't fall asleep now. #Rio2016

https://t.co/Vd0AsfPNtu https://t‚Ä¶",199
"RT @Aneerinyourear: Usain Bolt to Justin Gatlin https://t.co/afeQ0lljFR",199
"RT @TelegraphSport: The moment Justin Gatlin realised he had made a terrible mistake https://t.co/qHZ8pXnM5S https://t.co/d53IcPXHiS",198
"The moment Justin Gatlin realised he had made a terrible mistake https://t.co/qHZ8pXnM5S https://t.co/d53IcPXHiS",198
"RT @E_Scotty3: A man say Justin Gatlin collecting more silver than Judas Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç",197
"RT @WorIdStarLaugh: The winner of the Olympics 200m men final is Justin Gatlin https://t.co/R3E85KpSaa",197
"The winner of the Olympics 200m men final is Justin Gatlin https://t.co/R3E85KpSaa",197
"RT @MarshaCollier: Usain Bolt Is Still the World‚Äôs Fastest Man #GOLD #Olympics  https://t.co/MkKj1hXbaU",196
"Usain Bolt Is Still the World‚Äôs Fastest Man #GOLD #Olympics  https://t.co/MkKj1hXbaU",196
"RT @ProFootballTalk: Usain Bolt pulled the Eddie Murphy ""wanna lick? psych!"" move on Justin Gatlin. https://t.co/GOftRpxynO",195
"RT @theScore: #USA's Justin Gatlin takes home the silver, and #CAN's Andre De Grasse takes the bronze. https://t.co/yyuundSN5q https://t.co‚Ä¶",195
"RT @callmedollar: Justin Gatlin and Blair Underwood are the same person. I don't care. #Olympics",195
"RT @callmedollar: Justin Gatlin and Blair Underwood are the same person. I don't care. #Olympics",194
"RT @AndyGilder: If you're waking up and feeling a bit miserable, two-time drug cheat Justin Gatlin lost another final to a bloke who eats cÖ",194
"RT @AndyGilder: If you're waking up and feeling a bit miserable, two-time drug cheat Justin Gatlin lost another final to a bloke who eats c‚Ä¶",193
"If you're waking up and feeling a bit miserable, two-time drug cheat Justin Gatlin lost another final to a bloke who eats chicken nuggets.",193
"RT @Eurosport_UK: Justin Gatlin of the #USA gets a 'mixed reception' before cruising through his 200m heat in 20.43 secs... #Rio2016 https:‚Ä¶",192
"RT @RyannMcEnany: Me and Justin Gatlin!!! - @justingatlin is about to become the world's fastest man! https://t.co/Qg0VgK8uQq",192
"Justin Gatlin of the #USA gets a 'mixed reception' before cruising through his 200m heat in 20.43 secs... #Rio2016 https://t.co/WM5vEZZckw",192
"RT @ONS_Rio2016: Justin GATLIN (USA): ""We work 365 days a year to be here for nine seconds."" #AT #M100m #silver",192
"RT @rodneytwit: Thanks to @usainbolt Justin Gatlin now knows the Jamaican national anthem word 4 word..it's been a compulsory study for the‚Ä¶",192
"Thanks to @usainbolt Justin Gatlin now knows the Jamaican national anthem word 4 word..it's been a compulsory study for the Silver Surfer...",192
"RT @firstand10nixon: Zoom in and Retweet to make Justin Gatlin fans mad. https://t.co/7CRUBowDE4",192
"RT @ByTheMinRio2016: Usain Bolt has just run 9.86 in his 100m semi-final. The final is in around an hour

https://t.co/XgITna2sYo https://t‚Ä¶",192
"Zoom in and Retweet to make Justin Gatlin fans mad. https://t.co/7CRUBowDE4",192
"RT @televisionjam: .@yohanblake is set to take the track now. He lines up against World Leader, Justin Gatlin in semifinal 3 #TVJRio https:‚Ä¶",192
"RT @jessewashington: My report from the #Rio2016 100-meter final last night. What I saw in Justin Gatlin's eyes... https://t.co/68YxM8RW8J",192
"Rio Olympics 2016: Usain Bolt wins 100m gold, Justin Gatlin second
https://t.co/bqrjXULZpN https://t.co/723v4rMwvT",192
"RT @BoyleSports: When you've let everyone believe that Justin Gatlin actually had a chance ‚ö°Ô∏è
#Bolt https://t.co/SNiJKXJt6F",192
"RT @Omojuwa: This video of Yohan Blake touched me. I hope he truly comes back stronger. https://t.co/DtGlnoLWO4",192
"My report from the #Rio2016 100-meter final last night. What I saw in Justin Gatlin's eyes... https://t.co/68YxM8RW8J",192
"RT @_Kheemy: justin gatlin goodly have a senzu bean tree ina his room right now.
bere curse marks on his body and cursed fruits,lmao.",192
"When you've let everyone believe that Justin Gatlin actually had a chance ‚ö°Ô∏è
#Bolt https://t.co/SNiJKXJt6F",192
"RT @Malowbar: Justin Gatlin and Besigye https://t.co/1NOCiaWnLf",192
"RT @lenoretaylor: Usain Bolt surges past Justin Gatlin to win 100m gold ‚Äì Rio 2016 live! https://t.co/U13MCVqKvT",192
"This video of Yohan Blake touched me. I hope he truly comes back stronger. https://t.co/DtGlnoLWO4",192
"RT @alyssashariross: Really bothers me that NBC is so sympathetic toward Justin gatlin while vilifying yulia efimova. #Rio2016",192
"RT @ChrisReason7: Heats for 100m and crowd booing as US Justin Gatlin is announced. 2 x drug offences; they haven't forgotten",192
"RT @bluezlimit: Congratulations Justin Gatlin for grabbing that Silver again #USA",192
"RT @GuyKawasaki: Michael Johnson compares Usain Bolt and Justin Gatlinís running styles https://t.co/0DiLjSt4CD https://t.co/4wyZ5llDtL",192
"Michael Johnson compares Usain Bolt and Justin Gatlinís running styles https://t.co/0DiLjSt4CD https://t.co/4wyZ5llDtL",192
"RT @KaylaaBlackwell: Jamaican Usain Bolt Is Still the Worldís Fastest Man https://t.co/3pJEMXNZoZ",192
"RT @DayLabUAB: Once on same flight with Justin Gatlin. Flight cancelled, beat him to gate agent for ticket on next flight out. Feel like IÖ",192
"RT @MikeKlis: After 4 yrs of training Justin Gatlin showBolts his way out of 200 M finals--then brushes it off with smile. I am so out of tÖ",192
"RT @Citi973: Rio Olympics: Usain Bolt reaches menís 200m final but Justin Gatlin out |More: https://t.co/Mz4yAOLZUP #CitiSports https://t.cÖ",192
"RT @ColMorrisDavis: Seems no one told Justin Gatlin that 200 meters is a bit longer than 200 yards and you've got to run all 200 meters. htÖ",192
"Rio Olympics: Usain Bolt reaches menís 200m final but Justin Gatlin out |More: https://t.co/Mz4yAOLZUP #CitiSports https://t.co/MyxufcyA6U",192
"RT @JustJared: Usain Bolt places first in the 200m semifinals while USA's Justin Gatlin just misses out: https://t.co/OtUVnqXgFp https://t.Ö",192
"RT @tosinadeda: Justin Gatlin and Yohan Blake have crashed out of the 200m finals <ed><U+00A0><U+00BD><ed><U+00B8><U+00A8><ed><U+00A0><U+00BD><ed><U+00B8><U+00B0><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1>

They join Oduduru <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>

#Rio2016 #Olympics",192
"Usain Bolt places first in the 200m semifinals while USA's Justin Gatlin just misses out: https://t.co/OtUVnqXgFp https://t.co/ngqt9hghTL",192
"After 4 yrs of training Justin Gatlin showBolts his way out of 200 M finals--then brushes it off with smile. I am so out of touch #9sports",192
"RT @ByrnesFB: Justin Gatlin just missed the 200m final because he was looking at the competition. Keep focused on the prize!",192
"RT @exhoopsPRguy: Justin Gatlin blew it, y'all.  Clearly had a chance to make it to the final, but he was too cool for school...SMDH. #OlymÖ",192
