"tweet","retweets"
"RT @CBCOlympics: #CAN's Andre De Grasse went 'The Distance' last night. @MaestroFreshWes https://t.co/kGgn3KIpbQ https://t.co/FynB6ErIjr",141
"RT @CTVNews: Andre De Grasse wins silver, Usain Bolt takes gold in 200-metre final https://t.co/d0V6zFLhj7 #ctvrio",140
"RT @BlakeMurphyODC: Find someone who looks at you like Andre De Grasse looks at Usain Bolt. https://t.co/oQjQhj7auW",139
"RT @CBCOlympics: When Usain Bolt and Andre De Grasse are running that fast, watching the 200m finish in slow motion is a must https://t.co/…",138
"RT @CBCOlympics: Andre De Grasse becomes third Canadian ever to medal in both sprint events #Rio2016 https://t.co/67H1kFQYJm",137
"RT @people: Usain Bolt and Andre De Grasse share a grin as they finish 200-meter semifinal https://t.co/S9nqQw06qH https://t.co/45E36noUGw",136
"RT @680NEWS: #BREAKING: #CAN Andre De Grasse wins silver in men's 200-metre at #Rio2016. Usain Bolt wins Olympic gold. https://t.co/tGonIxJ…",136
"RT @SportsCentre: MEDAL ALERT: Canada's Andre De Grasse wins SILVER in men's 200 metres at #Rio2016; Usain Bolt wins gold. https://t.co/MX8…",135
"RT @globalnewsto: Rio 2016: Andre De Grasse sets Canadian record en route to advancing to the 200m finals at Summer Games https://t.co/2KTP…",134
"RT @MetroNewsCanada: Canada's De Grasse takes silver in the 200-metre sprint, right behind Usain Bolt #Rio2016 https://t.co/WqafnITHhK http…",133
"RT @ELLEUK: Andre De Grasse and Usain Bolt = bromance goals <ed><U+00A0><U+00BD><ed><U+00B9><U+008C> https://t.co/0keynzqDnr https://t.co/dVsxSkMmAa",132
"RT @rhysbrownnn: I want a relationship like Andre de Grasse and Usian Bolt <ed><U+00A0><U+00BD><ed><U+00B8><U+00BB>",132
"RT @CJOBSports: Andre De Grasse wins #silver in men's 200m. Usain Bolt wins gold for 3rd straight Olympics. #Rio2016",132
"RT @toddcrist2: Usain Bolt &amp; Andre De Grasse in 200 semis doing impersonation of @ConnerSowders &amp; @tommygrant15 in 2012 https://t.co/cCjoVC…",132
"Andre De Grasse and Usain Bolt = bromance goals <ed><U+00A0><U+00BD><ed><U+00B9><U+008C> https://t.co/0keynzqDnr https://t.co/dVsxSkMmAa",132
"RT @qz: A historic bromance: Usain Bolt and Andre De Grasse, in photos https://t.co/12rMOYGjRS",132
"A historic bromance: Usain Bolt and Andre De Grasse, in photos https://t.co/12rMOYGjRS",132
"RT @GlobalBC: Rio 2016: Andre De Grasse wins silver in showdown with Usain Bolt in men’s 200m https://t.co/wp8BlvRQFb",132
"RT @InsideUSC: #USC sprinter Andre De Grasse wins silver in 200 meters behind winner Usain Bolt https://t.co/swmeIZEC5L",132
