"tweet","retweets"
"RT @OTreeHill: Nathan and Haley's first kiss. Hands down the best first kiss ever. #OneTreeHill https://t.co/fqBZ5lzlS3",14
"RT @jlomarie98: Matt Anderson appreciate tweet <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+0090> #usavolleyball https://t.co/l3faADPyyC",13
"RT @Smike_44: Anderson fr need Jesus. South Carolina fr need Jesus. our country fr need Jesus. this world fr need Jesus. everybody fr need…",12
"RT @TeamUSA: A SOLID 5th place win for @SwimHaley this morning in the Swimming Marathon! CONGRATS! <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> <ed><U+00A0><U+00BC><ed><U+00BE><U+0089>

https://t.co/azza8h5VHx https://t.…",11
"A SOLID 5th place win for @SwimHaley this morning in the Swimming Marathon! CONGRATS! <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> <ed><U+00A0><U+00BC><ed><U+00BE><U+0089>

https://t.co/azza8h5VHx https://t.co/qNb8Cg8alF",11
"RT @kaitlyn_hankins: idk bout y'all but matt anderson makes me feel some type of way https://t.co/1QIOaReLoK",10
"RT @juliarasaa: Matt anderson is pure gold<ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> https://t.co/IeMXlyqXe0",9
"RT @Allure_magazine: Why #Olympic swimmer @SwimHaley uses this drugstore lotion to hydrate her skin: https://t.co/Jx0C38hP5d #Rio2016 https…",8
"RT @ivey_rodigo: Matt Anderson from USA men's volleyball team is the love of my life<ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #usavolleyball",8
"Why #Olympic swimmer @SwimHaley uses this drugstore lotion to hydrate her skin: https://t.co/Jx0C38hP5d #Rio2016 https://t.co/oBoHfUlPDW",8
"RT @DanWolken: Eva Ristov (HUN) and Haley Anderson (USA), who went 1-2 in the 2012 marathon swim are both in the top-5 about halfway throug…",7
"Eva Ristov (HUN) and Haley Anderson (USA), who went 1-2 in the 2012 marathon swim are both in the top-5 about halfway through in Rio",7
"RT @SwimmingWorld: Haley Anderson swimming back of the pack early on in 10k @FINISswim",7
"Haley Anderson swimming back of the pack early on in 10k @FINISswim",7
"RT @Allure_magazine: Cocoa butter provides intense hydration—and plays an active role in @SwimHaley's moisturizing routine: https://t.co/et…",7
"Cocoa butter provides intense hydration—and plays an active role in @SwimHaley's moisturizing routine: https://t.co/et7KRxlWw2",7
"RT @WeSupportTheUS: End of Rio for the day... Tomorrow starts with Haley Anderson in the 10km open water swim event at 8 AM ET!",7
"End of Rio for the day... Tomorrow starts with Haley Anderson in the 10km open water swim event at 8 AM ET!",7
"RT @Allure_magazine: #Olympic swimmer @SwimHaley knows you need a heavy-duty lotion post-swim: https://t.co/w7h8j3bcUI https://t.co/6lA6mOc…",7
"#Olympic swimmer @SwimHaley knows you need a heavy-duty lotion post-swim: https://t.co/w7h8j3bcUI https://t.co/6lA6mOcQPh",7
"RT @BrooklynTrimbl: God bless Matt Anderson and his tattoos https://t.co/NDopmXSFu9",7
"RT @tattoo_dot_com: #tattoodotcom #inkoftheday by Mikhail Anderson
#birdtattoo #blackworktattoo #naturetattoo
https://t.co/LNQc1XP7em https…",7
"#tattoodotcom #inkoftheday by Mikhail Anderson
#birdtattoo #blackworktattoo #naturetattoo
https://t.co/LNQc1XP7em https://t.co/r88BI8S796",7
"RT @dejbanlaw: This Olympic Swimmer is Going to Great Lengths to Protect Herself in Rio https://t.co/wZpZgJyBHv #Rio2016 https://t.co/kMur3…",7
"This Olympic Swimmer is Going to Great Lengths to Protect Herself in Rio https://t.co/wZpZgJyBHv #Rio2016 https://t.co/kMur3cWftE",7
"RT @TaylorDTTT: Matt Anderson
- Men's Volleyball
- Low key wish I was that volleyball rn https://t.co/SQc6oMELs6",6
"Matt Anderson is a babe<ed><U+00A0><U+00BD><ed><U+00B1><U+0085> https://t.co/JH0HLZJRWw",5
"RT @InStyle: 9 times Olympic swimmer @SwimHaley swam in style: https://t.co/Z0Q7cQZAoH https://t.co/AYxmtSR61W",4
"9 times Olympic swimmer @SwimHaley swam in style: https://t.co/Z0Q7cQZAoH https://t.co/AYxmtSR61W",4
"RT @TeamUSA: Open Swim starts TODAY! <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>

GOOD LUCK Haley Anderson! <ed><U+00A0><U+00BC><ed><U+00BF><U+008A>

<ed><U+00A0><U+00BD><ed><U+00B6><U+00A5> <U+27A1><U+FE0F> @NBCOlympics https://t.co/WMPN3G9fDO",3
"Open Swim starts TODAY! <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>

GOOD LUCK Haley Anderson! <ed><U+00A0><U+00BC><ed><U+00BF><U+008A>

<ed><U+00A0><U+00BD><ed><U+00B6><U+00A5> <U+27A1><U+FE0F> @NBCOlympics https://t.co/WMPN3G9fDO",3
"RT @SwimSwamLive: Fellow American Haley Anderson started at the bag of the pack and finished strong, but starting so far back definitely hu…",2
"Fellow American Haley Anderson started at the bag of the pack and finished strong, but starting so far back definitely hurt medal chance",2
"RT @SwimSwamLive: Haley Anderson of the United States moves into 5th place after the DQ.",2
"Haley Anderson of the United States moves into 5th place after the DQ.",2
"RT @WeSupportTheUS: Women's 10km Open Water Swim - Final
6th - Haley Anderson - 30 seconds behind bronze.",2
"Women's 10km Open Water Swim - Final
6th - Haley Anderson - 30 seconds behind bronze.",2
