"tweet","retweets"
"RT @dishonrodriguez: Jake Dalton Ì†ºÌ∑∫Ì†ºÌ∑∏ Gymnastics https://t.co/2ctksKtAn8",59
"RT @unsmokabIe: US olympic gymnast, jake dalton. god bless america https://t.co/PeNKChP08B",58
"RT @GabeIkard: Congrats to @cbrooks_wpr &amp; @jake_dalton for representing OU well at the Olympics. Huge congrats to @Alex_Naddour on the bron‚Ä¶",57
"Congrats to @cbrooks_wpr &amp; @jake_dalton for representing OU well at the Olympics. Huge congrats to @Alex_Naddour on the bronze!
#Boomer
#USA",57
"Thank youÌ†ΩÌ≤™Ì†ΩÌ≤™ https://t.co/LcnBfDYeKI",57
"#Flexin haha that's awesome! https://t.co/02AfI5RfsH",57
"RT @myboycrush: US olympic gymnast, jake dalton. god bless america https://t.co/uWtpi3i6Xc",56
"RT @whiteboysdamn: Jake Dalton Ì†ºÌ∑∫Ì†ºÌ∑∏ https://t.co/Ge32ZSMlRv",55
"Jake Dalton Ì†ºÌ∑∫Ì†ºÌ∑∏ https://t.co/Ge32ZSMlRv",55
"RT @TeamUSA: That feeling when it's time for @USAGym to compete again!! 

@jake_dalton @SamuelMikulak https://t.co/pA2Hs3CxcE",54
"That feeling when it's time for @USAGym to compete again!! 

@jake_dalton @SamuelMikulak https://t.co/pA2Hs3CxcE",54
"RT @ManCandyPics: Jake Dalton https://t.co/vqxtDubT0L",53
"Thank you sir!! https://t.co/mYBB9TBnLc",52
"RT @bieberbellamy: Jake Dalton. USA. Gymnastics.

eyes, eyes, eyes and arms, arms, arms https://t.co/YUpitODrQs",52
"RT @_LadyBoners: Jake Dalton Ì†ºÌ∑∫Ì†ºÌ∑∏ https://t.co/3b6bJKwaae",51
"Jake Dalton Ì†ºÌ∑∫Ì†ºÌ∑∏ https://t.co/3b6bJKwaae",51
"RT @FemaleTexts: Jake Dalton
- Men's Gymnastics
- Could round house kick me in the face and I would say thank you https://t.co/s5h8Nn0ugY",50
"RT @TweetLikeGirIs: Jake Dalton
- Men's Gymnastics
- Could round house kick me in the face and I would say thank you https://t.co/cbmwF3yL5r",49
"RT @myboycrushs: Jake Dalton
‚Äì Men's Gymnastics
‚Äì Could round house kick me in the face and I would say thank you https://t.co/6K8HIHCSLP",48
"RT @inadiwata: @jake_dalton @cbrooks_wpr you fought really hard &amp; made tons of sacrifices! your efforts are #GreaterThanGold https://t.co/g‚Ä¶",47
"RT @speedotodd: More of Jake Dalton wows crowd in men‚Äôs gymnastics https://t.co/Djsna9o1Wy",47
"@jake_dalton @cbrooks_wpr you fought really hard &amp; made tons of sacrifices! your efforts are #GreaterThanGold https://t.co/g6KhcooZ0v",47
"RT @JohnOrozco: Great EF yesterday! @jake_dalton @SamuelMikulak @gabrielledoug @Alex_Naddour PH bronze, @MadisonKocian UB silver &amp; @Simone_‚Ä¶",47
"RT @BlakeForry: Jake dalton Ì†ΩÌ∏≠Ì†ΩÌ∏çÌ†ΩÌ∏õ",47
"Great EF yesterday! @jake_dalton @SamuelMikulak @gabrielledoug @Alex_Naddour PH bronze, @MadisonKocian UB silver &amp; @Simone_Biles V gold. Ì†ºÌ∑∫Ì†ºÌ∑∏",47
"Jake dalton Ì†ΩÌ∏≠Ì†ΩÌ∏çÌ†ΩÌ∏õ",47
"RT @ErinMacx: Me when @SamuelMikulak and @jake_dalton walk into the arena https://t.co/yJoLRbo2L3",47
"Me when @SamuelMikulak and @jake_dalton walk into the arena https://t.co/yJoLRbo2L3",47
"Kill it man!! #Rio2016  https://t.co/Ad5NIUzwHb",47
"RT @arielsalle: Jake Dalton Ì†ΩÌ∏çÌ†ΩÌ∏çÌ†ΩÌ∏ç #SexyAthletes https://t.co/229AqiJjkY",47
"Jake Dalton Ì†ΩÌ∏çÌ†ΩÌ∏çÌ†ΩÌ∏ç #SexyAthletes https://t.co/229AqiJjkY",47
"More of Jake Dalton wows crowd in men‚Äôs gymnastics https://t.co/Djsna9o1Wy",47
"RT @USAGym: PHOTOS: Jake Dalton finishes 6th in the men's floor final; Sam Mikulak 8th. https://t.co/P2uDSBIa8J",46
"PHOTOS: Jake Dalton finishes 6th in the men's floor final; Sam Mikulak 8th. https://t.co/P2uDSBIa8J",46
"RT @NBCOlympics: .@jake_dalton rocks the floor #Rio2016 #Olympics https://t.co/Ta2aREofcC",45
".@jake_dalton rocks the floor #Rio2016 #Olympics https://t.co/Ta2aREofcC",45
"RT @FletcherFrann: Jake Dalton is easily the hottest USA athlete in Rio @hannahdalton_ https://t.co/j4a6j4sE4Y",44
"RT @si_olympics: Representing #TeamUSA on the rings is @jake_dalton, and later on the beam, @Simone_Biles and @lzhernandez02 #Rio2016",43
"Representing #TeamUSA on the rings is @jake_dalton, and later on the beam, @Simone_Biles and @lzhernandez02 #Rio2016",43
"RT @lennylarrys: @jake_dalton proud of you Jake! Ì†ΩÌ±çÌ†ºÌ∑∫Ì†ºÌ∑∏",43
"@jake_dalton proud of you Jake! Ì†ΩÌ±çÌ†ºÌ∑∫Ì†ºÌ∑∏",43
"RT @RoetzelTayler: Jake Dalton, mens gymnastics, team usa, blessing your timeline. @laurynallgood13 https://t.co/y3YZaw8JWW",43
"RT @AmandaKBorden: Gymnastics is back! Wishing these boys luck!!
Floor @SamuelMikulak @jake_dalton
Pommel @Alex_Naddour 
#TeamUSA https://t‚Ä¶",43
"Gymnastics is back! Wishing these boys luck!!
Floor @SamuelMikulak @jake_dalton
Pommel @Alex_Naddour 
#TeamUSA https://t.co/tYAhalq0vg",43
"Thank you! Awesome picture! https://t.co/9wShDDtwsA",43
"RT @clareromeroo_: Jake Dalton appreciation tweet Ì†ΩÌ∏ªÌ†ΩÌ≤ç
You're welcome Ì†ΩÌ∏è https://t.co/WOz8LzQTqO",43
"Jake Dalton appreciation tweet Ì†ΩÌ∏ªÌ†ΩÌ≤ç
You're welcome Ì†ΩÌ∏è https://t.co/WOz8LzQTqO",43
"RT @Ems190: Hellooooooo Jake Dalton. Go USA am I right? Ì†ΩÌ∏ç https://t.co/VnoKSe3rpx",42
"One more day until floor finals!!! #Rio2016",41
"RT @USAGym: It's official: @SamuelMikulak, @jake_dalton, @Alex_Naddour, @cbrooks_wpr and @JohnOrozco are headed to Rio! https://t.co/rVWF2q‚Ä¶",40
"Thank you Senator!! https://t.co/rtDqkasF8M",39
"RT @wellsgymn: The whole Dalton-Nowak crew @ProcterGamble House in Rio: @jake_dalton with wife, Kayla, parents, sister &amp; in-laws. https://t‚Ä¶",39
"RT @CMemmel: Excited for event finals!  Good luck @Simone_Biles @MadisonKocian @gabrielledoug @jake_dalton  @SamuelMikulak Ì†ΩÌ±äÌ†ºÌøªÌ†ºÌ∑∫Ì†ºÌ∑∏",39
"RT @kayla_mdalton: FLOOOR FINALS! @jake_dalton! Ì†ΩÌ≤ôÌ†ºÌ∑∫Ì†ºÌ∑∏‚ù§Ô∏è",39
"Excited for event finals!  Good luck @Simone_Biles @MadisonKocian @gabrielledoug @jake_dalton  @SamuelMikulak Ì†ΩÌ±äÌ†ºÌøªÌ†ºÌ∑∫Ì†ºÌ∑∏",39
"FLOOOR FINALS! @jake_dalton! Ì†ΩÌ≤ôÌ†ºÌ∑∫Ì†ºÌ∑∏‚ù§Ô∏è",39
"RT @cityofsparks: Best of luck to Sparks' own @Jake_Dalton this Sunday in #rio2016  Go 4 the gold Jake! We will be watching. https://t.co/E‚Ä¶",39
"Best of luck to Sparks' own @Jake_Dalton this Sunday in #rio2016  Go 4 the gold Jake! We will be watching. https://t.co/EuYUHMjihT",39
"So close to winning! https://t.co/F3vsj3BYu7",39
"RT @GAYWhistler: Male Olympic gymnasts say they'd be better off competing shirtless https://t.co/NsebdcQG7B via @outsports um... YES! #ab a‚Ä¶",39
"The whole Dalton-Nowak crew @ProcterGamble House in Rio: @jake_dalton with wife, Kayla, parents, sister &amp; in-laws. https://t.co/OsZGMqz3Pc",39
"Congrats @Simone_Biles and @Aly_Raisman on a killer performance tonight! #USA",38
"RT @possiblyvicky: Jake dalton
Gymnastics- US https://t.co/uMTZIUoCVp",37
"RT @female_books: Jake Dalton
- Men's Gymnastics
- Could round house kick me in the face and I would say thank you https://t.co/dVGvlIOTc1",36
"RT @BrianSandoval: .@jake_dalton represented Nevada and Team USA with real #BattleBorn spirit at #Rio2016. We're all proud of you.",35
".@jake_dalton represented Nevada and Team USA with real #BattleBorn spirit at #Rio2016. We're all proud of you.",35
"RT @Gillette: .@jake_dalton will look his best on top of the #Rio2016 podium courtesy of our 24K gold Fusion ProGlide shave. https://t.co/a‚Ä¶",35
"RT @madison_bibbo: holy god jake dalton i love you https://t.co/52lmvRTgVF",35
"holy god jake dalton i love you https://t.co/52lmvRTgVF",35
"RT @samanthapeszek: Jake Dalton hops after a few passes, but clean form to score 15.133, which unfortunately puts him out of medal contenti‚Ä¶",35
"Jake Dalton hops after a few passes, but clean form to score 15.133, which unfortunately puts him out of medal contention.",35
".@jake_dalton will look his best on top of the #Rio2016 podium courtesy of our 24K gold Fusion ProGlide shave. https://t.co/a2fbBCKZs2",35
"@FFDynastyTrades @DynastyTrades 10 Team PPR 2qb 2rb 4wr 2te 
Side giving Cam has Dalton, Smith and Ryan as backup qb",35
"RT @KRNV: Hometown hero @jake_dalton competes this weekend! Send in pics/vids of your well-wishes: https://t.co/k8Yv6snYbk https://t.co/4jA‚Ä¶",35
"Hometown hero @jake_dalton competes this weekend! Send in pics/vids of your well-wishes: https://t.co/k8Yv6snYbk https://t.co/4jA9xqBXk1",35
"RT @FuckUStevePena: Ì†ΩÌ≥∑ 2- Jake Dalton wows crowd in men‚Äôs gymnastics. https://t.co/I2G7wCWat7",35
"RT @speedotodd: Jake Dalton wows crowd in men‚Äôs gymnastics https://t.co/aSvveGaYdO",35
"RT @FuckUStevePena: Ì†ΩÌ≥∑ Jake Dalton wows crowd in men‚Äôs gymnastics. https://t.co/jf2Q0FP2F2",35
"Jake Dalton wows crowd in men‚Äôs gymnastics https://t.co/aSvveGaYdO",35
"Ì†ΩÌ≥∑ 2- Jake Dalton wows crowd in men‚Äôs gymnastics. https://t.co/I2G7wCWat7",35
"Ì†ΩÌ≥∑ Jake Dalton wows crowd in men‚Äôs gymnastics. https://t.co/jf2Q0FP2F2",35
"RT @lacyymae4: ""Why do you watch the Olympics?"" 
Me: ""Jake Dalton"" Ì†ΩÌ∏ç https://t.co/OFKOg9UE97",34
"RT @ManCanddyPics: Jake Dalton https://t.co/LTUC7naPMp",33
"RT @USAGym: With 30 minutes to go, here's the live feed link. Men's floor with @jake_dalton and @SamuelMikulak will be first: https://t.co/‚Ä¶",32
"With 30 minutes to go, here's the live feed link. Men's floor with @jake_dalton and @SamuelMikulak will be first: https://t.co/BK6oeNdI3W",32
"RT @imkennybrian: #RioOlympics2016 

hi jake dalton come to my room ill give you a gold metal https://t.co/c8xMpdkjEo",32
