"tweet","retweets"
"RT @BreakingNews: USA's Jeff Henderson wins Olympic gold in men's long jump - NBC https://t.co/7hiQdheT6d",64
"RT @HBCUBuzz: Former Stillman College star Jeff Henderson claims gold medal at Rio Olympics https://t.co/qzofihHTll",63
"RT @NBCSports: .@Chiefs worked out long jump gold medalist Jeff Henderson before win. https://t.co/YnR7Hklr3m https://t.co/QMe0Gc8mGl",63
".@Chiefs worked out long jump gold medalist Jeff Henderson before win. https://t.co/YnR7Hklr3m https://t.co/QMe0Gc8mGl",63
"RT @ArkansasOnline: Arkansas' Jeff Henderson waited until his final jump to claim the gold medal.
https://t.co/eGtF4bsI0U https://t.co/xnK5‚Ä¶",63
"RT @HBCUBuzz: Former Stillman College Star Jeff Henderson Claims Gold Medal At Rio Olympics https://t.co/R4S5kX2g2f",63
"Former Stillman College Star Jeff Henderson Claims Gold Medal At Rio Olympics https://t.co/R4S5kX2g2f",63
"Arkansas' Jeff Henderson waited until his final jump to claim the gold medal.
https://t.co/eGtF4bsI0U https://t.co/xnK5ceJDPs",63
"RT @SpheraOlimpica: #Atletismo Salto de longitud (M) 
#Oro Jeff Henderson #USA 
#Plata Levo Manyonga #RSA 
#Bronce Greg Rutherford #GBR",63
"Former Stillman College star Jeff Henderson claims gold medal at Rio Olympics https://t.co/qzofihHTll",63
"RT @nzaccardi: Jeff Henderson had 3 best jumps in the world last year, was 9th at World Champs. Wins Olympic title on his last jump. Revers‚Ä¶",63
"RT @ONS_Rio2016: Jeff HENDERSON (USA): ""My mum can't be here, she has Alzheimer's. When I place that medal in her hands, I'll be crying."" #‚Ä¶",63
"RT @dw_sports: #USA have picked up another gold! Jeff Henderson finishes first in men's long jump: https://t.co/Iy4FXzTqhP https://t.co/ag0‚Ä¶",63
"RT @nbc6: OLYMPIC UPDATE: American Jeff Henderson wins gold in the long jump: https://t.co/0jRp75txux https://t.co/rB8qFJGRLA",63
"RT @athleticsafrica: Final Results in Men's Long Jump. Jeff Henderson snatched Gold 8.38m; Luvo Manyonga #RSA drops to SilverÌ†ºÌøÖ8.37m &amp; Greg‚Ä¶",63
"RT @RachelDePompa: USA's Jeff Henderson wins gold in the men's long jump #Rio2016 https://t.co/BWS5Udvij2",62
"RT @FloTrack: Team USA's Jeff Henderson wins GOLD in the long jump! #Rio2016",61
"RT @ProFootballTalk: Chiefs worked out long jump gold medalist Jeff Henderson at their rookie minicamp in May https://t.co/eXXUyoObWL",60
"Chiefs worked out long jump gold medalist Jeff Henderson at their rookie minicamp in May https://t.co/eXXUyoObWL",60
"RT @7olympics: #USA Jeff Henderson takes the lead with his final jump of 8.38m! Two jumpers to come. What a final! #Rio2016 https://t.co/hf‚Ä¶",60
"RT @SenTomCotton: Congratulations to Jeff Henderson on his Olympic victory! Arkansas is proud of you! https://t.co/1fiYKDGexP",60
"Congratulations to Jeff Henderson on his Olympic victory! Arkansas is proud of you! https://t.co/1fiYKDGexP",60
"RT @SportsHBCU: Former Stillman College Star Jeff Henderson Claims Gold Medal At Rio Olympics https://t.co/rQFAtyaK54",60
"Former Stillman College Star Jeff Henderson Claims Gold Medal At Rio Olympics https://t.co/rQFAtyaK54",60
"RT @NBCLA: GOLD! USA's Jeff Henderson wins gold in the long jump https://t.co/4ZygYZkk5n",60
"RT @USATODAY: #BREAKING American Jeff Henderson wins gold in men's long jump at Rio Olympics https://t.co/rjVUTCWL90",59
"RT @si_olympics: #USA's Jeff Henderson is your long-jump gold medalist! Gold medal No. 999 for #TeamUSA!",58
"RT @SBNation: Jeff Henderson wins gold in the long jump! Ì†ºÌøÖ https://t.co/cTNAADFL0i",57
"RT @NBCOlympics: Jeff Henderson won gold in the Long Jump.

First on his agenda: buy his mom and dad a house.
https://t.co/LJf9pvPIbV https‚Ä¶",56
"Jeff Henderson won gold in the Long Jump.

First on his agenda: buy his mom and dad a house.
https://t.co/LJf9pvPIbV https://t.co/ugV9ZMdU0P",56
"Pep Rally at LIT airport for SHHS Jeffrey GOLD Henderson at 10 am Wednesday!  Jeff Henderson's  flight lands at... https://t.co/29eQjmGdeQ",55
"RT @fuckalzheimers: ""My mom can't be here, she has Alzheimer's. When I place that medal in her hands, I'll be crying."" - Gold... https://t.‚Ä¶",55
"RT @HindsCCSports: American Henderson captures gold in long jump https://t.co/BQdQKd45Fd",55
"""My mom can't be here, she has Alzheimer's. When I place that medal in her hands, I'll be crying."" - Gold... https://t.co/RIfKXq2byG",55
"RT @BlackPRWire: Jeff Henderson leaped to earn his Olympic Gold Medal in the Men's Long Jump Competition!! #Rio2016 https://t.co/2YYxJJ6ytg",55
"Jeff Henderson leaped to earn his Olympic Gold Medal in the Men's Long Jump Competition!! #Rio2016 https://t.co/2YYxJJ6ytg",55
"American Henderson captures gold in long jump https://t.co/BQdQKd45Fd",55
"RT @TerezPaylor: Jeff Henderson, who won a gold in the long jump at the Olympics this week, was a tryout player for the #Chiefs in May. WR‚Ä¶",55
"RT @HBCUToday: Stillman‚Äôs Jeff Henderson Wins Olympic Gold Medal In Long Jump ‚Äì (Video) https://t.co/SvCxweMZ8l",55
"Jeff Henderson, who won a gold in the long jump at the Olympics this week, was a tryout player for the #Chiefs in May. WR from Stillman.",55
"Stillman‚Äôs Jeff Henderson Wins Olympic Gold Medal In Long Jump ‚Äì (Video) https://t.co/SvCxweMZ8l",55
"RT @Tyler_Greever: .@HindsCCSports alum Jeff Henderson took home a gold medal tonight in the men's long jump at #Rio2016",55
"RT @USATODAY: USA's Jeff Henderson leaps to gold in long jump https://t.co/HvnpTg8NsF https://t.co/bHsMtdwO5B",54
"RT @Lesdoggg: WAY TO GO JEFF HENDERSON SLAY ALL DAY USA USA USA https://t.co/uooQZboriY",53
"WAY TO GO JEFF HENDERSON SLAY ALL DAY USA USA USA https://t.co/uooQZboriY",53
"RT @NBCSports: #TeamUSA's Jeff Henderson wins gold in the Long Jump BY A CENTIMETER. 
More Track and Field: https://t.co/URlsenagdO https:/‚Ä¶",53
"#TeamUSA's Jeff Henderson wins gold in the Long Jump BY A CENTIMETER. 
More Track and Field: https://t.co/URlsenagdO https://t.co/NH5dK81VBk",53
"RT @TroySchulteADG: Jeff Henderson, from McAlmont, Ark., just won an Olympic gold medal in the long jump. His 8.38 edged out South Africa's‚Ä¶",52
"RT @jaxdotcom: Team USA medal: Jeff Henderson claims gold in men‚Äôs long jump at the #Rio2016 #Olympics https://t.co/BpWnDQ9W8h",51
"RT @Foliage_Reports: Mount Chocorua seen from Tamworth - New England fall foliage https://t.co/jFu8Drri1k",50
"RT @AlzheimersMANH: Congrats @Jeffery_henders for winning the gold at the Olympics and TY for raising awareness to #ENDALZ #TrueChampion ht‚Ä¶",50
"Congrats @Jeffery_henders for winning the gold at the Olympics and TY for raising awareness to #ENDALZ #TrueChampion https://t.co/lcCqpsUxY6",50
"RT @1340AMFOXSports: Here is @SOCIALYAYA
interview w/ #olympics GOLD medalist Jeff Henderson. #trackandfield https://t.co/lRc5FKnloj e is h‚Ä¶",50
"Here is @SOCIALYAYA
interview w/ #olympics GOLD medalist Jeff Henderson. #trackandfield https://t.co/lRc5FKnloj e is https://t.co/y9NILdZckn",50
"RT @TheTruth24US: USA""s Jeff Henderson leaps to snatch Olympic long jump gold. https://t.co/jFEoFUzzwR https://t.co/ZwS2ojfBK0",50
"RT @ChrisJansing: Looking to hit the 1,000 mark tonight. With Jeff Henderson‚Äôs gold medal in the Long Jump, the US now has 999 Gold Medals‚Ä¶",50
"RT @ChrisHudgison: #Rio2016: Hinds CC has a gold medalist. Former Eagle Jeff Henderson wins long jump for Team USA",50
"USA""s Jeff Henderson leaps to snatch Olympic long jump gold. https://t.co/jFEoFUzzwR https://t.co/ZwS2ojfBK0",50
"RT @ShawnZGatlin: USA's Jeff Henderson leaps to gold in long jump https://t.co/KyxU24LKNe",50
"RT @LWOS_JB3: Men's #LongJump medals:
#Gold Jeff Henderson #USA 8.38m
#Silver Luvo Manyonga #RSA 8.37m
#Bronze Greg Rutherford #GBR 8.29m
#‚Ä¶",50
"RT @CollectedN: U.S. long jumper Jeff Henderson soars to gold https://t.co/tAQJRahC0Q",50
"Men's #LongJump medals:
#Gold Jeff Henderson #USA 8.38m
#Silver Luvo Manyonga #RSA 8.37m
#Bronze Greg Rutherford #GBR 8.29m
#Athletics",50
"USA's Jeff Henderson leaps to gold in long jump https://t.co/KyxU24LKNe",50
"U.S. long jumper Jeff Henderson soars to gold https://t.co/tAQJRahC0Q",50
"RT @Olympics: Jeff Henderson (#USA) takes gold in men's long jump! Distance = 8.38m! #Olympics #Athletics https://t.co/vWKWE1a2FS",49
"RT @Lesdoggg: Long jump ceremony SLAY ALL DAY USA!! Jeff Henderson!! https://t.co/pyKX3vt3cM",48
"RT @ESQPolitics: Hey Jeff Henderson. I'm glad you won the long jump, even if NBC doesn't seem to care. #usafield",48
"Long jump ceremony SLAY ALL DAY USA!! Jeff Henderson!! https://t.co/pyKX3vt3cM",48
"RT @5liveSport: It's a #bronze medal for Greg Rutherford in the men's long jump

#Gold to Jeff Henderson from #USA https://t.co/pMFMDYSfXC",48
"RT @KATVJason: North Little Rock is golden!  Jeff Henderson (McAlmont) wins the long jump in Rio! https://t.co/dw97GgfGr7",47
"North Little Rock is golden!  Jeff Henderson (McAlmont) wins the long jump in Rio! https://t.co/dw97GgfGr7",47
"RT @Genworth: ""My mom can't be here, she has Alzheimer's. When I place that medal in her hands, I'll be crying."" 
https://t.co/qoaSmPvA18",46
"""My mom can't be here, she has Alzheimer's. When I place that medal in her hands, I'll be crying."" 
https://t.co/qoaSmPvA18",46
"RT @7SportsXtra: Congrats to former Florida Memorial Univ star Jeff Henderson on winning the long jump. Henderson leaped 27 feet, 6 inches.‚Ä¶",46
"Congrats to former Florida Memorial Univ star Jeff Henderson on winning the long jump. Henderson leaped 27 feet, 6 inches. #TeamUSA #Gold",46
"RT @celticsblog: Can Bolt catch a football?
Can Jeff Henderson dunk a basketball?
asking for some friends",46
"RT @_EpicTweets__: Congrats to HBCU GRAD Jeff Henderson on his Gold Medal in the men's long jump!!!",46
"Can Bolt catch a football?
Can Jeff Henderson dunk a basketball?
asking for some friends",46
"Congrats to HBCU GRAD Jeff Henderson on his Gold Medal in the men's long jump!!!",46
"RT @RodsRacers: Hinds Community College alum Jeff Henderson wins gold in long jump, https://t.co/1oZuAQO0pZ",46
