"tweet","retweets"
"RT @nbcwashington: Winning an Olympic marathon is hard enough, but when a protester jumps the fence in front of you, focus is key. https://…",23
"RT @STcom: #Olympics Jemima Jelagat Sumgong becomes first Kenyan woman to win Olympic #marathon https://t.co/2PuZvlz4eL https://t.co/FSMiux…",23
"Winning an Olympic marathon is hard enough, but when a protester jumps the fence in front of you, focus is key. https://t.co/8luA5pnjzf",23
"#Olympics Jemima Jelagat Sumgong becomes first Kenyan woman to win Olympic #marathon https://t.co/2PuZvlz4eL https://t.co/FSMiuxmtow",23
"RT @STcom: #Olympics Singapore's Neo Jie Shi completes women's marathon https://t.co/2PuZvlz4eL https://t.co/S77JazrGw5",22
"#Olympics Singapore's Neo Jie Shi completes women's marathon https://t.co/2PuZvlz4eL https://t.co/S77JazrGw5",22
"RT @sportstarweb: Jemima Jelagat Sumgong: first #KEN woman to win an #Olympics #marathon #Gold #Rio2016 
https://t.co/u4VZkPzQwP https://t.…",22
"Jemima Jelagat Sumgong: first #KEN woman to win an #Olympics #marathon #Gold #Rio2016 
https://t.co/u4VZkPzQwP https://t.co/Cr0hDK7mVj",22
"RT @gmanews: Kenyan Jemima Jelagat Sumgong won gold in the women's Olympic marathon, the first Kenyan woman to take the title. https://t.co…",21
"Kenyan Jemima Jelagat Sumgong won gold in the women's Olympic marathon, the first Kenyan woman to take the title. https://t.co/9TBvAwguw6",21
"RT @NBCNewYork: Jemima Jelagat Sumgong becomes 1st Kenyan woman to win Olympic marathon https://t.co/aszYbQJsYv https://t.co/K3j3GcvAGM",21
"Jemima Jelagat Sumgong becomes 1st Kenyan woman to win Olympic marathon https://t.co/aszYbQJsYv https://t.co/K3j3GcvAGM",21
"RT @DStv_Kenya: What a performance!! #KEN's Jemima Jelagat Sumgong takes #Gold in the Women's Marathon. #Athletics #Rio2016",20
"What a performance!! #KEN's Jemima Jelagat Sumgong takes #Gold in the Women's Marathon. #Athletics #Rio2016",20
"RT @guardian_sport: #Rio2016 #Olympics: Jemima Jelagat Sumgong of #Ken has won #gold in the women's marathon https://t.co/JfL7u0foVo https:…",19
"#Rio2016 #Olympics: Jemima Jelagat Sumgong of #Ken has won #gold in the women's marathon https://t.co/JfL7u0foVo https://t.co/H1psJ6TBFW",19
"RT @NBCLA: JUST IN: Jemima Jelagat Sumgong becomes 1st Kenyan woman to win Olympic marathon #Rio2016 https://t.co/uyMyD4QTFk",18
"JUST IN: Jemima Jelagat Sumgong becomes 1st Kenyan woman to win Olympic marathon #Rio2016 https://t.co/uyMyD4QTFk",18
"RT @ZeeNews: Jemima Jelagat Sumgong becomes first Kenyan woman to win Olympic marathon at Rio 2016
https://t.co/61ZpF9Slfw https://t.co/XIE…",17
"Jemima Jelagat Sumgong becomes first Kenyan woman to win Olympic marathon at Rio 2016
https://t.co/61ZpF9Slfw https://t.co/XIEUESuoNu",17
"RT @CovertAnonymous: GuardianUS: RT guardian_sport: #Rio2016 #Olympics: Jemima Jelagat Sumgong of #Ken has won #gold in the women's mar… ht…",17
"GuardianUS: RT guardian_sport: #Rio2016 #Olympics: Jemima Jelagat Sumgong of #Ken has won #gold in the women's mar… https://t.co/lG2dPVP1cr",17
"RT @Rio2016_en: With a time of 2:24.04 Jemima Jelagat Sumgong becomes the first #KEN woman to take #Gold in an Olympic Marathon #Athletics",16
"With a time of 2:24.04 Jemima Jelagat Sumgong becomes the first #KEN woman to take #Gold in an Olympic Marathon #Athletics",16
"RT @nbc6: Jemima Jelagat Sumgong becomes 1st Kenyan woman to win Olympic Marathon: https://t.co/gWs3fl5NVD #Rio2016 https://t.co/AK1er8I9bn",15
"Jemima Jelagat Sumgong becomes 1st Kenyan woman to win Olympic Marathon: https://t.co/gWs3fl5NVD #Rio2016 https://t.co/AK1er8I9bn",15
"RT @STcom: #Olympics Estonia's #Luik sisters made Olympics history as the first triplets to compete https://t.co/2PuZvlz4eL https://t.co/Oj…",14
"#Olympics Estonia's #Luik sisters made Olympics history as the first triplets to compete https://t.co/2PuZvlz4eL https://t.co/OjE45aqDJ9",14
"RT @MailSport: #EST sisters become first triplets to compete at the #Olympics https://t.co/5sBeLQRD7c https://t.co/JJOnDN3XTK",13
"#EST sisters become first triplets to compete at the #Olympics https://t.co/5sBeLQRD7c https://t.co/JJOnDN3XTK",13
"RT @CBCOlympics: Jemima Jelagat Sumgong wins #KEN's first ever #Gold in the women's marathon. #Rio2016 https://t.co/e7QxMUhjHy https://t.co…",12
"Jemima Jelagat Sumgong wins #KEN's first ever #Gold in the women's marathon. #Rio2016 https://t.co/e7QxMUhjHy https://t.co/rjV04tWJDQ",12
"RT @SpeakerJBMuturi: Congratulations our hero Jemima Sumgong Jelagat for bringing home the first ever Olympics Marathon Gold from Rio https…",11
"Congratulations our hero Jemima Sumgong Jelagat for bringing home the first ever Olympics Marathon Gold from Rio https://t.co/AGc0kDJu0P",11
"RT @HopeMagazine1: Congs to Jemima Jelagat Sumgong who becomes the first #KEN woman to take #Gold in an Olympic Marathon #Athletics https:/…",10
"RT @DorothyGithae: “@seanmusings: #Jemima #Jelagat #Sumgong wins Kenya's women's marathon gold in the #RioOlympics2016 @MakeItKenya https:/…",10
"RT @NBCDFW: Jemima Jelagat Sumgong, 1st Kenyan to win the women’s marathon (while evading a protester) https://t.co/brBYas26fy https://t.co…",10
"Jemima Jelagat Sumgong, 1st Kenyan to win the women’s marathon (while evading a protester) https://t.co/brBYas26fy https://t.co/FXGRIRGzgq",10
"RT @STsportsdesk: #Olympics Estonia's #Luik sisters made Olympics history as the first triplets to compete https://t.co/Q7eWeDHgha https://…",10
"#Olympics Estonia's #Luik sisters made Olympics history as the first triplets to compete https://t.co/Q7eWeDHgha https://t.co/zdxnzd0Kh7",10
"RT @91trackfield: Jemima Jelagat SUMGONG #KEN 2:24:04 wins #GOLD first gold for Kenya in Women's Marathon #athletics #rio2016 https://t.co/…",10
"RT @nbcchicago: Jemima Jelagat Sumgong becomes the first Kenyan woman to win the Olympic marathon: https://t.co/41NeiZ98hr #Rio2016 https:/…",10
"Jemima Jelagat Sumgong becomes the first Kenyan woman to win the Olympic marathon: https://t.co/41NeiZ98hr #Rio2016 https://t.co/MH3CD21G84",10
"Congs to Jemima Jelagat Sumgong who becomes the first #KEN woman to take #Gold in an Olympic Marathon #Athletics https://t.co/9P6QKI3atk",10
"Jemima Jelagat SUMGONG #KEN 2:24:04 wins #GOLD first gold for Kenya in Women's Marathon #athletics #rio2016 https://t.co/8KNqReNEO3",10
"“@seanmusings: #Jemima #Jelagat #Sumgong wins Kenya's women's marathon gold in the #RioOlympics2016 @MakeItKenya https://t.co/htT5HJLxN2”",10
"RT @victormatara: London Marathon champion Jemima Jelagat Sumgong wins the women's' marathon in #Rio2016 in 2:24:04. A first Gold for 
#ken…",9
"London Marathon champion Jemima Jelagat Sumgong wins the women's' marathon in #Rio2016 in 2:24:04. A first Gold for 
#ken . Congratulations!",9
"RT @victormatara: Jemima Jelagat Sumgong may have just broken this. Kenya to win gold in the women's Marathon #Rio2016 #ken",8
"Jemima Jelagat Sumgong may have just broken this. Kenya to win gold in the women's Marathon #Rio2016 #ken",8
"RT @BobGodec: Huge hongera to #Kenya’s Jemima Jelagat Sumgong on winning the GOLD in the #marathon in #Rio2016! Stunning run! https://t.co/…",7
"Huge hongera to #Kenya’s Jemima Jelagat Sumgong on winning the GOLD in the #marathon in #Rio2016! Stunning run! https://t.co/MjodCjy1zv",7
"RT @CiruMuriuki: Jemima Jelagat Sumgong! Thank you for our first gold medal! #TeamKe",7
"Jemima Jelagat Sumgong! Thank you for our first gold medal! #TeamKe",7
"RT @CARARuns: Congrats to Jemima Jelagat Sumgong of Kenya 4 winning the women's marathon w/ a time of 2:24:04. #marathon #Rio2016 https://t…",6
"RT @NYTSports: Jemima Jelagat Sumgong won the women’s marathon after a protester intruded on the race https://t.co/RUNLwUorYJ https://t.co/…",6
"Jemima Jelagat Sumgong won the women’s marathon after a protester intruded on the race https://t.co/RUNLwUorYJ https://t.co/MeLEi98BMu",6
"RT @sportstarweb: Jemima Jelagat Sumgong became the first Kenyan to win the women's #Marathon! #Rio2016

https://t.co/4EELVSq6Np https://t.…",6
"Jemima Jelagat Sumgong became the first Kenyan to win the women's #Marathon! #Rio2016

https://t.co/4EELVSq6Np https://t.co/B3eAIIBOmg",6
"RT @NBCPhiladelphia: Sumgong becomes 1st Kenyan woman to win Olympic marathon as 3 Americans place in Top 10: https://t.co/YYSCaFkVww https…",6
"Sumgong becomes 1st Kenyan woman to win Olympic marathon as 3 Americans place in Top 10: https://t.co/YYSCaFkVww https://t.co/RE8hs4s4IS",6
"RT @STsportsdesk: #Olympics Singapore's Neo Jie Shi completes women's marathon https://t.co/Q7eWeDHgha https://t.co/f9VcRgOQ09",6
"Congrats to Jemima Jelagat Sumgong of Kenya 4 winning the women's marathon w/ a time of 2:24:04. #marathon #Rio2016 https://t.co/8dGsX9EHmH",6
"#Olympics Singapore's Neo Jie Shi completes women's marathon https://t.co/Q7eWeDHgha https://t.co/f9VcRgOQ09",6
"RT @RioOlympicNews: With a time of 2:24.04 Jemima
Jelagat Sumgong becomes the
first #KEN woman to take
#Gold in an Olympic Marathon
#Athlet…",6
"With a time of 2:24.04 Jemima
Jelagat Sumgong becomes the
first #KEN woman to take
#Gold in an Olympic Marathon
#Athletics",6
"RT @guygruber: Kenya's Jemima Jelagat Sumgong winning gold in women's marathon in time of 2:24:04. #Rio2016 #marathon https://t.co/Lhbu4dfV…",5
"Kenya's Jemima Jelagat Sumgong winning gold in women's marathon in time of 2:24:04. #Rio2016 #marathon https://t.co/Lhbu4dfVIP",5
"RT @cnnsport: GOLD! Kenya's Jemima Jelagat Sumgong wins the women's Olympic marathon to take nation's first gold of Rio 2016 #KEN https://t…",4
"GOLD! Kenya's Jemima Jelagat Sumgong wins the women's Olympic marathon to take nation's first gold of Rio 2016 #KEN https://t.co/9HRiSSi6wB",4
"RT @Diop_WB: A cause 4 celebration: Jemima Jelagat Sumgong becomes 1st
Kenyan woman to win Olympic marathon gold #Rio2016: https://t.co/gAv…",3
"A cause 4 celebration: Jemima Jelagat Sumgong becomes 1st
Kenyan woman to win Olympic marathon gold #Rio2016: https://t.co/gAvYw6ooxT",3
"RT @DStv_Kenya: #KEN 's Visiline Jepkesho, Helah Kiprop, Jemima Jelagat Sumgong are going for #Gold in the Women's Marathon from 3.20PM. #A…",3
"#KEN 's Visiline Jepkesho, Helah Kiprop, Jemima Jelagat Sumgong are going for #Gold in the Women's Marathon from 3.20PM. #Athletics #Rio2016",3
"RT @NuvoConsulting: RT WorldBankAfrica : RT Diop_WB: A cause 4 celebration: Jemima Jelagat Sumgong becomes 1st
Kenyan woman to win Oly… htt…",2
"RT WorldBankAfrica : RT Diop_WB: A cause 4 celebration: Jemima Jelagat Sumgong becomes 1st
Kenyan woman to win Oly… https://t.co/1x9bv8ZocQ",2
"RT @TransAfrica872: Rio 2016 in pictures
Kenya’s Jemima Jelagat Sumgong runs towards the finish line before winning the women’s marathon ht…",2
"RT @BuzzKenya: Sumgong Picks Up First Gold, Breaks Women Marathon History https://t.co/JguMZIe6Sa https://t.co/Ed2sESDVK4",2
"Sumgong Picks Up First Gold, Breaks Women Marathon History https://t.co/JguMZIe6Sa https://t.co/Ed2sESDVK4",2
"Rio 2016 in pictures
Kenya’s Jemima Jelagat Sumgong runs towards the finish line before winning the women’s marathon https://t.co/8v7hnRGUnK",2
"RT @MakingOfChamps: Jemima Jelagat Sumgong won Kenya it's first medal in Rio and the first in women's Olympics marathon. #Athletics https:/…",2
"Jemima Jelagat Sumgong won Kenya it's first medal in Rio and the first in women's Olympics marathon. #Athletics https://t.co/SkCypSKUNR",2
"Kenya's Jemima Jelagat Sumgong became the first Kenyan woman to win the Olympic marathon #Rio2016 #AfricaInRio https://t.co/YQ42N1FdZk",2
"RT @gabriyoo: Jemima Jelagat Sumgong, ran a whole marathon..in 2 hours &amp; 24 minutes. So please don't try and tell me that the human body is…",2
"RT @WeLoveSport_INT: Jemima Jelagat Sumgong #KEN steps up to the #Rio2016 Women’s Marathon #Athletics https://t.co/RLLWalMHdq with the #Gold",2
"Jemima Jelagat Sumgong #KEN steps up to the #Rio2016 Women’s Marathon #Athletics https://t.co/RLLWalMHdq with the #Gold",2
"Jemima Jelagat Sumgong, ran a whole marathon..in 2 hours &amp; 24 minutes. So please don't try and tell me that the human body isn't incredible.",2
"RT @karmughilvannan: Jemima Jelagat Sumgong #KEN wins #Gold in Women's Marathon Race in 2:24:04. Kenyans amazes the world in distant runs!…",2
"Jemima Jelagat Sumgong #KEN wins #Gold in Women's Marathon Race in 2:24:04. Kenyans amazes the world in distant runs! #Athletics #Rio2016",2
"RT @zimsportslive: Rutendo Nyahora finishes Women's Marathon 92nd in a time of 2.47.32. Kenya's Sumgong Jemima Jelagat won the gold... http…",2
