"tweet","retweets"
"RT @TeamInstinctNH: If Team USA's Katie Ledecky and Michael Phelps spawned a child... #TeamInstinct #teaminstinctNH https://t.co/mFmaZEpbOl",149
"RT @BleacherReport: .@MichaelPhelps, @katieledecky and @Simone_Biles earned this ‚ÄúSports Illustrated‚Äù cover Ì†ºÌøÖÌ†ºÌøÖÌ†ºÌøÖ https://t.co/DMWULRHXmi htt‚Ä¶",148
".@MichaelPhelps, @katieledecky and @Simone_Biles earned this ‚ÄúSports Illustrated‚Äù cover Ì†ºÌøÖÌ†ºÌøÖÌ†ºÌøÖ https://t.co/DMWULRHXmi https://t.co/zPEkKhKqML",148
"RT @drewbrees: Katie Ledecky WR! Whoa...she was like Secretariat winning the Triple Crown in the 800m freestyle. Nobody within 50m. https:/‚Ä¶",148
"RT @darrenrovell: Michael Jordan got 2 gold medals. The little girl he's holding now has 3. It's Katie Ledecky. https://t.co/W2PQGuckVL",147
"RT @si_vault: Outtakes from the Michael Phelps, Katie Ledecky and Simone Biles SI Cover Shoot: https://t.co/01nV5T6QL5 https://t.co/QJvHMpl‚Ä¶",146
"RT @bromanconsul: what is Katie Ledecky swimming from",145
"RT @richarddeitsch: SI cover with Biles, Ledecky and Phelps  shoot took place at the staff office in Rio. Some behind-scenes footage: https‚Ä¶",144
"RT @accesshollywood: This is golden. Katie Ledecky, Michael Phelps and Simone Biles Grace @SInow cover!
https://t.co/hJ3BjuewzC https://t.c‚Ä¶",144
"RT @newadvent: Washington Post cuts important ‚ÄòSacred Heart‚Äô reference from Katie Ledecky profile... - https://t.co/KGEB2KsvOY",144
"RT @TheRyanParker: Olympic Stars Michael Phelps, Katie Ledecky, Simone Biles Share 'Sports Illustrated' Cover https://t.co/3tk6kuaTaa https‚Ä¶",144
"Washington Post cuts important ‚ÄòSacred Heart‚Äô reference from Katie Ledecky profile... - https://t.co/KGEB2KsvOY",144
"This is golden. Katie Ledecky, Michael Phelps and Simone Biles Grace @SInow cover!
https://t.co/hJ3BjuewzC https://t.co/y1CzH1YBat",144
"Olympic Stars Michael Phelps, Katie Ledecky, Simone Biles Share 'Sports Illustrated' Cover https://t.co/3tk6kuaTaa https://t.co/Urb02Xkv7o",144
"RT @sbstryker: Katie Ledecky is so fast she‚Äôs already heard Frank Ocean‚Äôs new album",143
"RT @si_vault: LOVE this week's SI cover, featuring @katieledecky @MichaelPhelps and @Simone_Biles. https://t.co/NZM0SpMcRr https://t.co/BFf‚Ä¶",142
"RT @HistoryInPix: 10 years ago: A 9-year-old named Katie Ledecky gets an autograph from Michael Phelps 

(Credit: Ledecky Family) https://t‚Ä¶",141
"RT @USATODAY: Phelps is now getting Katie Ledecky's autograph https://t.co/CNbxgLKMwx https://t.co/wPyjRNWiwF",140
"RT @DrScienceCat: 10 years ago: 9 year old Katie Ledecky gets an autograph from Micheal Phelps https://t.co/JABUq0iEo5",139
"RT @enews: Michael Phelps &amp; Katie Ledecky recreate that now-famous autograph photo. https://t.co/2udL89YFVu https://t.co/Bqq9DOrZLH",139
"10 years ago: 9 year old Katie Ledecky gets an autograph from Micheal Phelps https://t.co/JABUq0iEo5",139
"Michael Phelps &amp; Katie Ledecky recreate that now-famous autograph photo. https://t.co/2udL89YFVu https://t.co/Bqq9DOrZLH",139
"RT @FirstpostSports: #Rio2016 : Michael Phelps, Katie Ledecky replicate famous picture, but with a twist

https://t.co/v1n6cZn7Sf https://t‚Ä¶",138
"RT @Slate: Michael Phelps and Katie Ledecky in the same relay? It could happen: https://t.co/qWoVspmI63 https://t.co/eUBHmzWZd8",138
"RT @FOX4: Katie Ledecky is some Stanford freshman's roommate https://t.co/0YrU8LSTFZ",138
"RT @SchaefferDennis: Simone Biles keeps a rosary in her gym bag. Katie Ledecky says a Hail Mary or 2 before a race. Catholics represent! ht‚Ä¶",138
"RT @fsmikey: Michael Phelps teaches Katie Ledecky tips to wearing a LOT of medals for SI shoot 

(Video https://t.co/oAvF4ShvU3) https://t.‚Ä¶",138
"Katie Ledecky is some Stanford freshman's roommate https://t.co/0YrU8LSTFZ",138
"Michael Phelps teaches Katie Ledecky tips to wearing a LOT of medals for SI shoot 

(Video https://t.co/oAvF4ShvU3) https://t.co/U0lfcs8xBB",138
"RT @conserv_tribune: BREAKING: Katie Ledecky Becomes First Woman In Nearly 5 DECADES To Break THIS Record https://t.co/Aa8gR6fRKy #tcot htt‚Ä¶",138
"#Rio2016 : Michael Phelps, Katie Ledecky replicate famous picture, but with a twist

https://t.co/v1n6cZn7Sf https://t.co/IQEWm7p9s8",138
"RT @KPRC2: This @SInow cover is GOLD! @Simone_Biles @katieledecky @MichaelPhelps https://t.co/8L4BDQwJwR #kprc2 #Rio2016 https://t.co/ncWeq‚Ä¶",138
"This @SInow cover is GOLD! @Simone_Biles @katieledecky @MichaelPhelps https://t.co/8L4BDQwJwR #kprc2 #Rio2016 https://t.co/ncWeq6ZvdL",138
"RT @mashable: Katie Ledecky and Michael Phelps take another photo for the ages: https://t.co/AOJimvWmwj",137
"RT @DylansFreshTake: Pick up a copy up of this weeks @SInow. Katie Ledecky, Michael Phelps, and Simone Biles on the cover. #Rio2016 #USA ht‚Ä¶",136
"Pick up a copy up of this weeks @SInow. Katie Ledecky, Michael Phelps, and Simone Biles on the cover. #Rio2016 #USA https://t.co/mpAY0Xdk6w",136
"RT @EvgeniMaIkinEgo: Imagine the Phil Kessel is a swimmer. 

That's Katie Ledecky.",135
"RT @bennyjohnson: Great American Moment: Michael Phelps Teaches Katie Ledecky How To Wear Her Million Olympic Medals https://t.co/nm3nUWUsM‚Ä¶",134
"Great American Moment: Michael Phelps Teaches Katie Ledecky How To Wear Her Million Olympic Medals https://t.co/nm3nUWUsMd via @TheIJR",134
"RT @seventeen: Michael Phelps and Katie Ledecky Trade Places to Recreate That Viral Throwback Photo https://t.co/NncuIFCtrm https://t.co/dC‚Ä¶",134
"RT @Merentia: Michael Phelps, Katie Ledecky and Simone Biles Unite for Sports Illustrated Cover via TIME‚Ä¶ https://t.co/pzGMtBr1T4 https://t‚Ä¶",134
"Michael Phelps and Katie Ledecky Trade Places to Recreate That Viral Throwback Photo https://t.co/NncuIFCtrm https://t.co/dCUhGflovD",134
"Michael Phelps, Katie Ledecky and Simone Biles Unite for Sports Illustrated Cover via TIME‚Ä¶ https://t.co/pzGMtBr1T4 https://t.co/H0hXcarIdF",134
"RT @commaolivia: Katie Ledecky is a human being. Her coach does not own her or rent her or operate her. https://t.co/IemD2ITtRy",133
"Katie Ledecky is a human being. Her coach does not own her or rent her or operate her. https://t.co/IemD2ITtRy",133
"RT @HistoryInPix: Love this picture of Katie Ledecky getting Michael Phelps' autograph in 2006. https://t.co/dfC3sIxFhj",132
"RT @andrewsharp: Russians should be allowed to dope twice as much before they swim against Katie Ledecky https://t.co/hvaIprAtXH",131
"RT @BuzzFeed: Katie Ledecky is so good that men are ‚Äúbroken‚Äù after training with her https://t.co/kuI3rI0ClH https://t.co/ZdKkhYlX0v",130
"RT @DailyMail: Meet #TeamUSA's finest! https://t.co/fn9cSAuBnd https://t.co/WonzzqzDeU",129
"Meet #TeamUSA's finest! https://t.co/fn9cSAuBnd https://t.co/WonzzqzDeU",129
"RT @Inc: 6 Ways Katie Ledecky Thinks Differently: The Psychology of Success @jeff_haden https://t.co/Bt7gkMCANJ",128
"RT @HistoryFlick: 10 years ago: A 9-year-old named Katie Ledecky gets an autograph from Michael Phelps 

(Credit: Ledecky Family) https://t‚Ä¶",127
"RT @FrJamesBradley: Usain Bolt wears a Miraculous Medal, Simone Biles attributes success to Christ, Katie Ledecky prays an Ave before compe‚Ä¶",126
