"tweet","retweets"
"RT @SBNLukeThomas: I spoke to @DaveCamarillo about Kayla Harrison/Travis Stevens, US judo's evolvution to win in newest Technique Talk. htt…",74
"I spoke to @DaveCamarillo about Kayla Harrison/Travis Stevens, US judo's evolvution to win in newest Technique Talk. https://t.co/J0RBSMNPAx",74
"RT @journalnews: Kayla Harrison (@Judo_Kayla) expresses misgivings about following Rousey’s MMA path: https://t.co/Mos6d8Kb69 https://t.co/…",74
"RT @WhiteBeltBJJ: Kayla Harrison And The Armbar That Won Her Olympic Gold In #Rio #Judo #JiuJitsu #Rio2016 #Olympics -&gt; https://t.co/BmNJHe…",74
"Kayla Harrison And The Armbar That Won Her Olympic Gold In #Rio #Judo #JiuJitsu #Rio2016 #Olympics -&gt; https://t.co/BmNJHezpBg",74
"Kayla Harrison (@Judo_Kayla) expresses misgivings about following Rousey’s MMA path: https://t.co/Mos6d8Kb69 https://t.co/zpmf33Qdah",74
"RT @MMAjunkie: Is Kayla Harrison right about MMA? Yes and no (and also, it depends) https://t.co/F0teqWBTpM",74
"Is Kayla Harrison right about MMA? Yes and no (and also, it depends) https://t.co/F0teqWBTpM",74
"RT @FloGrappling: Stars of #Judo, #Jiujitsu &amp; #MMA react to Kayla Harrison's Gold Medal  #olympics https://t.co/kG63eIM9Jr https://t.co/dbn…",74
"Stars of #Judo, #Jiujitsu &amp; #MMA react to Kayla Harrison's Gold Medal  #olympics https://t.co/kG63eIM9Jr https://t.co/dbnAoJl7gI",74
"RT @ExcelleSports: Kayla Harrison's historic second gold in Judo earns her Excelle's Olympic Athlete of the Day https://t.co/6POqmQ1V8y htt…",74
"RT @USAJudo: Kayla Harrison is in the chute! Watch her compete in the quarter finals live on NBCSN or NBC live stream: https://t.co/F9LFOiL…",74
"RT @maggiehendricks: I wrote on the experience of watching @Judo_Kayla and @Simone_Biles win at the same time. https://t.co/5xXTQl0fyc http…",74
"Kayla Harrison's historic second gold in Judo earns her Excelle's Olympic Athlete of the Day https://t.co/6POqmQ1V8y https://t.co/4TFt1g2K9D",74
"I wrote on the experience of watching @Judo_Kayla and @Simone_Biles win at the same time. https://t.co/5xXTQl0fyc https://t.co/q5hlw3hpXS",74
"RT @PCarrESPN: Kayla Harrison wins her second straight judo gold medal. #USA

She's the only American ever to win Olympic gold in #Judo.",74
"RT @NBCSports: .@Judo_Kayla has become the first American to win two gold medals in judo. #Rio2016 https://t.co/Af9RgYkqzn https://t.co/3qm…",73
"RT @washingtonpost: American Kayla Harrison wins gold in women's -78kg judo https://t.co/JlQg5GV1Ft",72
"RT @Slate: Kayla Harrison just won judo gold. For sexual abuse victims, her triumph is twofold: https://t.co/cypOVIXYDw https://t.co/bjOnb9…",71
"RT @ABC: Rio 2016 #Judo: Kayla Harrison wins #Gold in the Women's -78kg; defending her title from the 2012 London #Olympics. https://t.co/J…",70
"RT @Fusion: Kayla Harrison survived abuse as a teen. Now she is a two-time #Olympics gold medalist: https://t.co/iPiRI1DWPB https://t.co/L7…",69
"Kayla Harrison survived abuse as a teen. Now she is a two-time #Olympics gold medalist: https://t.co/iPiRI1DWPB https://t.co/L7ScXN8AxQ",69
"RT @SInow: Kayla Harrison described an MMA career as ‘really tempting’ https://t.co/73qmaeW6Hb https://t.co/BfuhjYJlfY",69
"Kayla Harrison described an MMA career as ‘really tempting’ https://t.co/73qmaeW6Hb https://t.co/BfuhjYJlfY",69
"RT @feliceherrig: Go Team USA! Kayla Harrison was awesome. Congrats on the back-to-back gold medals. https://t.co/AmMu1aPnYw",69
"RT @JudoInside: Read the full story of the DOUBLE OLYMPIC TITLE for KAYLA HARRISON. https://t.co/fn9vx1ShGh Golden #judo Kayla #USA https:/…",69
"RT @ur_deals: The Olympians We Love of Instagram: Judoka Kayla Harrison: Four knockout matches to win g... https://t.co/W1KB1qvurG @HyperRT…",69
"The Olympians We Love of Instagram: Judoka Kayla Harrison: Four knockout matches to win g... https://t.co/W1KB1qvurG @HyperRTs @DNR_CREW",69
"Go Team USA! Kayla Harrison was awesome. Congrats on the back-to-back gold medals. https://t.co/AmMu1aPnYw",69
"RT @SInow: ������ Podcast: Thursday was for GOATS. Simone Biles, Michael Phelps, Kayla Harrison, Fiji rugby https://t.co/nOAMnHNVkm https://t.co…",69
"������ Podcast: Thursday was for GOATS. Simone Biles, Michael Phelps, Kayla Harrison, Fiji rugby https://t.co/nOAMnHNVkm https://t.co/vXSHcYqxwq",69
"RT @NBCPhiladelphia: #Rio2016: @Judo_Kayla is golden again! https://t.co/27Dg8yRUhn https://t.co/8gt0FaQvxV",69
"RT @7News: Kayla Harrison, who trains in Wakefield, won her 2nd gold medal in judo today! https://t.co/1u5tQVxARE #7News https://t.co/nnY7O…",69
"RT @chicagotribune: Kayla Harrison defends Olympic judo title in Rio https://t.co/rBIohS4ZB8 https://t.co/pksGX8R2V2",69
"RT @MMAAlley: Kayla Harrison earns second Judo Olympic gold medal https://t.co/g6Mlt3w8p8 via @BloodyElbow",69
"Kayla Harrison earns second Judo Olympic gold medal https://t.co/g6Mlt3w8p8 via @BloodyElbow",69
"RT @Fusion: Kayla Harrison and 7 other fierce female Olympians weigh in on loving strong over skinny: https://t.co/8k9IS6u9pd https://t.co/…",69
"RT @publicbill: Judo #Gold for Kayla Harrison - she is now the first American to win back-to-back gold medals in Olympic #judo.",69
"RT @Slate: Kayla Harrison just won judo gold. For sexual abuse victims, her triumph is twofold: https://t.co/VrnGncOO4M https://t.co/EH7Dqg…",68
"Kayla Harrison just won judo gold. For sexual abuse victims, her triumph is twofold: https://t.co/VrnGncOO4M https://t.co/EH7DqgDvyP",68
"RT @NBCOlympics: Count it! @Judo_Kayla becomes the first American to win two gold medals in #judo. #Rio2016 https://t.co/072IpsJevN  https:…",67
"RT @SkipPrichard: “This is my day. This is my purpose. I'm not afraid to win.” -Kayla Harrison https://t.co/jiuRy04yiH #quote https://t.co/…",66
"RT @ShelKenn: https://t.co/Mp7Z6w1YUr

#Someday #can #Rio2016 WE WILL STOP THIS......",66
"“This is my day. This is my purpose. I'm not afraid to win.” -Kayla Harrison https://t.co/jiuRy04yiH #quote https://t.co/i0HYuu0C3Q",66
"https://t.co/Mp7Z6w1YUr

#Someday #can #Rio2016 WE WILL STOP THIS......",66
"RT @wkyc: Watch Olympic champion @Judo_Kayla discuss her journy to the gold
https://t.co/ZVgRCemOSa https://t.co/8GRBupdRiT",66
"Kayla Harrison, U78
Double Olympic Champion 2012 &amp; 2016
@USAJudo @TeamUSA @Judo_Kayla @JudoInside @JudoCrazy https://t.co/FByZzFOjuG",66
"RT @SandhuMMA: Judo golden girl Kayla Harrison puts MMA on hold for now via @FightersOnly

https://t.co/Z3OxVr5Gn9",66
"RT @benfowlkesMMA: Some thoughts on judo gold medalist Kayla Harrison's assessment of MMA, which is and isn't the way she thinks it is: htt…",66
"Watch Olympic champion @Judo_Kayla discuss her journy to the gold
https://t.co/ZVgRCemOSa https://t.co/8GRBupdRiT",66
"Some thoughts on judo gold medalist Kayla Harrison's assessment of MMA, which is and isn't the way she thinks it is: https://t.co/ZVpOHlI2gq",66
"Judo golden girl Kayla Harrison puts MMA on hold for now via @FightersOnly

https://t.co/Z3OxVr5Gn9",66
"RT @WCPO: #BREAKING Middletown’s Kayla Harrison wins second straight Olympic judo gold medal. Story soon on https://t.co/zqOIOdE6VA #Rio2016",66
"RT @superCalo: Kayla  Harrison will hopefully acknowledge Ronda Rousey for paving the way for Judo in the Olympics &amp; admit Ronda still the…",66
"RT @WeSupportTheUS: Simone Biles, Michael Phelps, Kayla Harrison. All 3 the greatest American ever in their sport, all 3 win signature gold…",66
"RT @AP_Sports: Now that she's won another gold in judo, Kayla Harrison has a decision on MMA. https://t.co/cixIFJz3er",66
"Simone Biles, Michael Phelps, Kayla Harrison. All 3 the greatest American ever in their sport, all 3 win signature golds on remarkable day.",66
"RT @vogel_wlwt: Rockin' in Rio!  Kayla Harrison heading to the Gold Medal Match...  Just cruised in semifinals. https://t.co/XlxW2BnjYw",66
"Now that she's won another gold in judo, Kayla Harrison has a decision on MMA. https://t.co/cixIFJz3er",66
"RT @_MyPhotoLove_: American makes history with gold in women's judo https://t.co/nlyGkzsqYj",66
"RT @TIME: Kayla Harrison repeats as Olympic judo gold medalist https://t.co/ZqUuDP1Czh",65
"Kayla Harrison repeats as Olympic judo gold medalist https://t.co/ZqUuDP1Czh",65
"RT @USAWrestling: Judo legend &amp; wrestler @JimmyPedroUSA coaches @Judo_Kayla to historic 2nd Olympic judo gold https://t.co/nfkrVq0v3h https…",64
"Judo legend &amp; wrestler @JimmyPedroUSA coaches @Judo_Kayla to historic 2nd Olympic judo gold https://t.co/nfkrVq0v3h https://t.co/wrmBX9aHIt",64
"RT @NSVRC: Sexual abuse survivor Kayla Harrison won gold in judo -- an example of strength and courage https://t.co/gnAAIU99CL https://t.co…",63
"Sexual abuse survivor Kayla Harrison won gold in judo -- an example of strength and courage https://t.co/gnAAIU99CL https://t.co/Wap5du5Uoh",63
"RT @DankMemePlug: Baby: I...I...I...I...

Mom:Honey he's about to say his first words!

Baby: I...

Baby: I'm Rick Harrison and this is my…",62
"RT @Slate: Kayla Harrison just won judo gold. For sexual abuse victims, her triumph is twofold: https://t.co/CMrj7O9b4d https://t.co/OGFfFV…",61
