"tweet","retweets"
"RT @NBCOlympics: .@Mo_Farah with the thumbs up after the fall Ì†ΩÌ±ç

Stream: https://t.co/rlccfiG9DG https://t.co/wYqiRVvP0r",280
"RT @MayorofLondon: .@Mo_Farah is absolutely right. London is the greatest city in the world. #LondonIsOpen https://t.co/p4hdel17gU https://Ö",280
"RT @aapatel947: @Mo_Farah first reaction after winning a amazing race! Falling into sujood https://t.co/XgPXDZMB6v",280
"RT @bet365: All born on March 23rd:

Jason Kenny (6 #Gold)
Sir Chris Hoy (6)
Sir Steve Redgrave (5)
Mo Farah (3)

<ed><U+00A0><U+00BD><ed><U+00B8><U+00AF> https://t.co/4nku5Gd9Rk",280
"RT @BBCSport: Mo Farah - simply amazing!

Reaction to his #rio2016 10k win: https://t.co/LwvrwbgQCy https://t.co/jJqjWyUoBx",279
"RT @BBCSport: Mo Farah - simply amazing!

Reaction to his #rio2016 10k win: https://t.co/LwvrwbgQCy https://t.co/jJqjWyUoBx",278
"RT @MayorofLondon: .@Mo_Farah is absolutely right. London is the greatest city in the world. #LondonIsOpen https://t.co/p4hdel17gU https://‚Ä¶",277
"RT @aapatel947: @Mo_Farah first reaction after winning a amazing race! Falling into sujood https://t.co/XgPXDZMB6v",277
"RT @AyyProtagonist: I reckon I'm the only Somali that can legitimately claim Mo farah because he came to my house to watch a CL game https:‚Ä¶",277
"RT @OlivierBranford: Start at the back, fall, get up, give it your all, never give up and win #Gold @Mo_Farah #Olympics #LifeLessons https:‚Ä¶",276
"RT @TheXFactor: When you hear Mo Farah fell over mid-race and STILL won a third #Olympics Gold. Congrats @Mo_Farah! Ì†ΩÌ±èÌ†ºÌøæÌ†ΩÌ±èÌ†ºÌøæÌ†ΩÌ±èÌ†ºÌøæ #XFactor
https:/‚Ä¶",275
"RT @BBCSport: Olympic history was made as Mo Farah &amp; Laura Trott claimed their third Olympic titles Ì†ºÌøÖÌ†ºÌøÖÌ†ºÌøÖ

https://t.co/IUzN8L97Tx https://t.‚Ä¶",275
"RT @SheaSerrano: MO FARAH IS THAT FUCKING DUDE",275
"RT @WaveyVIII: When you're a racist British nationalist and want all coloureds to ""go back"",but Mo Farah keeps winning golds for GB https:/‚Ä¶",274
"RT @BBCSport: Guess who's in action today?

Yep, Mo Farah begins his Olympic 5000m defence at 14:05 BST https://t.co/yr3fjLBSrB https://t.cÖ",274
"RT @PanasonicUK: Congratulations to @TeamGB's @Mo_Farah on winning #Gold in the 10,000m race! Incredible performance at #Rio2016! https://t‚Ä¶",273
"RT @IndMediaGroup: BREAKING NEWS: Mo Farah makes history and wins gold in 10,000m final https://t.co/0GJ7sDwspY  #Sheffieldissuper #LovinLe‚Ä¶",273
