"tweet","retweets"
"RT @Queen_UK: Thinking of sending a Royal Navy task force to help Andy Murray. The Argentines hate that sort of thing. #Rio2016",228
"RT @ATPWorldTour: .@andy_murray takes 2nd #Gold, @delpotrojuan #Silver; @keinishikori #Bronze #Rio2016 

Read: https://t.co/5mE47CYUTQ http‚Ä¶",227
"RT @Redblaes: Me on why Andy Murray is a true amateur https://t.co/CVzLhO1gzc",226
"RT @lucysophiaj: Just Andy Murray hula-hooping. https://t.co/rdJLauMzOl",226
"Me on why Andy Murray is a true amateur https://t.co/CVzLhO1gzc",226
"RT @BBCSport: Will it be gold?

Watch Andy Murray live on @BBCFOUR and the @BBCSport website now

https://t.co/Vd0AsfPNtu #Rio2016 https://‚Ä¶",226
"RT @richardbranson: Loving the Olympics - congrats @usainbolt @andy_murray @TeamGB &amp; every amazing athlete at #Rio2016. Keep going for gold‚Ä¶",225
"RT @ESPNTennis: Andy Murray politely reminds reporter of the existence of Venus and Serena Williams https://t.co/lm8ayyAAOf",224
"RT @uk_sport: #GOLD: Andy Murray wins back-to-back Olympic golds Ì†ºÌøÖÌ†ºÌøÖ after a 3-1 sets victory over #ARG Del Potro, #EveryRoadtoRio https://t‚Ä¶",223
"RT @clarebalding: What an extraordinary day of Olympic sport. Well done Andy Murray, Max Whitlock, Justin Rose and Jason Kenny Ì†ºÌøÖÌ†ºÌøÖÌ†ºÌøÖÌ†ºÌøÖÌ†ºÌøÖ #bbcri‚Ä¶",222
"RT @RupertMyers: Well done @andy_murray for Olympic gold at #Rio2016 Ì†ºÌæâ and for this reply Ì†ΩÌ∏é https://t.co/S815Zk4NDw https://t.co/gAG4vNCnBJ",221
"RT @MarcherLord1: One can only imagine the depths of the SNP's hatred of Andy Murray? https://t.co/QFVMY8HH0b",220
"RT @BBCSport: ""And the #Wimbledon champion of 2016 - ANDY MURRAY!"" Ì†ΩÌ±è https://t.co/CEtKENlYBi",219
"RT @usopen: Olympic champs @MonicaAce93 &amp; @andy_murray eye history at the 2016 #usopen. https://t.co/2Nqfq5n2H9 https://t.co/BOoV2hYXAY",218
"RT @BatmanAnderson: ""Andy Murray asking some difficult questions of Del Potro."" https://t.co/gr8Op6rRYS",218
"RT @Shakestweetz: Why Andy Murray is the best. As a person. https://t.co/g1OfRpVEEH",217
"RT @FOX19Joe: Andy Murray admittedly tired after grueling Olympics schedule: I might be the only one here who is hoping for more rain. @Cin‚Ä¶",217
