"tweet","retweets"
"RT @BrazilStats2: Neymar:

""I already discussed with Rafinha, if we win Olympic gold we plan to make a special tattoo about it."" https://t.‚Ä¶",407
"RT @BrazilEdition: Neymar's goal Ì†ºÌ∑ßÌ†ºÌ∑∑ https://t.co/unuLPcnb4I",407
"RT @XHSports: Brazil 6 Honduras 0 - Neymar scores fastest Olympic goal in history as hosts thrash surprise semi-finalists #Rio2016 https://Ö",406
"RT @_HigherVibes: 18. Braids in general <ed><U+00A0><U+00BD><ed><U+00B2><U+00A6><ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> https://t.co/eZU63cGda0",405
"RT @XHSports: Brazil 6 Honduras 0 - Neymar scores fastest Olympic goal in history as hosts thrash surprise semi-finalists #Rio2016 https://‚Ä¶",404
"RT @ESPNFC: Gabriel Jesus strikes again! He scores after a wonderful through ball from Neymar.

Brazil 3-0 Honduras #Rio2016",404
"RT @Footy_Jokes: There goes Neymar , then Ronaldo &amp; then Gerrard

http://t.co/GRUfTRScke",403
"RT @NST_Online: . @LeeChongWei 's father believes his son can grab gold tomorrow
#GoingforGold #Rio2016

https://t.co/jIDCGKuzcR https://t.Ö",402
"RT @PromisingYoung: A 19-year old Neymar scored this Pusk·s Award winning goal 5-years ago.
https://t.co/cJPX50fFmH",402
"RT @BluuR_YT: Got a FIFA 17 beta code but I don't even want it lol
RT and follow to win I'll pick in the morning",402
"RT @jupitersmila: neymar could never https://t.co/ud7HzwQcph",401
"RT @BrazilStats2: CARICATURE:

With his goal vs Honduras, #Neymar Bolt breaks the record for the fastest goal in Olympics.

#BRA https://t.Ö",400
"RT @BBCSport: Neymar scores the fastest goal in Olympic football history...

https://t.co/1bPFbmGKcV

#Rio2016 https://t.co/W1v4Nt26jl",400
"Neymar scores the fastest goal in Olympic football history...

https://t.co/1bPFbmGKcV

#Rio2016 https://t.co/W1v4Nt26jl",400
"RT @messi10stats: Worldís most expensive players:
Messi Ä211M
Neymar Ä201.5M
Ronaldo Ä137M
Griezmann Ä120M
Martial Ä111M
Suarez Ä105M httpsÖ",399
"RT @NeyMarvellous: FT #BRA 6-0 #HON
Through to the final

Neymar
2 GOALS
3 ASSISTS
Fastest goal in #Olympics history
What a performance httÖ",398
"RT @LeeChongWei: [Admin] Into the FINALS!!! TQ Lin Dan for the world class match <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>

Chong Wei <ed><U+00A0><U+00BC><ed><U+00B7><U+00B2><ed><U+00A0><U+00BC><ed><U+00B7><U+00BE> 15-21, 21-11, 22-20 Lin Dan <ed><U+00A0><U+00BC><ed><U+00B7><U+00A8><ed><U+00A0><U+00BC><ed><U+00B7><U+00B3> https://t.Ö",397
"RT @ChloeGMoretz: Neymar's a cutie",396
"RT @KylieJenner: Shop my fave high-heeled sandals in all new #TheNeeeeed on my app https://t.co/6lfP9o3uYV",395
"RT @NeyMarvellous: FT #BRA 6-0 #HON
Through to the final

Neymar
2 GOALS
3 ASSISTS
Fastest goal in #Olympics history
What a performance htt‚Ä¶",394
"RT @BrazilStats2: CARICATURE:

With his goal vs Honduras, #Neymar Bolt breaks the record for the fastest goal in Olympics.

#BRA https://t.‚Ä¶",393
"RT @VintageBasti: FIFA 17 BETA CODES RT, Fav &amp; Follow Got sent two by accident, winner announced tomorrow #FIFA17Beta #giveaway https://t.cÖ",393
"RT @njrstats: Neymar new world record <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/vNY3Le4ven",393
"RT @NeyMarvellous: VIDEO: Neymar scores the fastest goal in Olympic history took him only 15 seconds. He's so quick! https://t.co/tLjnOVWNak",392
"This Tweet from @JeffreyWalton96 has been withheld in response to a report from the copyright holder.",392
"RT @ScottFilmCritic: Neymar's coming for Germany like

#Rio2016 #Futebol https://t.co/2mOfFu4nhg",391
"RT @Cule_Qaid: Reminder : we're beating this Sevilla team without Pique, Roberto, Iniesta, Rakitic, Suarez and Neymar. 
Unreal depth this s‚Ä¶",391
"Neymar's coming for Germany like

#Rio2016 #Futebol https://t.co/2mOfFu4nhg",391
"RT @gha9807: Neymar sexy body Ì†ΩÌ¥•Ì†ΩÌ¥•Ì†ΩÌ±ÖÌ†ΩÌ∏¶Ì†ΩÌ∏ßÌ†ΩÌ≤ô https://t.co/WYDLol0voP",391
"Reminder : we're beating this Sevilla team without Pique, Roberto, Iniesta, Rakitic, Suarez and Neymar. 
Unreal depth this season Ì†ΩÌπåÌ†ΩÌπè",391
"RT @MailSport: LIVE: Substitutions for #GER - Gnabry and Sven Bender make way for Promel and Max https://t.co/M1jV4qdpGd https://t.co/GmyCN‚Ä¶",391
"RT @Nabil_Bachir: Neymar with a Hatrick of assist Ì†ΩÌ∏çÌ†ΩÌ∏≠Ì†ΩÌ±åÌ†ºÌøæ",391
"Neymar sexy body Ì†ΩÌ¥•Ì†ΩÌ¥•Ì†ΩÌ±ÖÌ†ΩÌ∏¶Ì†ΩÌ∏ßÌ†ΩÌ≤ô https://t.co/WYDLol0voP",391
"LIVE: Substitutions for #GER - Gnabry and Sven Bender make way for Promel and Max https://t.co/M1jV4qdpGd https://t.co/GmyCNBnmLw",391
"RT @barcastuff_real: Tw Neymar: ""Never clip my wings"" [@neymarjr] https://t.co/1ViFi2yw3I",391
"Tw Neymar: ""Never clip my wings"" [@neymarjr] https://t.co/1ViFi2yw3I",391
"RT @BarcaWorldwide: Micale: ""If Neymar has made errors in the past, he has corrected them.""",391
"RT @Feyi_Ai: Bale is 87 on 17 and Neymar is 91 ?

Goodnight.",391
"RT @zustinsneymar: I can't believe Neymar invented wearing snap backs https://t.co/IeWL4L7WrS",391
"RT @BrazilStats2: #GER coach Hrubesch:

""Why would we give Neymar or any player special treatment? We won't edit any of our tactics, we valÖ",391
"RT @MundialMag: Neymar's ""quickest ever goal"" making the headlines is very you-have-invited-your-Dad-to-five-aside-and-OH-NO-DAD! https://tÖ",391
"RT @GWR: Watch @neymarjr net the fastest goal in Olympic history https://t.co/hIw6exBeCm #Rio2016 https://t.co/V4Gv8CM2fh",391
"Watch @neymarjr net the fastest goal in Olympic history https://t.co/hIw6exBeCm #Rio2016 https://t.co/V4Gv8CM2fh",391
"Bale is 87 on 17 and Neymar is 91 ?

Goodnight.",391
"#GER coach Hrubesch:

""Why would we give Neymar or any player special treatment? We won't edit any of our tactics, we valorize team-work.""",391
"RT @Lionel_Messi: Lionel Messi still better than Neymar, says Brazilian legend Rivaldo - Sportskeeda: SportskeedaL... https://t.co/ztGTQDPMÖ",391
"RT @rh_gfx: Neymar I Wallpaper I Mobile.
#brazil
#Olympics  
#rio

RT,s Please. https://t.co/gJ4wzglxQm",391
"RT @HandyRed: Reigning Magic... https://t.co/jbyJheTPDq",391
"RT @NeymarLegacy: Micale: ""Neymar's ability? He's a monster! He is a guy who has a gift for playing football, who enchants."" #Rio2016",391
"RT @NeymarLegacy: Neymar before the game against Honduras #BRA†#Rio2016 https://t.co/tHnEk3AfjY",391
"RT @Bieberlunatic: Angry Neymar gif thread",391
"RT @UlpianaLama1: Heartbreaking https://t.co/FOfhpG6oh3",391
"RT @NBCSports: #BRA re-embrace Neymar, hope he can give them gold #rio2016 https://t.co/DiHI1nqHZT https://t.co/cphqpAeMht",391
"#BRA re-embrace Neymar, hope he can give them gold #rio2016 https://t.co/DiHI1nqHZT https://t.co/cphqpAeMht",391
"Micale: ""Neymar's ability? He's a monster! He is a guy who has a gift for playing football, who enchants."" #Rio2016",391
"RT @gha9807: Neymar sexy body <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B1><U+0085><ed><U+00A0><U+00BD><ed><U+00B8><U+00A6><ed><U+00A0><U+00BD><ed><U+00B8><U+00A7><ed><U+00A0><U+00BD><ed><U+00B2><U+0099> https://t.co/WYDLol0voP",391
"Neymar's ""quickest ever goal"" making the headlines is very you-have-invited-your-Dad-to-five-aside-and-OH-NO-DAD! https://t.co/vrF6jGa5WQ",391
"RT @NeymarStuff: The new La Liga trophy looks amazing.

Ready to be won by Neymar and FCB <ed><U+00A0><U+00BD><ed><U+00B8><U+008E>  https://t.co/l0p3ZV3kSi",391
"RT @njrstats: After Neymar came back on the field, he has been fantastic just dribbling and showing his off his magic I am always so proudÖ",391
"RT @DierbolicaI: Neymar: Favela merchant. Does skills against farmers and you call him elite? Was a joy to see him hurt. https://t.co/dBbyMÖ",391
"RT @njrstats: NEYMAR GOAL GOAL GOAL FIRST MINUTE BRAZIL LEADING AGAINST HONDURAS #BRA #Rio2016",391
"RT @Nelie_Whyte: If don't or haven't done that in a long time, you might want to start now.",390
"RT @ManUtd: Make sure you join us at around 14:00 BST for updates from Jose Mourinho's pre-match press conference. #MUFC https://t.co/aBMonÖ",389
"RT @IndiaToday: #Rio2016 Rio 2016: Wrestler Sakshi Malik wins Bronze in Women's Freestyle 58kg to give India its first medal. https://t.co/‚Ä¶",388
"RT @njrstats: Neymar new world record Ì†ΩÌ∏ÇÌ†ΩÌ∏Ç https://t.co/vNY3Le4ven",388
