"tweet","retweets"
"RT @MohanRock24: Lashkar-e-Taiba trains 360 terrorists yearly for jihad in India, Afghanistan: Bahadur Ali tells NIA https://t.co/3TTksqkrt…",46
"Lashkar-e-Taiba trains 360 terrorists yearly for jihad in India, Afghanistan: Bahadur Ali tells NIA https://t.co/3TTksqkrt5 @RatanSharda55",46
"RT @NBCPhiladelphia: Pregnancy was a gift for local Olympian Nia Ali @ItsPooda https://t.co/lflke3F6h7 #Rio2016 https://t.co/HzdL1WxIuM",45
"RT @jaiprakashshah2: LeT terrorist Bahadur Ali, caught in Kashmir, was guided by control room of terror groups with help of Pak forces: NIA",45
"RT @bhartijainTOI: Just like Pak released arrested Indian (who Pak claimed was R&amp;AW agent) Kulbushan's confession in March, NIA plays Bahad…",45
"Just like Pak released arrested Indian (who Pak claimed was R&amp;AW agent) Kulbushan's confession in March, NIA plays Bahadur Ali's confession",45
"LeT terrorist Bahadur Ali, caught in Kashmir, was guided by control room of terror groups with help of Pak forces: NIA",45
"RT @PennTrackXC: Nia Ali, formerly of West Catholic, is through to the semifinals of the 100m hurdles in Rio, running a time of 12.76 in th…",44
"Nia Ali, formerly of West Catholic, is through to the semifinals of the 100m hurdles in Rio, running a time of 12.76 in the prelims.",44
"RT @AskRaushan: Pak army trained LeT terrorist Bahadur Ali: NIA
Still people lyk Sudheer kulkarni wants peace talk wid Pak
#Traitor
https:/…",44
"RT @IndianExpress: LeT terrorist Bahadur Ali, arrested in Kashmir, was guided by Pakistan forces: NIA https://t.co/wCsDetaOjv https://t.co/…",44
"RT @indiatvnews: Captured Pak militant Bahadur Ali was a JuD recruit, says NIA; releases confession video https://t.co/X29ktf2wRS https://t…",44
"RT @timesofindia: Bahadur Ali was recruited by Jamaat-ud-Dawa, subsequently LeT radicalised him, says NIA",44
"RT @TimesNow: Recovered articles show that terrorist was trained by highly trained people: NIA on LeT terrorist Bahadur Ali",44
"Pak army trained LeT terrorist Bahadur Ali: NIA
Still people lyk Sudheer kulkarni wants peace talk wid Pak
#Traitor
https://t.co/3XC62YbeoT",44
"RT @dna: Arrested LeT terrorist Bahadur Ali was guided by control room of terror groups with help of #Pak forces, says #NIA https://t.co/c6…",44
"RT @ashu3page: Bahadur Ali was told to attack in mob. GPS and satellite phone recovered from him. He was trained in Muzaffarabad in PoK : N…",44
"Captured Pak militant Bahadur Ali was a JuD recruit, says NIA; releases confession video https://t.co/X29ktf2wRS https://t.co/BriYc2WdWQ",44
"LeT terrorist Bahadur Ali, arrested in Kashmir, was guided by Pakistan forces: NIA https://t.co/wCsDetaOjv https://t.co/VPJa11nuDV",44
"Bahadur Ali was told to attack in mob. GPS and satellite phone recovered from him. He was trained in Muzaffarabad in PoK : NIA",44
"RT @iamrajeshahuja: NIA DG Sharad Kumar to HT: Bahadur Ali's lays bare the Lashkar conspiracy to throw grenades amidst protestors in Kashmi…",44
"Arrested LeT terrorist Bahadur Ali was guided by control room of terror groups with help of #Pak forces, says #NIA https://t.co/c6FB3oxMVV",44
"Recovered articles show that terrorist was trained by highly trained people: NIA on LeT terrorist Bahadur Ali",44
"Bahadur Ali was recruited by Jamaat-ud-Dawa, subsequently LeT radicalised him, says NIA",44
"NIA DG Sharad Kumar to HT: Bahadur Ali's lays bare the Lashkar conspiracy to throw grenades amidst protestors in Kashmir @htTweets",44
"RT @AdityaRajKaul: Strategic (yet rare!) move by #NSA Ajit Doval to get #NIA to release terror confession video of Pak terrorist Bahadur Al…",43
"Strategic (yet rare!) move by #NSA Ajit Doval to get #NIA to release terror confession video of Pak terrorist Bahadur Ali. Pak dirt exposed.",43
