"tweet","retweets"
"RT @HTSportsNews: Twitter congratulates #PVSindhu for stellar performance at #Rio2016 https://t.co/FHCbJqEuXw https://t.co/Bg5krltsd5",301
"RT @espn: Joseph Schooling was 13 when he met Michael Phelps.

The boy who grew up to beat his idol: https://t.co/ZgTCeEgI52 https://t.co/5â€¦",300
"RT @TIME: This one photo shows how Katie Ledecky totally dominated her Olympic competitors https://t.co/7JNwLni18Z https://t.co/Z9BizVhBhx",299
"RT @dailymaverick: #Rio2016: Akani Simbine blitzes his heat at 10.14 and he's into the semi-finals! 

https://t.co/6TUzAwUqbE https://t.co/â€¦",299
"RT @cnnbrk: OLYMPICS: USA's Simone Biles wins 2nd gold medal in women's individual all-around gymnastics https://t.co/yLQMwkmpKX https://t.â€¦",298
"RT @BBCSport: A hat-trick of #Olympic golds... and could we see a fourth? #Rio2016  https://t.co/tjdgq19TzF",297
"RT @PlanetOlahraga: #SportUpdate - Great Britain's women beat the United States to claim gold in the team pursuit final at Rio 2016 https:/â€¦",297
"RT @USATODAY: #BREAKING Michael Phelps takes silver in men's 100 butterfly at Rio Olympics https://t.co/4Swdh9SlwL",297
"#SportUpdate - Great Britain's women beat the United States to claim gold in the team pursuit final at Rio 2016 https://t.co/GosU3hlofD",297
"A hat-trick of #Olympic golds... and could we see a fourth? #Rio2016  https://t.co/tjdgq19TzF",297
"RT @voguemagazine: Olympic gold medalist @Simone_Biles has a winning beauty signature as well: https://t.co/AfRfnsRL40",296
"RT @FirstpostSports: Take a bow, #PVSindhu for an amazing #Rio2016! First #IND woman to win #silver at #Olympics. https://t.co/Cf89MWxcGE h…",296
"RT @TelegraphSport: #GBR hockey's Kate and Helen Richardson-Walsh become the first married gay couple to reach an Olympic final #Rio2016
ht…",296
"RT @Independent: 'I'm not the next Usain Bolt or Michael Phelps, I'm the first Simone Biles' https://t.co/4v6eEk6ER5",295
"RT @ParisBurned: The Evidence That Ryan Lochte Lied About an Armed Robbery in Rio https://t.co/dojdNqxNQA - look at the receipts!",295
"RT @BBCSport: Goosebumps.

This is what the Olympics are all about!

#SuperSaturday, let's be having you.

https://t.co/LwvrwbgQCy https://â€¦",294
"Goosebumps.

This is what the Olympics are all about!

#SuperSaturday, let's be having you.

https://t.co/LwvrwbgQCy https://t.co/rLcKLKvRhf",294
"RT @TIME: Simone Biles is ""more proud"" of Aly Raisman's Olympic win than her own https://t.co/D2YAxb1ECR",294
"RT @SI_Tennis: Monica Puig wins women's tennis final, the first Olympic gold for Puerto Rico https://t.co/yUZkvH5Lsl https://t.co/IUrrikW5PN",293
"Monica Puig wins women's tennis final, the first Olympic gold for Puerto Rico https://t.co/yUZkvH5Lsl https://t.co/IUrrikW5PN",293
"RT @BBCSport: In case you missed it...

More on GB #rio2016 team pursuit gold: https://t.co/AWGOqEz0xf https://t.co/ZH0xHTGWFI https://t.coâ€¦",293
"RT @TelegraphSport: #Gold for #GBR in the women's hockey!
https://t.co/ENum38IYOx https://t.co/rr8VbNpAan",293
"#Gold for #GBR in the women's hockey!
https://t.co/ENum38IYOx https://t.co/rr8VbNpAan",293
"RT @cnni: Only 12% of tickets to the #Rio2016 #Paralympics have been sold https://t.co/IGlmKPIF5i https://t.co/EbuylgxfSj",293
"RT @mashable: The Rio Olympics are the queerest yet, but coverage still has so far to go https://t.co/q3Wf6xNe90 https://t.co/jgoi3YCcuI",292
"RT @UKIP: '@Jane_CollinsMEP hits out at EU for erasing the achievements of Britain's sporting heroes https://t.co/6C4wWf93gQ https://t.co/2…",292
"RT @CNNnews18: #PVSindhu fought really well to make it a thrilling final. She bags #silver for India #Rio2016
https://t.co/PJl4gaCAK4",292
"RT @GMA: #GOLD &amp; #SILVER FOR #USA! 

Rio 2016 #Athletics: #Olympics Record for Ryan Crouser, Joe Kovacs wins #Silver. #USA https://t.co/q1W…",292
"RT @nytimes: Ryan Lochte apologized, saying he should have been “more careful” describing what he called an armed robbery in Rio https://t.…",291
"RT @BobClaytor: eduardo kobra paints 3,000 square meter mural for the rio olympics https://t.co/NtylEMpdkz wow! #artdesigntechnology https:â€¦",290
"RT @smh: Anna Meares now the most decorated Australian cyclist in Olympic history after winning bronze. https://t.co/msgCeCikMH",290
"RT @CNNnews18: #Rio2016 | Puig is the first woman from the Caribbean island to win a medal of any sort. https://t.co/9u9f4tGKS4",290
"#Rio2016 | Puig is the first woman from the Caribbean island to win a medal of any sort. https://t.co/9u9f4tGKS4",290
"RT @KangaBlueUA: Good luck to three Zips competing in the 2016 Olympics in Rio @Clayton_Murph @vaultbarber &amp; Annika Roloff! https://t.co/Mbâ€¦",290
"RT @photosSMH: Check out our favourite pictures from @Joe_Armao_ at the #Rio2016 #Olympics after week 1 - https://t.co/OvsCDGDc18 https://tâ€¦",290
"RT @USATODAYsports: Galen Rupp's daunting quest: Medals in 10K and marathon. https://t.co/4c2fc6oXDL",290
"RT @JeffKassouf: #USWNT's loss to Sweden wasn't due to lack of opportunities created. https://t.co/TBlduG3lLC https://t.co/05dm134AZC",290
"RT @USATODAYsports: Great Britain set another world record in defending its gold from London. https://t.co/va9toST6BE",290
"RT @TMZ_Sports: Michael Phelps -- Yep, This Is It ... I'm Really Retiring (VIDEO) https://t.co/WmjXarHeFb",290
"RT @TrafficInPeople: Rio Child Sex Trafficking 'Epidemic' Could Rocket During The 2016 Olympics - Here's Why - H... https://t.co/vABrIUkLPjâ€¦",290
"RT @willfoth: Really hope Becky James flies today, and this is why... https://t.co/zkDwmRRLGf",290
"Anna Meares now the most decorated Australian cyclist in Olympic history after winning bronze. https://t.co/msgCeCikMH",290
"RT @DavidEpstein: ""Chemistry's not an exact science"" -Rio non-chemist official. Enjoying @sarahlyall's ongoing green pool coverage https://â€¦",290
"RT @ProfJeffries: Because my dad could only swim in industrial runoff canals in Newark NJ in the 40s and 50s. Thanks #SimoneManuel https://â€¦",290
"Michael Phelps -- Yep, This Is It ... I'm Really Retiring (VIDEO) https://t.co/WmjXarHeFb",290
"RT @lkscollective: Rio 2016: Simone Manuel calls out police brutality after historic Olympic swimming victory - Vox https://t.co/rwTRrp90TA",290
"RT @vanguardngrnews: Rio 2016 Olympics: Watch mikel Obiâ€™s goal against Denmark, NGR 1 â€“ 0 DEN https://t.co/F2fejWNhLQ @vanguardngr.com",290
"RT @nualaza: My daughter is loving this! Canadian women rock Rio 2016 Olympics https://t.co/Q1ft7I19rd via @macleansmag #Canada #Olympics20â€¦",290
"RT @5liveSport: ""It was unbelievable""

Laura Trott on winning #Gold in the women's team pursuit

#Rio2016 #Olympics #CyclingTrack https://tâ€¦",290
"RT @DavidWoods007: Life, love, family and hurdles. How Ashley Spencer (@lnwildcats) made it to #Rio2016 (with video).
https://t.co/u0vmudDMâ€¦",290
"RT @IndiaToday: #Rio2016 #Tennis: Sania-Bopanna lose mixed doubles semis to Ram-Williams, stay in contention for bronze https://t.co/VSDqlSâ€¦",290
"RT @ReligionEthics: ""I want to break cultural norms.""  Ibtihaj Muhammad, US Olympic Fencer https://t.co/ytfmMcKvYK https://t.co/sV5RGmsrED",290
"Great Britain set another world record in defending its gold from London. https://t.co/va9toST6BE",290
"RT @RochelleGilmore: What next for the cyclists involved in the traumatic road race in Rio? @guardian Reports: https://t.co/z40XiGKXfM httpâ€¦",290
"RT @sneakerfiles: NikeID â€˜Pride Unlimitedâ€™ Collection for the Olympic Games
https://t.co/YKXKZ27yRU https://t.co/S5oojQEuzC",290
"""It was unbelievable""

Laura Trott on winning #Gold in the women's team pursuit

#Rio2016 #Olympics #CyclingTrack https://t.co/yHV6Ap5oxR",290
