"tweet","retweets"
"RT @kayraynor: Omar McLeod quickly moved through mixed zone saying ""I have to go"" after 13.15 to win semifinal 2. #RIOUnleashed #TVJRIO @te…",24
"Omar McLeod quickly moved through mixed zone saying ""I have to go"" after 13.15 to win semifinal 2. #RIOUnleashed #TVJRIO @televisionjam",24
"RT @CANOCBroadcast: Omar McLeod #JAM @JamaicaOlympics 1st - 110M Hurdles Heat#1 @ESPN_Caribbean #CANOC2016 #RioESPN #Rio2016 https://t.co/P…",24
"Omar McLeod #JAM @JamaicaOlympics 1st - 110M Hurdles Heat#1 @ESPN_Caribbean #CANOC2016 #RioESPN #Rio2016 https://t.co/PwRBvONogi",24
"RT @KemeshaKelly_: Omar McLeod. It's all on you. #JAM",23
"Omar McLeod. It's all on you. #JAM",23
"RT @JamaicaGleaner: Men's 110m hurdles SEMI-FINALS - A relaxed looking Omar McLeod, 13.15, wins heat 2. #RioGoldRush",23
"Men's 110m hurdles SEMI-FINALS - A relaxed looking Omar McLeod, 13.15, wins heat 2. #RioGoldRush",23
"RT @JamaicaObserver: #JAM Omar McLeod is the first Jamaican to hit the track. He goes in the 110m hurdles &amp; will need atop 4 finish to make…",23
"#JAM Omar McLeod is the first Jamaican to hit the track. He goes in the 110m hurdles &amp; will need atop 4 finish to make it to the next round",23
"RT @CANOCBroadcast: Omar McLeod #JAM @JamaicaOlympics Interview after 110M Hurdles Heat#1 @ESPN_Caribbean #CANOC2016 #RioESPN #Rio2016 http…",22
"Omar McLeod #JAM @JamaicaOlympics Interview after 110M Hurdles Heat#1 @ESPN_Caribbean #CANOC2016 #RioESPN #Rio2016 https://t.co/CjQLYEWib3",22
"RT @ONS_Rio2016: Omar McLEOD (JAM) On the rain: ""It's atrocious. You don't have that tunnel vision, the water is beaming down your face."" #…",22
"Omar McLEOD (JAM) On the rain: ""It's atrocious. You don't have that tunnel vision, the water is beaming down your face."" #AT #M110mh",22
"RT @FLOWJamaica: Easy does it for Omar McLeod!

He executes a smooth race and delivers w/ a time of 13.27s to win the Men's 110m Hurdles Ro…",22
"RT @trackalerts: Omar McLeod (JAM) wins heat one of the men's 110m hurdles in 13.27 ahead of Porter (USA)13.50 and Jeffrey Julmis (HAI) 13.…",22
"Easy does it for Omar McLeod!

He executes a smooth race and delivers w/ a time of 13.27s to win the Men's 110m Hurdles Round 1 #FlowToRio",22
"Omar McLeod (JAM) wins heat one of the men's 110m hurdles in 13.27 ahead of Porter (USA)13.50 and Jeffrey Julmis (HAI) 13.70 #RIO2016",22
"RT @JamaicaOlympics: Omar McLeod <ed><U+00A0><U+00BC><ed><U+00B7><U+00AF><ed><U+00A0><U+00BC><ed><U+00B7><U+00B2> takes Heat 1 of Men's 110M Hurdles in 13.27. #TeamJamaica https://t.co/4XrfayKC3V",21
"Omar McLeod <ed><U+00A0><U+00BC><ed><U+00B7><U+00AF><ed><U+00A0><U+00BC><ed><U+00B7><U+00B2> takes Heat 1 of Men's 110M Hurdles in 13.27. #TeamJamaica https://t.co/4XrfayKC3V",21
"RT @CVMTV: Omar McLeod takes heat 2 of the men's 110 hurdles at 13.15s #RioDream #Rio2016 https://t.co/Exp7qtFYef",20
"RT @LillzOK: A Jamaican has never won the 110m Hurdles at the Olympics before.. Omar McLeod has the opportunity to make history tonight <ed><U+00A0><U+00BC><ed><U+00B7><U+00AF><ed><U+00A0><U+00BC><ed><U+00B7><U+00B2>…",20
"Omar McLeod takes heat 2 of the men's 110 hurdles at 13.15s #RioDream #Rio2016 https://t.co/Exp7qtFYef",20
"A Jamaican has never won the 110m Hurdles at the Olympics before.. Omar McLeod has the opportunity to make history tonight <ed><U+00A0><U+00BC><ed><U+00B7><U+00AF><ed><U+00A0><U+00BC><ed><U+00B7><U+00B2><ed><U+00A0><U+00BC><ed><U+00B7><U+00AF><ed><U+00A0><U+00BC><ed><U+00B7><U+00B2> #Rio2016",20
"RT @JNFoundation: #LetsGo Omar McLeod! Awesome talent from Christiana, place for: Irish Potato, Ginger &amp; Banana #JNKnowsCommunity #Jam #Rio…",20
"RT @JamaicaGleaner: The men's 110m hurdles SEMI-FINALS is underway Deuce Carter finished out of the qualifiers in heat 1. Omar McLeod is up…",20
"#LetsGo Omar McLeod! Awesome talent from Christiana, place for: Irish Potato, Ginger &amp; Banana #JNKnowsCommunity #Jam #Rio2016",20
"The men's 110m hurdles SEMI-FINALS is underway Deuce Carter finished out of the qualifiers in heat 1. Omar McLeod is up next #RioGoldRush",20
"RT @FloTrack: Who wins tonight? #Rio2016
OMAR McLEOD | 12.97 | 3x NCAA Ind. Champ
vs.
DEVON ALLEN | 13.03 | 3x NCAA Ind. Champ",20
"Who wins tonight? #Rio2016
OMAR McLEOD | 12.97 | 3x NCAA Ind. Champ
vs.
DEVON ALLEN | 13.03 | 3x NCAA Ind. Champ",20
"RT @SPORTATSABC: Men's 110m hurdles heat 1 winner: Omar McLeod

#LetsGoRio2016 https://t.co/efYAqG7po9",20
"RT @JamaicaGleaner: First up: Men's 110m Hurdles heats: Omar McLeod - heat 1, lane 2; Deuce Carter - heat 2, lane 7 &amp; Andrew Riley - heat 3…",20
"RT @JamaicaObserver: #JAM Andrew Riley lines up in Lane 6 and looks to join countryman Omar McLeod in the next round. #ReadySetRio",20
"#JAM Andrew Riley lines up in Lane 6 and looks to join countryman Omar McLeod in the next round. #ReadySetRio",20
"RT @JamaicaGleaner: Men's 110m Hurdles heats: Omar McLeod, 13.27 seconds, wins heat 1 to advance to the semi-finals. #RioGoldRush #JAinRio",20
"Men's 110m Hurdles heats: Omar McLeod, 13.27 seconds, wins heat 1 to advance to the semi-finals. #RioGoldRush #JAinRio",20
"Men's 110m hurdles heat 1 winner: Omar McLeod

#LetsGoRio2016 https://t.co/efYAqG7po9",20
"First up: Men's 110m Hurdles heats: Omar McLeod - heat 1, lane 2; Deuce Carter - heat 2, lane 7 &amp; Andrew Riley - heat 3, lane 6 #RioGoldRush",20
"RT @lsabre: Omar McLeod eases off to an easy win in 13.15 and Pascal Martinot-Lagarde follows through in 13.25 into the final https://t.co/…",19
"RT @RazNation: Breaking: Former Hog 110 meter hurdler Omar McLeod has advanced to tonight's final at 8:45 on NBC after winning... https://t…",19
"Omar McLeod eases off to an easy win in 13.15 and Pascal Martinot-Lagarde follows through in 13.25 into the final https://t.co/gsMs0RCkDw",19
"Breaking: Former Hog 110 meter hurdler Omar McLeod has advanced to tonight's final at 8:45 on NBC after winning... https://t.co/3OGArludl9",19
"RT @5liveSport: Second heat of men's 110m hurdles should be re-run due to conditions says winner of the first heat, Omar McLeod https://t.c…",19
"RT @7olympics: #JAM Omar McLeod cruises to victory in his heat of the 110m hurdles. #Athletics live on 7 and #7Olympics app https://t.co/bz…",19
"Second heat of men's 110m hurdles should be re-run due to conditions says winner of the first heat, Omar McLeod https://t.co/7pC9WFVog2",19
"RT @GovernorVirgo: Omar McLeod WILL be on that podium.",19
"Omar McLeod WILL be on that podium.",19
