"tweet","retweets"
"RT @MailOnline: Brazilian tennis player Gustavo Kuerten carries the Olympic flame #OpeningCeremony https://t.co/DGwIXn3QQb https://t.co/r1g‚Ä¶",167
"RT @Historicalmages: Opening ceremony of the 1980 Moscow Olympic Games https://t.co/CEGtTZH7jX",166
"RT @NBCOlympics: For the first time ever, the Olympic Games have come to South America. Ì†ºÌ∑ßÌ†ºÌ∑∑
https://t.co/OLUXwsZYga  https://t.co/oF8gCRNDVh",165
"RT @BreitbartNews: The people in charge of the Rio Olympics can't even keep track of the keys for the opening ceremony's stadium: https://t‚Ä¶",164
"RT @DanaPerino: Refugee athletes in Rio - wish them well. What an amazing story. Would love to meet them. https://t.co/wduRyAFklh",163
"RT @saidshouib: The Palestinian team at the opening ceremony of the Olympic Games in #Rio2016 ..

#PalestineAtRio https://t.co/N9QHWJGNxC",162
"RT @gabeharmonizer: Imma let you finish but Rio had the best Olympic opening ceremony of all time",161
"RT @PDChina: Video shows how the #Olympic rings was revealed at #Rio2016 Olympics opening ceremony https://t.co/BIezqxPGje",160
"RT @MuhammadAli: 20 Years Ago: Muhammad Ali lit the Olympic¬†cauldron at the Atlanta @Olympics¬†Opening Ceremony. https://t.co/3M2etiFaB3",159
"RT @tassagency_en: Russian Olympic team fans house robbed during 2016 Olympics opening ceremony
https://t.co/1Y5vMalX9f",158
"RT @instinctmag: Olympic Opening Ceremony Was A Hot Oily Mess. We Liked It! (video) https://t.co/vEqMLdx81x https://t.co/szxLmT0PXl",158
"RT @belizeolympics: @KatyBelize @belizeantrackstar Olympic Opening ceremony #Rio2016 #teambelize https://t.co/qHDcpjfdkF",158
"RT @FootwearNews: Gisele Bundchen Debuts Alexandre Birman Heels Named In Her Honor At Rio Olympic Games‚Ä¶ https://t.co/3JyM09snvP https://t.‚Ä¶",158
"RT @ARuighaver: Olympic spirit is dead! The opening ceremony shows these Rio games are now fully politicised!  https://t.co/6MoKM8cVAM",158
"@KatyBelize @belizeantrackstar Olympic Opening ceremony #Rio2016 #teambelize https://t.co/qHDcpjfdkF",158
"RT @TheAVClub: Olympic Opening Ceremony addresses slavery, global warming, hot, oily dudes  https://t.co/wpG2xrzguY https://t.co/gPbACc0iOr",158
"Russian Olympic team fans house robbed during 2016 Olympics opening ceremony
https://t.co/1Y5vMalX9f",158
"Olympic Opening Ceremony Was A Hot Oily Mess. We Liked It! (video) https://t.co/vEqMLdx81x https://t.co/szxLmT0PXl",158
"Gisele Bundchen Debuts Alexandre Birman Heels Named In Her Honor At Rio Olympic Games‚Ä¶ https://t.co/3JyM09snvP https://t.co/LehauiUb8M",158
"RT @yfpeacei: https://t.co/S7jqfa8ndG.   #Refugee olympic team at the opening ceremony #ShadesOfPeace https://t.co/Ic9lT7PU7k",158
"RT @FSU_Track: Look @Kelz_Knibb rocking Jamaica's opening ceremony attire &amp; an Olympic smile! #NolesInRio https://t.co/LEa1RHbwB4",158
"RT @worldstories: Man shot dead near Maracana Stadium after Olympic Opening Ceremony https://t.co/tQgMaksQk0",158
"Olympic Opening Ceremony addresses slavery, global warming, hot, oily dudes  https://t.co/wpG2xrzguY https://t.co/gPbACc0iOr",158
