"tweet","retweets"
"RT @Ultanoka: @miskiart and in the end they'll still lose to him but at least they have friends
micheal phelps becomes good in season 2 thoâ€¦",88
"@miskiart and in the end they'll still lose to him but at least they have friends
micheal phelps becomes good in season 2 though",88
"RT @Ultanoka: @miskiart and in the end they'll still lose to him but at least they have friends
micheal phelps becomes good in season 2 tho…",88
"RT @XHNews: Chinese artist makes dough figurines of Olympic champions Micheal Phelps, Usain Bolt. Wanna have one? #XinhuaTV https://t.co/lW…",87
"Chinese artist makes dough figurines of Olympic champions Micheal Phelps, Usain Bolt. Wanna have one? #XinhuaTV https://t.co/lWV0lsYdTz",87
"RT @Debnicolina: The 27 funniest #MichaelPhelps face #memes from the #Rio #Olympics: https://t.co/xbuZVf7reE |@forthewin #USA #Swimming #Ri…",87
"The 27 funniest #MichaelPhelps face #memes from the #Rio #Olympics: https://t.co/xbuZVf7reE |@forthewin #USA #Swimming #Rio2016 #PhelpsFace",87
"RT @coookkiiee_: ""if I was stranded on an island I would bring Micheal phelps, a saddle, and a gold medal to dangle in front of him to takeâ€¦",86
"RT @hyatth22: We need Micheal phelps down here saving people.",86
"""if I was stranded on an island I would bring Micheal phelps, a saddle, and a gold medal to dangle in front of him to take me home""- mom",86
"We need Micheal phelps down here saving people.",86
"RT @christiannduran: Micheal Phelps is not human",86
"RT @_17ish: Micheal phelps might be aqua man",86
"Micheal phelps might be aqua man",86
"Micheal Phelps is not human",86
"RT @2Tanks_DRE: RT @FastTimesAtRF: LMAOOOOO RT @Alyricz: Micheal Phelps in his true form snatching medals from these peasants. https://t.coâ€¦",86
"RT @AlexFitzeraldd: Micheal phelps has more gold medals then I have friends",86
"RT @hunter_steen2: Micheal Phelps for president 2016",86
"RT @okay_laaa: I still remember when Micheal Phelps visited my elementary school í ½í²¯",86
"RT @lamarkfast: Micheal Phelps í ¼í¿Ší ¼í¿»í ¼í¿Ší ¼í¿»í ¼í¿Ší ¼í¿»í ¼í¿Ší ¼í¿»í ¼í¿Ší ¼í¿»í ¼í¿Ší ¼í¿»í ¼í¿Ší ¼í¿»í ¼í¿Ší ¼í¿»í ¼í¿Ší ¼í¿»í ¼í¿Ší ¼í¿»í ¼í¿Ší ¼í¿»í ¼í¿Ší ¼í¿»í ¼í¿Ší ¼í¿»í ¼í¿Ší ¼í¿»í ¼í¿Ší ¼í¿»í ¼í¿Ší ¼í¿»í ¼í·ºí ¼í·¸í ¼í·ºí ¼í·¸í ¼í·ºí ¼í·¸í ¼í·ºí ¼í·¸í ¼í·ºí ¼í·¸í ¼í·ºí ¼í·¸í ¼í·ºí ¼í·¸í ¼í·ºí ¼í·¸í ¼í·ºí ¼í·¸í ¼í·ºí ¼í·¸í ¼í·ºí ¼í·¸í ¼í·ºí ¼í·¸í ¼í·ºí ¼í·¸í ¼í¿…í ¼í¿…í ¼í¿…í ¼í¿…í ¼í¿…í ¼í¿…í ¼í¿…í ¼í¿…í ¼í¿…í ¼í¿…í ¼í¿…í ¼í¿…í ¼í¿…í ¼í¿…í ¼í¿…í ½í° í ½í° í ½í° í ½í° í ½í° í ½í° í ½í° í ½í° í ½í° í ½í° ",86
"RT @IM__SEMAJ__: Micheal phelps the goat son.",86
"Micheal phelps has more gold medals then I have friends",86
"Micheal Phelps for president 2016",86
"Micheal Phelps í ¼í¿Ší ¼í¿»í ¼í¿Ší ¼í¿»í ¼í¿Ší ¼í¿»í ¼í¿Ší ¼í¿»í ¼í¿Ší ¼í¿»í ¼í¿Ší ¼í¿»í ¼í¿Ší ¼í¿»í ¼í¿Ší ¼í¿»í ¼í¿Ší ¼í¿»í ¼í¿Ší ¼í¿»í ¼í¿Ší ¼í¿»í ¼í¿Ší ¼í¿»í ¼í¿Ší ¼í¿»í ¼í¿Ší ¼í¿»í ¼í¿Ší ¼í¿»í ¼í¿Ší ¼í¿»í ¼í·ºí ¼í·¸í ¼í·ºí ¼í·¸í ¼í·ºí ¼í·¸í ¼í·ºí ¼í·¸í ¼í·ºí ¼í·¸í ¼í·ºí ¼í·¸í ¼í·ºí ¼í·¸í ¼í·ºí ¼í·¸í ¼í·ºí ¼í·¸í ¼í·ºí ¼í·¸í ¼í·ºí ¼í·¸í ¼í·ºí ¼í·¸í ¼í·ºí ¼í·¸í ¼í¿…í ¼í¿…í ¼í¿…í ¼í¿…í ¼í¿…í ¼í¿…í ¼í¿…í ¼í¿…í ¼í¿…í ¼í¿…í ¼í¿…í ¼í¿…í ¼í¿…í ¼í¿…í ¼í¿…í ½í° í ½í° í ½í° í ½í° í ½í° í ½í° í ½í° í ½í° í ½í° í ½í° ",86
"RT @BoccuzziStefano: Micheal phelps for president",86
"I still remember when Micheal Phelps visited my elementary school í ½í²¯",86
"RT @FastTimesAtRF: LMAOOOOO RT @Alyricz: Micheal Phelps in his true form snatching medals from these peasants. https://t.co/VvmRhI29FT",86
"Micheal phelps for president",86
"Micheal phelps the goat son.",86
"RT @UberSmizzy: Micheal Phelps wins Troll us
Usain Bolt wins Troll us
Portugal wins Troll us
This world is not our home  https://t.co/WzY4G…",86
"Micheal Phelps wins Troll us
Usain Bolt wins Troll us
Portugal wins Troll us
This world is not our home  https://t.co/WzY4Gfypni",86
"RT @coookkiiee_: ""if I was stranded on an island I would bring Micheal phelps, a saddle, and a gold medal to dangle in front of him to take…",86
"RT @DrScienceCat: 10 years ago: 9 year old Katie Ledecky gets an autograph from Micheal Phelps https://t.co/JABUq0iEo5",85
"10 years ago: 9 year old Katie Ledecky gets an autograph from Micheal Phelps https://t.co/JABUq0iEo5",85
"RT @alexiskmorgan: micheal freaking phelps https://t.co/Ynee7eNOIu",84
"micheal freaking phelps https://t.co/Ynee7eNOIu",84
"RT @alexiskmorgan: micheal freaking phelps https://t.co/Ynee7eNOIu",83
"RT @TurntAlien: Michael Phelps https://t.co/M5XJFEO5os",82
"RT @FatherTone: Micheal Phelps be smoking gas and he has 20 gold medals... I be smoking gas and i got $20 in my bank account something ain'â€¦",81
"Micheal Phelps be smoking gas and he has 20 gold medals... I be smoking gas and i got $20 in my bank account something ain't right",81
"RT @FatherTone: Micheal Phelps be smoking gas and he has 20 gold medals... I be smoking gas and i got $20 in my bank account something ain'…",81
"RT @OGYungTaco: stroke game micheal phelps",80
"RT @NotTiff_Tiffany: @unfamoustwin let her have her moment.
""Micheal Phelps shares historic night with Simone Manuel""

@JShahryar",80
"RT @KEENANMULVANEY: OMG MICHEAL PHELPS IS AT THE @VANDAWATERFRONT RIGHT NOW #SAVAGEMODE https://t.co/VRZGl48TkM",80
"OMG MICHEAL PHELPS IS AT THE @VANDAWATERFRONT RIGHT NOW #SAVAGEMODE https://t.co/VRZGl48TkM",80
"stroke game micheal phelps",80
"@unfamoustwin let her have her moment.
""Micheal Phelps shares historic night with Simone Manuel""

@JShahryar",80
"RT @N8Burnish: Micheal phelps is going to smoke SO MUCH weed when he gets home",80
"RT @hitmanriggi: Micheal Phelps a mf dolphin .",80
"RT @BenSoloYoung: Confirmation: Micheal Phelps is from a galaxy far far away. https://t.co/QEz2Q8CGEK",80
"Micheal Phelps a mf dolphin .",80
"RT @Anthony_Wis: Micheal phelps smoking dope and he a gold medalist your argument against weed is invalid",80
"RT @zachlax13: Micheal phelps wins gold yet again!í ¼í·ºí ¼í·¸ https://t.co/2otNpet5YW",80
"RT @USATODAYsports: The 27 funniest Michael Phelps face memes from the Rio #Olympics: https://t.co/I3baFwdwsC https://t.co/VrHi0uJ7jQ",80
"Micheal phelps wins gold yet again!í ¼í·ºí ¼í·¸ https://t.co/2otNpet5YW",80
"Micheal phelps smoking dope and he a gold medalist your argument against weed is invalid",80
"RT @ImClearlyOdd: I'm tryna smoke with micheal phelps",80
"RT @Turn_thepaigey: Someone reported the Micheal Phelps isn't the greatest Olympian ever because ""he competes in swimming"" í ½í¹„í ½í¹„í ½í¹„ swimming isnâ€¦",80
"I'm tryna smoke with micheal phelps",80
"RT @HorwattMadi: Micheal phelps is the Loml",80
"Someone reported the Micheal Phelps isn't the greatest Olympian ever because ""he competes in swimming"" í ½í¹„í ½í¹„í ½í¹„ swimming isn't an easy sport",80
"RT @dANG_she_fine: Micheal Phelps is hot lol",80
"RT @sultan_guliano: Micheal Phelps is Aquaman.",80
"Micheal phelps is the Loml",80
"RT @cisneros33_: Micheal phelps is the most successful pot smoker in the U.S",80
"Confirmation: Micheal Phelps is from a galaxy far far away. https://t.co/QEz2Q8CGEK",80
"Micheal Phelps is Aquaman.",80
"RT @jhaneilthompson: Micheal phelps is í ½í° !!",80
"Micheal phelps is the most successful pot smoker in the U.S",80
"Micheal phelps is going to smoke SO MUCH weed when he gets home",80
"Micheal Phelps is hot lol",80
"RT @tayy2498: Micheal Phelps is not human",80
"Micheal phelps is í ½í° !!",80
"Micheal Phelps is not human",80
"RT @lindaikeji: 1st day of retirement: Olympic champion Micheal Phelps bonds in a pool with family: 23-time gold medalist - O... https://t.…",80
"1st day of retirement: Olympic champion Micheal Phelps bonds in a pool with family: 23-time gold medalist - O... https://t.co/5Bp2HUH6Xb",80
"RT @TexansGuy80: Won't see Anyone Like Micheal Phelps in a long time.",80
"RT @slyalubo: Micheal Phelps. Rubber band man https://t.co/vpLt6B0WHQ",80
"Micheal Phelps. Rubber band man https://t.co/vpLt6B0WHQ",80
"RT @ohmayagoshh_: micheal phelps <ed><U+00A0><U+00BD><ed><U+00B0><U+0090>",80
"Won't see Anyone Like Micheal Phelps in a long time.",80
"micheal phelps <ed><U+00A0><U+00BD><ed><U+00B0><U+0090>",80
"RT @Reematendulkar: The legend that is Micheal Phelps . Awed and fascinated https://t.co/n0rAbXpK3f",80
"RT @auntbeckyrose: Has Micheal Phelps ever beat everyone by 11 secs or more? Y'all need to stop calling Katie Ledecky ""the female Michael Pâ€¦",79
"Has Micheal Phelps ever beat everyone by 11 secs or more? Y'all need to stop calling Katie Ledecky ""the female Michael Phelps.""",79
"RT @auntbeckyrose: Has Micheal Phelps ever beat everyone by 11 secs or more? Y'all need to stop calling Katie Ledecky ""the female Michael P…",79
"RT @amanda_fellman: Micheal Phelps mom was a Phi Mu which means my son/daughter better be an Olympic athlete as well",78
"RT @amanda_fellman: Micheal Phelps mom was a Phi Mu which means my son/daughter better be an Olympic athlete as well",77
"Micheal Phelps mom was a Phi Mu which means my son/daughter better be an Olympic athlete as well",77
"RT @coffeygrinds: 1st known picture of Micheal Phelps https://t.co/v49Y9wCQTC",76
"1st known picture of Micheal Phelps https://t.co/v49Y9wCQTC",76
"RT @existentialcoms: ""Micheal Phelps has always been my favorite swimmer.""
""Why is that?""
""Uh...because he swims the fastest...""",76
"RT @coffeygrinds: 1st known picture of Micheal Phelps https://t.co/v49Y9wCQTC",75
"RT @SheaSerrano: they gotta make usain bolt run his 100m in water and make michael phelps swim his races in mayonnaise this shit ain't fair",74
"RT @existentialcoms: ""Micheal Phelps has always been my favorite swimmer.""
""Why is that?""
""Uh...because he swims the fastest...""",73
"""Micheal Phelps has always been my favorite swimmer.""
""Why is that?""
""Uh...because he swims the fastest...""",73
"RT @SheaSerrano: they gotta make usain bolt run his 100m in water and make michael phelps swim his races in mayonnaise this shit ain't fair",72
"RT @iiBreakNecks: Micheal Phelps looking at his silver medal like.... https://t.co/votpUsMz9n",71
"RT @TheCrazyKlopp: Micheal Phelps may be the best Olympian ever, but still needs to prove himself against Stoke in the Premier League. http…",71
"Micheal Phelps looking at his silver medal like.... https://t.co/votpUsMz9n",71
