"tweet","retweets"
"RT @theScore: Ryan Lochte has got nerves of steel. #USA https://t.co/08gZJh0xcT",186
"RT @cbrennansports: Ryan Lochte with a gun to his head while being robbed overnight is an awful, scary visual. Changes the tone of these Ga‚Ä¶",185
"RT @WSJ: Swimmer Ryan Lochte was robbed in Rio on Saturday night, but the details of the incident remain murky https://t.co/kU98ZFp3bv Ì†ΩÌ¥ì",184
"RT @enews: Michael Phelps and Ryan Lochte: A brief history of their best Olympic broments: https://t.co/mCBdgClits https://t.co/YYZdXIr8UE",183
"RT @BraddJaffy: NBC's Billy Bush spoke to Ryan Lochte this morning. Lochte confirms he and three other swimmers were robbed at gunpoint las‚Ä¶",182
"RT @latimes: Ryan Lochte, three other U.S. swimmers robbed at gunpoint early Sunday morning https://t.co/kG3BPo4WMU https://t.co/rHgdjWNrLO",181
"RT @NBCSports: .@RyanLochte on @MichaelPhelps: I ""guarantee"" he will be in Tokyo in 2020. https://t.co/RjfJZ8jaED https://t.co/kQKEP0GcVG",180
"RT @accesshollywood: The criminals who robbed @RyanLochte at gunpoint were dressed as police! https://t.co/LWbJegv8Lq https://t.co/T3d9plgg‚Ä¶",179
"RT @ClayJeffries: ryan lochte's hair makes me want to revoke every single one of his medals #olympics https://t.co/iU3W7A8sF0",179
"ryan lochte's hair makes me want to revoke every single one of his medals #olympics https://t.co/iU3W7A8sF0",179
"The criminals who robbed @RyanLochte at gunpoint were dressed as police! https://t.co/LWbJegv8Lq https://t.co/T3d9plggXn",179
"RT @rodger_sherman: just to clear up the confusion: I robbed Ryan Lochte and now own his medals",179
"RT @JoeMyGod: BRAZIL: Gold Medalist Ryan Lochte And Three Other USA Swimmers Robbed By Gunmen ... - https://t.co/WAXqrCAU4O https://t.co/xx‚Ä¶",179
"RT @YahooNews: Police search for driver who was with Ryan Lochte and U.S. swimmers when they were robbed https://t.co/gEnJ89Aktc https://t.‚Ä¶",179
"RT @enews: Michael Phelps and Ryan Lochte: A brief history of their best Olympic broments: https://t.co/t52h2FKDM6 https://t.co/gJvM4H8HSo",178
"RT @Cosmopolitan: ""I was like 'whatever.'"" ‚Äì@RyanLochte on getting robbed at gunpoint https://t.co/CL1ZJSY6xG https://t.co/WiMm7n2WbF",178
"RT @LouisPeitzman: I guarantee Ryan Lochte has been startled by a magic trick.",177
"RT @Mojahedineng: #Iran #News Ryan Lochte, 3 other US swimmers robbed in Rio https://t.co/YzeuquQlMw https://t.co/C8SQRWacEs",176
