"tweet","retweets"
"RT @IndiaToday: ""And India gets a medal in Olympics. Woman power! Hail"" https://t.co/IlPmMMxBdi #SakshiMalik #Rio2016",103
"""And India gets a medal in Olympics. Woman power! Hail"" https://t.co/IlPmMMxBdi #SakshiMalik #Rio2016",103
"RT @Sportskeeda: SAKSHI MALIK HAS DONE IT!!!!!

INDIA HAVE WON BRONZE IN WOMEN'S 58kg FREESTYLE WRESTLING AT Rio 2016 Olympics!!!! https://…",102
"SAKSHI MALIK HAS DONE IT!!!!!

INDIA HAVE WON BRONZE IN WOMEN'S 58kg FREESTYLE WRESTLING AT Rio 2016 Olympics!!!! https://t.co/htgYhJ2z4A",102
"RT @India_At_Rio: News Flash: Sakshi Malik now just one win away from a Bronze Medal (58 kg) as she beats Mongolian opponent 12-3 #Olympics",101
"News Flash: Sakshi Malik now just one win away from a Bronze Medal (58 kg) as she beats Mongolian opponent 12-3 #Olympics",101
"RT @India_At_Rio: News Flash: Sakshi Malik gets another shot for Bronze (via Repechage)   as Koblova to whom she lost in QF (58 kg), enters…",100
"News Flash: Sakshi Malik gets another shot for Bronze (via Repechage)   as Koblova to whom she lost in QF (58 kg), enters Final #Olympics",100
"RT @firstpost: Sakshi Malik credits 12 years of persistent hard work for bronze medal at Rio Olympics 2016 https://t.co/zKGFMHZkh1",99
"Sakshi Malik credits 12 years of persistent hard work for bronze medal at Rio Olympics 2016 https://t.co/zKGFMHZkh1",99
"RT @VIBHUISM: Sakshi malik is now the first ever Indian female #Wrestler to win a medal at #Olympics. #Rio2016",99
"RT @FirstpostSports: Coming up next: #IND's Sakshi Malik in action against #KGZ's Aisuluu Tynybekova in #Bronze medal match. 

Live: https:…",99
"RT @IExpressSports: #Rio2016 

#SakshiMalik ends #IND agonising wait, wins bronze

READ: https://t.co/JX4WCE9fau https://t.co/BeE10SPCIY",99
"RT @Singhlicious: Salman khan may take credit for Sakshi's medal but all thanks to Aarfa's dad Barkat ji for making Sakshi Malik strong eno…",99
"Salman khan may take credit for Sakshi's medal but all thanks to Aarfa's dad Barkat ji for making Sakshi Malik strong enough to earn medal.",99
