"tweet","retweets"
"RT @milesplit: CRAZY FINISH! Shaunae Miller DIVES over the line in 49.44 to beat Allyson Felix (49.51) #Rio2016 #Athletics https://t.co/y22…",145
"RT @universityofga: UGA has won nearly as many medals as Brazil
https://t.co/OI7BGK1Mqx
#Rio2016 | #DawgsInRio<ed><U+00A0><U+00BD><ed><U+00B0><U+00BE> https://t.co/xFdqzxY1Ty",144
"UGA has won nearly as many medals as Brazil
https://t.co/OI7BGK1Mqx
#Rio2016 | #DawgsInRio<ed><U+00A0><U+00BD><ed><U+00B0><U+00BE> https://t.co/xFdqzxY1Ty",144
"RT @theScore: Shaunae Miller beats Allyson Felix in the 400m on a dive! Unbelievable. https://t.co/iJAlCVYRxI https://t.co/MV1KLN95ot",143
"RT @Alpha_Chung: HER NAME IS SHAUNAE MILLER!!!

AND HER HAIR IS AQUAMARINE, NOT GREEN -.- https://t.co/FbSnq18cfI",142
"HER NAME IS SHAUNAE MILLER!!!

AND HER HAIR IS AQUAMARINE, NOT GREEN -.- https://t.co/FbSnq18cfI",142
"RT @USATODAY: Shaunae Miller's unorthodox dive is an Olympic moment to remember https://t.co/9P8xo8InCX https://t.co/iI9NZAZBk1",141
"RT @BBCSport: When you train for 4 years, you'll do anything for gold...

As proved by Shaunae Miller.
https://t.co/49pbSg0Qx0 https://t.co…",141
"RT @Tribune242: OLYMPIC GAMES: GOLD MEDAL FOR SHAUNAE MILLER  https://t.co/XgSQhrkoSK https://t.co/FQ1raP2jpe",141
"RT @liam_bp: Yup, you can win in track by diving across the line. As long as your torso makes it across first. https://t.co/MQG3qx4F2n",140
"RT @ATLBlackStar: Watch: Shaunae Miller Explains What Really Happened at Olympics 400M Finals https://t.co/X0NnNt1YwT",139
"RT @Wes_nship: Google search result describes Shaunae Miller as a 'Bahamian diver.' #gold #bah https://t.co/i6YysScNRt",139
"RT @jkaisr: Shaunae Miller dives across finish line for gold in Women's 400 #Olympics https://t.co/ohvdzcDcyV",139
"Watch: Shaunae Miller Explains What Really Happened at Olympics 400M Finals https://t.co/X0NnNt1YwT",139
"RT @ChrisMuellerPGH: Shaunae Miller is running outta gas, will she make it? https://t.co/5Fwhr8CPKh",139
"RT @BostonGlobe: Shaunae Miller of Bahamas dives to edge American Allyson Felix in 400 meters https://t.co/2IpdJV9VBX #Rio2016 https://t.co…",139
"RT @mikeyabrahams: Does anybody know when the medal ceremony for women's diving will take place? I want to see Shaunae Miller collect her m…",139
"RT @NancyRichmond: Give it your ALL to the finish line. Shaunae Miller dove to win. How will you standout? https://t.co/F3n5hWTX6F https://…",139
"RT @guardian: Rio Olympics 2016: Usain Bolt back in 200m, boxing and more – live! https://t.co/LqhMoqdmrL",139
"RT @AdrianNeenan: Shaunae Miller dove at the finish line like... #Olympics https://t.co/iA7fljDymn",139
"RT @ImohUmoren: Shaunae Miller (a relative of Luis Suarez) wins gold in the Olympics women diving event https://t.co/XnbfwJfS6C",139
"RT @deikamorrison: How Miller beat Felix w/ perfectly legal dive across finish line via @SBNation https://t.co/PJLmRFDhJj https://t.co/fCuQ…",139
"RT @nationalpost: A dive for gold: Shaunae Miller puts her body on the line to win women’s 400mn by 0.07 sec https://t.co/eXCclUlFLU https:…",139
"RT @Sportsnet: #ICYMI: Allyson Felix had a gold medal in her sights...

Until Shaunae Miller's epic finish: https://t.co/ZXglQ09WRE https:/…",139
"RT @ABC: Shaunae Miller's head-first dive at the finish line edges Allyson Felix in 400m. https://t.co/EdQL4dMTTI #Rio2016 https://t.co/z1f…",138
"RT @XHSports: What a photo finish! Bahamas' Shaunae Miller dives over the line to win Olympic 400m gold https://t.co/fGWfvVoLsT",137
"RT @businessinsider: Bahamian runner dives across finish line to steal gold medal in 400-meter final https://t.co/gDkRTBbxiF https://t.co/5…",136
"RT @Alex_Verbeek: Wow! Brave innovation at the #Olympics! 
 Shaunae Miller dives at the line to snatch 400m #gold https://t.co/NgocyrSxMZ #…",135
"RT @USATODAY: Shaunae Miller's shining moment in photos: https://t.co/NbTsX9nIFq #Rio2016 #gold https://t.co/4yWb67T3tM",134
"RT @Rio2016_en: What a race! With a time of 49.44 and a dive Shaunae Miller takes the #Gold for #BAH https://t.co/GdeE8DAZy1",133
"RT @Sartor1836: So Shaunae Miller won a gold for the new event of land diving, apparently.

Allyson Felix won a gold for running the 400m,…",133
