"tweet","retweets"
"RT @hindustanse: Narendra Modi: Superb performance PV Sindhu. You make India proud! Best of luck for the finals. #Rio2016 https://t.co/ylJu‚Ä¶",166
"RT @FirstpostSports: Take a bow, #PVSindhu for an amazing #Rio2016! First #IND woman to win #silver at #Olympics. https://t.co/Cf89MWxcGE h‚Ä¶",165
"RT @RCBTweets: Congratulations to PV Sindhu, the 1st Indian woman to win a silver medal at the Olympics! #PlayBold https://t.co/4bmTRrnUk3",165
"RT @mohituraina: You did well ..thankyou PV SINDHU #inspiration",164
"RT @AnushkaSharma: #TheyFoughtLikeGirls Ì†ΩÌ≤ÉÌ†ºÌøºkicking misogyny in its gut. https://t.co/6e3VIWJbV6",163
"RT @rajnathsingh: The people of India should feel proud of their daughters. First Sakshi Malik and now PV Sindhu has made history in #Rio20‚Ä¶",162
"RT @CNNnews18: #PVSindhu fought really well to make it a thrilling final. She bags #silver for India #Rio2016
https://t.co/PJl4gaCAK4",161
"RT @FirstpostSports: Another challenge and yet another review that goes #CarolinaMarin's way. She leads 16-12.  https://t.co/Cf89MWxcGE 

#‚Ä¶",160
"RT @DailyO_: What makes #PVSindhu's victorious journey even more spectacular | @FGfaridi | https://t.co/jbzeTEOyg2  #Rio2016    #Re",160
"What makes #PVSindhu's victorious journey even more spectacular | @FGfaridi | https://t.co/jbzeTEOyg2  #Rio2016    #Re",160
"RT @ANINewsUP: Moradabad: School children extend their best wishes to PV Sindhu who'll face Carolina Marin for gold, today #Rio2016 https:/‚Ä¶",160
"RT @Lucknowiiii: PV Sindhu won Silver..But her performance was gold..What a match. Congratulations to Marin. Sindhu you simply won our hear‚Ä¶",160
"PV Sindhu won Silver..But her performance was gold..What a match. Congratulations to Marin. Sindhu you simply won our hearts...‚úå",160
"RT @mvumahesh: PV Sindhu, be very very very proud!!! You are our heroine now, not some Bollywood Bimbo! @AsYouNotWish @HinduRajyam @truevir‚Ä¶",160
"RT @VMuppi: The Dronacharya Who Mentored Champions Like Saina Nehwal, PV Sindhu and Kidambi Srikanth https://t.co/MS6sG0J0Fi via @logicalin‚Ä¶",160
"RT @IndiaToday: #Rio2016 Women's Singles Badminton Final, 3rd game: PV Sindhu 11-14 Carolina Marin. It's 1-1 after 2 games https://t.co/pgi‚Ä¶",160
"The Dronacharya Who Mentored Champions Like Saina Nehwal, PV Sindhu and Kidambi Srikanth https://t.co/MS6sG0J0Fi via @logicalindians",160
"RT @iAditiAshok: DON'T say PV Sindhu lost Gold...Say #PVSindhu wins #SILVER...#Rio2016 #SindhuForGold #badminton",160
"RT @IBawandar: Congratulations  #PVSindhu settles for silver medal, We are Proud of you Sindhu
https://t.co/E44tfNagKu
#SindhuForGold #Sind‚Ä¶",160
"RT @ESPNIndia: First Indian woman to win an Olympic silver

Youngest individual Olympic medallist from India

Congrats @Pvsindhu1!

https:/‚Ä¶",160
"RT @indiantweeter: Well played PV Sindhu and thank you Pulllela Gopichand for giving us first silver medal in olympic badminton. Thank you",160
"RT @FirstpostSports: #Rio2016 
@Pvsindhu1 will have to punch above her weight again to counter Carolina Marin
https://t.co/07Lwr6gg44 https‚Ä¶",160
"RT @dineshgrao: Superbly competitive was PV Sindhu..all Indians will cherish your performance &amp; remember for a long time. Congrats!!",160
"RT @gurkeeratmann22: This was definitely a classic match ! Proud of PV Sindhu",160
"First Indian woman to win an Olympic silver

Youngest individual Olympic medallist from India

Congrats @Pvsindhu1!

https://t.co/ksXVPLQ3CV",160
"RT @SRKswarrior1: She might not win the gold but PV Sindhu is India's Gold",159
"RT @ANI_news: Delhi:Yogeshwar Dutt's mother Sushila Devi offers prayers at Gauri Shankar temple for success of her son &amp; PV Sindhu https://‚Ä¶",159
"RT @renukash: PV Sindhu what a fight you put up &amp; extra admiration for the warm hug you gave Marin after she won. Sportsman spirit at its b‚Ä¶",158
"RT @SirJadejaaaa: Mark My Words. One Medal Is Assured For India In #Rio2016, PV Sindhu Will Do It For Sure. Proud Of You. #badminton 

RT I‚Ä¶",158
"RT @MehrTarar: Congratulations, PV Sindhu for making badminton such an exciting and watchable game!
More power to you, and a gold next time",157
"RT @ANI_news: Hyd: Fans cheer as PV Sindhu wins first game 21-19 against Spain's Carolina Marin in women's singles final #Rio2016 https://t‚Ä¶",156
"RT @CatchNews: While everyone waits for PV Sindhu's match, another Indian is quietly making a mark in her event. #AditiAshok #golf https://‚Ä¶",155
"RT @KirenRijiju: Asha Bhosle ji &amp; I jointly wish Bharat Ki Beti PV Sindhu 4 the final from remote Arunachal Pradesh. Go for the GoldÌ†ΩÌ±ç https‚Ä¶",155
"RT @FirstpostSports: #PVSindhu, waiting for you to join the club, says @Abhinav_Bindra as Twitter erupts with joy
https://t.co/eZ8mAyEDuv h‚Ä¶",155
"RT @IndiaToday: Badminton Association of India announces a reward of Rs 50 Lakh for #Rio2016 #Silver medallist #PVSindhu https://t.co/CGEri‚Ä¶",154
"RT @SunRisers: Congratulations PV Sindhu on winning the silver medal and making Hyderabad proud. #OrangeArmy #HYDOrangeAce #India https://t‚Ä¶",153
"RT @dna: 'Your accomplishment is historic,' PM Modi lauds #PVSindhu https://t.co/fn9JyYhRcA https://t.co/0rW3PEKGi1",153
"RT @ajit_bhaskar: RT if you love Sindhu. After all...
PV = nRT.",152
"RT @GabbbarSingh: 4. Dipa Karmakar
3. Sakshi Malik
2. PV Sindhu
1. ________

Will wait for another girl to fill that in 2020. #Rio2016",151
"RT @FirstpostSports: Men's #racewalking update! #IND's Sandeep Kumar finishes 35th with a timing of 4:07:55 #Rio2016 #Athletics https://t.c‚Ä¶",150
"RT @CNNnews18: #PVSindhu - #IND's badminton heroine in #RioOlympics2016. Take a bow! 
https://t.co/5Xgjokl0ve",150
"RT @morphineworld: Our golden girl @Pvsindhu1 shows her respect for the game by picking up Carolina Marin https://t.co/MwfZA9qDEr",150
"#PVSindhu - #IND's badminton heroine in #RioOlympics2016. Take a bow! 
https://t.co/5Xgjokl0ve",150
"RT @Krishn_: What a beautiful, fantastic piece. Sharda Ugra, like the women she's written about, is peerless. https://t.co/RrGNy8dipI",150
"RT @TPadmaRao: Congratulations PV Sindhu on entering Into the Finals. Entire nation is proud of you. @Pvsindhu1 #RioOlympics2016 https://t.‚Ä¶",150
"RT @IExpressSports: #Rio2016

PV Sindhu can't get to a middle of the court shot and the Spaniard wins it 19-21, 21-12, 21-15

LIVE: https:/‚Ä¶",150
"RT @NarangVipin: Hell yes:

https://t.co/y7cwRNa5qb",150
"RT @dna: #Rio2016  From @Abhinav_Bindra to @virendersehwag : Sporting fraternity hails PV Sindhu's silver  https://t.co/mo8swAYPSw",150
"RT @manjit__singh: You make us proud @Pvsindhu1 !! Well played https://t.co/J80S8BjYNK #Rio2016  #MSGblessing",150
"RT @TheLallantop: An open letter to our very own PV Sindhu #silver #Olympics
CC: @bhogleharsha @Abhinav_Bindra
https://t.co/sUM9QBTn7r http‚Ä¶",150
"An open letter to our very own PV Sindhu #silver #Olympics
CC: @bhogleharsha @Abhinav_Bindra
https://t.co/sUM9QBTn7r https://t.co/9nMYl6NwkF",150
"#Rio2016  From @Abhinav_Bindra to @virendersehwag : Sporting fraternity hails PV Sindhu's silver  https://t.co/mo8swAYPSw",150
"Our golden girl @Pvsindhu1 shows her respect for the game by picking up Carolina Marin https://t.co/MwfZA9qDEr",150
"RT @TriptiShukla_: Historic memorable moment at RIO,

Missed Gold by a nook, 

21 yr old, PV Sindhu showed amazing game.

Salute Ì†ΩÌ±ÆÌ†ΩÌ±ã

India‚Ä¶",150
"RT @ISaurabhBhrdwaj: PV Sindhu Rocks..
Won 1st Set..
#SindhuForGold",150
"RT @shobha_oza: Rio Olympics: Shobha Oza congratulates PV Sindhu https://t.co/VX4MRh31Wm",150
"RT @gmscrailway: Congrats PV Sindhu for making nation &amp; Rlys proud by winning #silver medal  #Rio2016 @sureshpprabhu @RailMinIndia https://‚Ä¶",150
"RT @narendramodi177: Congratulations  #PVSindhu settles for silver medal, We are Proud of you Sindhu
https://t.co/9q9lf85iq2
#SindhuForGold‚Ä¶",149
"RT @Shakti_Shetty: Silver for PV Sindhu.
Gold for the spirit of Olympics.",148
"RT @IndiaToday: ""You have won our hearts with the splendid performance.""  #PVSindhu https://t.co/huRGrqaU53 #Silver",147
"""You have won our hearts with the splendid performance.""  #PVSindhu https://t.co/huRGrqaU53 #Silver",147
"RT @IndiaToday: #Rio2016 Badminton Association of India announces a reward of Rs 10 Lakh for #PVSindhu's coach Pullela Gopichand https://t.‚Ä¶",146
"RT @mvmeet: PV Sindhu wins SILVER
But her performance was GOLD

#PVSindhu 
#SindhuForGold https://t.co/ANar2YdFr0",146
"RT @IndiaToday: ""I really fought very hard and gave my heart out."" https://t.co/HQJ7d9qL7O #PVSindhu",145
"""I really fought very hard and gave my heart out."" https://t.co/HQJ7d9qL7O #PVSindhu",145
"RT @HaramiParindey: PV Sindhu, 1st badminton player from India to win the Olympics #Silver medal. The entire nation is proud of you. A HERO‚Ä¶",145
"RT @IExpressSports: PV Sindhu‚Äôs #Rio2016 silver to be followed by Khel Ratna award

Read: https://t.co/3AMrMgqU5N https://t.co/kScTkSWqVY",144
"RT @IndiaToday: #PVSindhu I am your fan, says superstar Rajinikanth https://t.co/Vcpdxr2RAh",143
"RT @IndiaToday: #Rio2016 Women's Singles Badminton Final: PV Sindhu loses to Carolina Marin 21-19, 12-21, 15-21, settles for SILVER https:/‚Ä¶",143
"RT @TimesNow: What she(PV Sindhu) performed here under pressure is phenomenal:coach Gopichand #SindhuForGold #Rio2016 #GoldRushRio https://‚Ä¶",143
"#PVSindhu I am your fan, says superstar Rajinikanth https://t.co/Vcpdxr2RAh",143
"RT @scoopwhoopnews: Saying it again. Round of applause for #GopiChand.

Bronze in London, Silver in Rio!

https://t.co/Uqqv5j2VLI https://t‚Ä¶",143
"RT @rakshakdoga: Congratulations to PV Sindhu Ì†ΩÌ±è for getting Silver in badminton and making Every Indian Proud .You gave it tough .Ì†ΩÌ±èÌ†ΩÌ±è https:‚Ä¶",142
