"tweet","retweets"
"RT @markfish74: well done Wayne van niekerk...awesome brother...just showed what talent and hard work gives you. ...Proudly South African!",25
"well done Wayne van niekerk...awesome brother...just showed what talent and hard work gives you. ...Proudly South African!",25
"RT @miss_moss: did you know #WaydevanNiekerk donated R500,000 to the Groote Schuur neonatal unit, as he was a premie baby? amazing. https:/‚Ä¶",24
"did you know #WaydevanNiekerk donated R500,000 to the Groote Schuur neonatal unit, as he was a premie baby? amazing. https://t.co/pTYS4yA0Zv",24
"RT @mooshLIVE: To round up our profile of South African athletes with one of Wayne Van Niekerk who has an impressive C.V #GoForGold https:/‚Ä¶",24
"RT @Daryn_H: Officially going nuts!!!! Wayne Van Niekerk winning the #GoldÌ†ºÌøÖin the 400m in NEW WORLD RECORD! #Olympics #RSA https://t.co/ZZg‚Ä¶",24
"RT @CorneKrige6: Wow! Wayne van Niekerk wins Gold in a World record time. ÌÆ∏Ìº∞ https://t.co/92laRC07tt",24
"Wow! Wayne van Niekerk wins Gold in a World record time. ÌÆ∏Ìº∞ https://t.co/92laRC07tt",24
"Officially going nuts!!!! Wayne Van Niekerk winning the #GoldÌ†ºÌøÖin the 400m in NEW WORLD RECORD! #Olympics #RSA https://t.co/ZZgSr4l5b6",24
"To round up our profile of South African athletes with one of Wayne Van Niekerk who has an impressive C.V #GoForGold https://t.co/saVsAKPHjR",24
"RT @FOXSports: #RSA's Wayne Van Niekerk (43.03 sec) destroys Michael Johnson's world record to win gold in the 400m. #USA's LaShawn Merritt‚Ä¶",23
"#RSA's Wayne Van Niekerk (43.03 sec) destroys Michael Johnson's world record to win gold in the 400m. #USA's LaShawn Merritt wins bronze.",23
"RT @RomanCabanac: I'm not into hero worship but @WaydeDreamer, in my view, is a hero.  https://t.co/ZFVUAuUtPz",22
"I'm not into hero worship but @WaydeDreamer, in my view, is a hero.  https://t.co/ZFVUAuUtPz",22
"RT @colecubelic: Wayne van Niekerk sporting the Richard Mille RM 27-02 Tourbillon while setting the World record in the 400m.

Retails for‚Ä¶",22
"RT @MarksMaponyane: Wayne Van Niekerk made me a proud South African  once more, then the undisputed Worlds greatest, the flamboyant, magnif‚Ä¶",22
"Wayne Van Niekerk made me a proud South African  once more, then the undisputed Worlds greatest, the flamboyant, magnificent  Bolt struck!",22
"RT @pkelso: Wayne Van Niekerk wins 400m gold from lane 8 in world record 43:03. LaShawn Merritt among those in his vapour trail",22
"Wayne van Niekerk sporting the Richard Mille RM 27-02 Tourbillon while setting the World record in the 400m.

Retails for $800,000
#Olympics",22
"Wayne Van Niekerk wins 400m gold from lane 8 in world record 43:03. LaShawn Merritt among those in his vapour trail",22
"RT @GrantWahl: I know it's sacrilege, but Van Niekerk running a 43.03 400 WR from the 8th lane was even more impressive than Bolt tonight.",21
"RT @TaxiDriverSipho: Welldone Wayne Van Niekerk...thank you DA",20
"Welldone Wayne Van Niekerk...thank you DA",20
