"tweet","retweets"
"RT @SkyNews: Historic Gold Medal For British Golfer Justin Rose In Rio https://t.co/SxXspVG9u3",125
"RT @MailSport: BREAKING: #GBR's Max Whitlock is now a DOUBLE Olympic champion after winning #gold in the men's pommel horse https://t.co/OS‚Ä¶",124
"RT @NBCOlympics: .@maxwhitlock1 wins 2nd #gold of day in pommel horse, #bronze for @TeamUSA's @Alex_Naddour! https://t.co/KC0kyXBeOK https:‚Ä¶",123
"RT @BBCSport: History maker Ì†ΩÌπå

Max Whitlock with GB's first ever gymnastics Olympic gold!

https://t.co/oxi7eLlYAH https://t.co/5yzcJUd9OT",122
"RT @clarebalding: What an extraordinary day of Olympic sport. Well done Andy Murray, Max Whitlock, Justin Rose and Jason Kenny Ì†ºÌøÖÌ†ºÌøÖÌ†ºÌøÖÌ†ºÌøÖÌ†ºÌøÖ #bbcri‚Ä¶",121
"What an extraordinary day of Olympic sport. Well done Andy Murray, Max Whitlock, Justin Rose and Jason Kenny Ì†ºÌøÖÌ†ºÌøÖÌ†ºÌøÖÌ†ºÌøÖÌ†ºÌøÖ #bbcrio2016",121
"RT @GabbyLogan: Max Whitlock history maker. Best G so far for me. Pass me a tissue....",120
"RT @exitthelemming: The only gymnast to make two individual finals, and he's won them both. Max Whitlock, officially brilliant Ì†ºÌøÖÌ†ºÌøÖ",119
"RT @em_john: So, the big moment has come. Louis v Max in the pommel final. You wont have time to read this before they finish: https://t.co‚Ä¶",118
"RT @MailSport: Super Sunday! From Farah to Murray, how Great Britain won SIX #gold medals in 24 hours https://t.co/gR1TO9xcSm https://t.co/‚Ä¶",118
"RT @europafreunde: Louis Smith, descendant of non-European migrants, calls fellow team mate's gold medal win ""bullshit"" https://t.co/2wdbYo‚Ä¶",118
"Louis Smith, descendant of non-European migrants, calls fellow team mate's gold medal win ""bullshit"" https://t.co/2wdbYopznW",118
"RT @_NoitsBecky: ""Max Whitlock can backflip into my bed any day"" (@lauren_warnerx, 2016)",118
"RT @PA: Max Whitlock admits he had ""completely outdone"" expectations with two golds https://t.co/gxmxgTnfz9 https://t.co/frH3v63xlO",118
"RT @CapitalLivNews: Five #gold medals for #TeamGB yesterday... two for Max Whitlock and one for Andy Murray, Justin Rose and Jason Kenny ht‚Ä¶",118
"Super Sunday! From Farah to Murray, how Great Britain won SIX #gold medals in 24 hours https://t.co/gR1TO9xcSm https://t.co/tRpRBj7REm",118
"RT @PAImages: #TeamGB's Max Whitlock celebrates winning his 2nd #Gold of the day. #gymnastics https://t.co/ZhZnVq4MmQ",118
"RT @guardian_sport: #Olympics daily briefing: #gold after gold for Bolt, Murray and Whitlock. By @Claire_Phipps https://t.co/8EACm7cI7H htt‚Ä¶",118
"RT @PipeDownAlice: Max Whitlock won two golds in 90 mins, sometimes it takes me that long to get out of bed Ì†ºÌøÖÌ†ºÌøÖ #Rio2016 #gymnastics #welldo‚Ä¶",118
"#Olympics daily briefing: #gold after gold for Bolt, Murray and Whitlock. By @Claire_Phipps https://t.co/8EACm7cI7H https://t.co/tkux28PxbM",118
"RT @LottoGoodCauses: DOUBLE #GOLD! Max Whitlock does it again! What an amazing day for Max and @TeamGB #IAmTeamGB https://t.co/VLtUs8rNUV",118
"Five #gold medals for #TeamGB yesterday... two for Max Whitlock and one for Andy Murray, Justin Rose and Jason Kenny https://t.co/i4fLNJeUn4",118
"RT @intlgymnast: Mighty Max Whitlock takes his second gold of the day on pommel horse! Louis Smith wins silver again, his third... https://‚Ä¶",118
"RT @danromani: This guy is a legend. That is all. Max Whitlock. #TeamGB #Rio2016 #DoubleGold #OlympicChampion https://t.co/5pKb30Sntd",118
"RT @tgoodmanh: Seriously, #TeamGB this is getting silly. Max Whitlock and Louis Smith owning #Rio2016",118
"Max Whitlock  Weird Texts https://t.co/aINBHwDiOS",118
"RT @DiDougherty1: Max Whitlock and Louis Smith gold and silver respectively. Incredible athletes. Brilliant to watch #TeamGB #Rio2016 bravo‚Ä¶",118
"RT @abcdellis_: officially turning into a Max Whitlock stan account",118
"""Max Whitlock can backflip into my bed any day"" (@lauren_warnerx, 2016)",118
"RT @NBCSports: #GBR's Max Whitlock wins gold in men's floor final #rio2016 https://t.co/cBeopnO9tc https://t.co/3aB4DFyzj9",118
"RT @BBCSport: It's another big day! 

Usain Bolt, Max Whitlock &amp; Andy Murray are all in action!

Schedule:
https://t.co/nrvh8BXOKr https://‚Ä¶",117
"RT @TeamGB: #Win a #TeamGB Ì†ºÌ∑¨Ì†ºÌ∑ß top signed by 2‚É£ times Olympic GOLD Ì†æÌµá medallist, Max Whitlock! Ì†ºÌæâÌ†ΩÌ±â https://t.co/hEuE61CLDO https://t.co/G0K2Eb‚Ä¶",116
"RT @theliukin: When you win back-to-back gold medals in a span of an hour. Just Max Whitlock things.",116
"#Win a #TeamGB Ì†ºÌ∑¨Ì†ºÌ∑ß top signed by 2‚É£ times Olympic GOLD Ì†æÌµá medallist, Max Whitlock! Ì†ºÌæâÌ†ΩÌ±â https://t.co/hEuE61CLDO https://t.co/G0K2Eb4IOR",116
"RT @BleacherReport: Max Whitlock won the floor exercise with a score of 15.633.

#GBR's first gymnastics #gold medal at the #Olympics https‚Ä¶",116
"RT @itvnews: Max Whitlock wins gold in men's floor gymnastics at #Rio2016 https://t.co/1CzD2NnNfq https://t.co/GfMkmfyPUG",116
"RT @TelegraphSport: Max Whitlock becomes #GBR's first ever Olympic #gymnastic champion 
https://t.co/WHAi9cmy01 https://t.co/Wl5u9pNbpY",115
"RT @bet365: No #GBR athlete had ever won #Gold in Gymnastics before today.

Max Whitlock now has 2. Ì†ΩÌ±è https://t.co/PHHC5IfOjw",115
"RT @olympicchannel: #Gold Max Whitlock #GBR &gt; Men‚Äôs Floor Exercise #Gymnastics #Rio2016 Ì†ΩÌ±èÌ†ΩÌ±èÌ†ΩÌ±è https://t.co/WnzZ8Npo3C",114
"RT @CJPhillips1982: Coach Scott Hann on Max Whitlock's success https://t.co/iZilU0yD6F @Essex_Echo @hannzed @maxwhitlock1 https://t.co/ae2Y‚Ä¶",113
"Coach Scott Hann on Max Whitlock's success https://t.co/iZilU0yD6F @Essex_Echo @hannzed @maxwhitlock1 https://t.co/ae2YtbmeHl",113
"RT @IndySport: Veronica Campbell-Brown runs out of her lane during the 200m heats and risks disqualification https://t.co/EkW1rh1VN2",113
"RT @MTVUK: Twitter has lost it over possible beef between @louissmith1989¬†and @maxwhitlock1¬†#Olympics https://t.co/MdOu1n1OOh https://t.co/‚Ä¶",113
"RT @amarab04: Max Whitlock is so fit I can't Ì†ΩÌ∏ç",113
"RT @BBCNewsEnts: Max Whitlock's second gold medal ceremony watched was by more than 10m people #Olympics https://t.co/rd32BVihXR",113
"RT @BBCEssex: Max Whitlock tell us he can't wait to be back in Essex to celebrate winning TWO Olympic gold medals #Rio2016 Ì†ºÌ∑¨Ì†ºÌ∑ßÌ†ºÌøÖÌ†ºÌøÖ https://t.c‚Ä¶",113
"Max Whitlock's second gold medal ceremony watched was by more than 10m people #Olympics https://t.co/rd32BVihXR",113
"Max Whitlock tell us he can't wait to be back in Essex to celebrate winning TWO Olympic gold medals #Rio2016 Ì†ºÌ∑¨Ì†ºÌ∑ßÌ†ºÌøÖÌ†ºÌøÖ https://t.co/aUQHKCv5Q5",113
"RT @MichaelMarmot: Cf GB Olympic sports and Football. Research question: public funding better guarantee of national success https://t.co/V‚Ä¶",113
"Veronica Campbell-Brown runs out of her lane during the 200m heats and risks disqualification https://t.co/EkW1rh1VN2",113
"RT @5liveSport: ""Whoooooo!"" 

@craigdavidheap shows how much Max Whitlock's historic first #gold means 

https://t.co/wsRgXBhdLY https://t.‚Ä¶",113
