"emotion","polarity","score"
"joy","positive",4
"joy","neutral",0
"joy","negative",2
"joy","negative",1
"unknown","negative",1
"joy","negative",1
"unknown","positive",0
"joy","neutral",0
"joy","positive",1
"unknown","positive",1
"unknown","positive",1
"joy","negative",1
"joy","neutral",1
"joy","neutral",2
"unknown","positive",0
"unknown","positive",1
"joy","neutral",2
"joy","neutral",0
"joy","neutral",1
"unknown","positive",4
"unknown","positive",0
"unknown","positive",0
"joy","neutral",0
"unknown","neutral",0
"unknown","neutral",-1
"unknown","positive",1
"fear","negative",0
"unknown","neutral",0
"unknown","positive",2
"unknown","neutral",0
"joy","positive",1
"joy","positive",1
"joy","positive",1
"joy","neutral",0
"unknown","positive",0
"unknown","positive",1
"joy","negative",0
"joy","positive",2
"joy","neutral",2
"joy","negative",2
"unknown","positive",0
"joy","neutral",2
"joy","positive",0
"joy","negative",0
"unknown","positive",1
"joy","negative",1
"anger","neutral",1
"unknown","positive",1
"joy","positive",2
"unknown","positive",0
"joy","neutral",1
"joy","positive",2
"unknown","positive",1
"joy","neutral",1
"joy","neutral",2
"unknown","positive",0
"joy","neutral",1
"joy","positive",2
"unknown","positive",0
"unknown","positive",0
"joy","negative",-1
"unknown","positive",0
"joy","neutral",0
"unknown","positive",1
"joy","negative",0
"unknown","positive",1
"joy","positive",2
"unknown","positive",1
"joy","neutral",2
"unknown","negative",0
"joy","neutral",1
"joy","neutral",0
"anger","neutral",2
"unknown","positive",0
"unknown","negative",-1
"unknown","positive",0
"joy","negative",0
"unknown","positive",0
"joy","negative",0
"unknown","negative",0
"unknown","positive",0
"unknown","positive",3
"unknown","positive",1
"joy","neutral",2
"unknown","positive",1
"unknown","positive",0
"unknown","positive",2
"unknown","positive",1
"unknown","neutral",0
"unknown","positive",-1
"unknown","positive",0
"joy","neutral",1
"joy","neutral",1
"joy","positive",4
"unknown","positive",1
"unknown","positive",3
"joy","negative",0
"unknown","positive",0
"joy","neutral",1
"unknown","positive",0
"joy","neutral",2
"joy","neutral",4
"joy","neutral",1
"joy","neutral",2
"joy","neutral",1
"unknown","positive",4
"joy","neutral",2
"unknown","neutral",-1
"joy","neutral",3
"joy","neutral",1
"joy","neutral",1
"unknown","positive",2
"unknown","positive",0
"joy","negative",0
"unknown","positive",0
"joy","neutral",2
"joy","neutral",1
"unknown","positive",2
"unknown","positive",0
"unknown","neutral",1
"unknown","positive",2
"unknown","positive",2
"unknown","positive",0
"unknown","negative",0
"joy","neutral",2
"joy","negative",2
"joy","negative",0
"joy","neutral",0
"joy","neutral",1
"unknown","positive",0
"unknown","positive",2
"joy","neutral",0
"unknown","positive",0
"joy","positive",2
"joy","positive",1
"unknown","negative",-1
"joy","neutral",1
"unknown","positive",0
"joy","negative",0
"unknown","positive",1
"unknown","negative",0
"joy","positive",0
"joy","neutral",1
"unknown","neutral",1
"joy","neutral",1
"unknown","negative",-1
"joy","neutral",0
"joy","neutral",1
"unknown","positive",0
"unknown","positive",2
"unknown","positive",1
"unknown","positive",1
"anger","neutral",2
"unknown","positive",0
"unknown","positive",1
"joy","positive",1
"unknown","positive",1
"joy","negative",-1
"joy","negative",0
"joy","neutral",1
"joy","neutral",2
"unknown","positive",0
"unknown","positive",2
"unknown","negative",1
"unknown","positive",1
"unknown","positive",1
"unknown","positive",1
"joy","neutral",1
"joy","neutral",1
"unknown","positive",0
"unknown","positive",0
"joy","neutral",2
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","negative",1
"unknown","positive",1
"unknown","positive",0
"unknown","positive",1
"joy","positive",2
"unknown","negative",0
"unknown","positive",0
"joy","neutral",1
"joy","positive",2
"unknown","negative",1
"unknown","positive",0
"unknown","positive",1
"joy","neutral",5
"joy","neutral",3
"unknown","positive",1
"joy","positive",1
"joy","neutral",2
"joy","negative",0
"unknown","neutral",5
"unknown","positive",0
"unknown","negative",-1
"joy","neutral",1
"unknown","positive",0
"unknown","positive",0
"joy","neutral",2
"anger","positive",2
"joy","neutral",2
"joy","negative",3
"unknown","positive",0
"joy","neutral",4
"unknown","positive",0
"unknown","positive",0
"joy","neutral",2
"unknown","positive",1
"joy","negative",0
"unknown","neutral",1
"unknown","positive",1
"joy","neutral",1
"unknown","positive",1
"unknown","positive",1
"joy","negative",0
"joy","neutral",3
"unknown","positive",0
"unknown","neutral",0
"joy","neutral",2
"unknown","positive",2
"joy","negative",0
"unknown","positive",0
"joy","neutral",1
"unknown","positive",0
"joy","neutral",0
"unknown","positive",0
"joy","positive",1
"unknown","positive",2
"joy","negative",0
"unknown","positive",2
"unknown","positive",1
"joy","neutral",2
"unknown","positive",0
"joy","positive",1
"joy","positive",1
"joy","neutral",1
"unknown","positive",0
"unknown","positive",1
"unknown","positive",0
"joy","negative",0
"unknown","positive",0
"surprise","positive",2
"unknown","positive",1
"joy","neutral",2
"joy","negative",1
"unknown","neutral",1
"joy","neutral",0
"unknown","positive",0
"joy","neutral",1
"unknown","neutral",0
"joy","neutral",2
"joy","negative",0
"joy","neutral",0
"joy","neutral",3
"joy","neutral",0
"unknown","neutral",0
"joy","positive",1
"joy","neutral",0
"joy","neutral",1
"anger","positive",2
"joy","negative",-2
"joy","positive",2
"anger","positive",0
"joy","neutral",2
