"emotion","polarity","score"
"unknown","neutral",0
"sadness","neutral",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","negative",0
"unknown","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",2
"unknown","negative",0
"unknown","negative",0
"unknown","negative",0
"unknown","positive",0
"joy","positive",1
"unknown","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","neutral",1
"sadness","negative",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","neutral",-1
"unknown","negative",-2
"unknown","positive",0
"unknown","positive",2
"unknown","positive",1
"surprise","positive",1
"joy","negative",-1
"unknown","positive",0
"surprise","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","neutral",1
"unknown","negative",0
"unknown","positive",0
"unknown","negative",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"joy","positive",1
"unknown","positive",-1
"unknown","positive",0
"unknown","negative",0
"unknown","negative",0
"unknown","positive",0
"unknown","neutral",0
"unknown","neutral",0
"unknown","positive",1
"unknown","positive",0
"unknown","positive",1
"unknown","positive",1
"unknown","positive",0
"unknown","negative",0
"unknown","neutral",0
"unknown","positive",0
"sadness","positive",1
"unknown","negative",0
"unknown","positive",1
"unknown","positive",0
"unknown","neutral",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",1
"joy","positive",1
"unknown","negative",0
"unknown","positive",0
"unknown","negative",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","negative",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","neutral",0
"unknown","negative",1
"unknown","positive",1
"unknown","positive",0
"joy","positive",4
"joy","positive",0
"unknown","positive",0
"unknown","positive",0
"joy","positive",1
"unknown","negative",0
"unknown","positive",0
"unknown","positive",0
"sadness","neutral",0
"joy","positive",2
