"emotion","polarity","score"
"unknown","positive",3
"unknown","positive",2
"unknown","positive",2
"unknown","positive",3
"joy","positive",3
"unknown","positive",1
"unknown","negative",1
"joy","positive",3
"unknown","positive",2
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",0
"unknown","positive",2
"unknown","positive",1
"unknown","positive",0
"unknown","positive",1
"unknown","positive",0
"unknown","negative",3
"unknown","positive",1
"unknown","positive",1
"unknown","positive",1
"unknown","positive",1
"joy","positive",3
"unknown","positive",1
"unknown","positive",1
"unknown","positive",0
"unknown","positive",1
"unknown","positive",1
"unknown","positive",2
"unknown","positive",1
"unknown","positive",1
"unknown","positive",2
"joy","positive",1
"unknown","negative",2
"unknown","positive",3
"unknown","positive",3
"unknown","positive",2
"unknown","positive",3
"joy","positive",1
"unknown","positive",0
"unknown","positive",2
"unknown","neutral",0
"unknown","positive",1
"joy","positive",4
"joy","positive",4
"joy","positive",3
"joy","positive",1
"joy","neutral",0
"unknown","positive",1
"unknown","positive",1
"unknown","positive",0
"unknown","positive",1
"joy","positive",1
"unknown","positive",1
"unknown","positive",2
"unknown","positive",1
"unknown","positive",2
"fear","positive",0
"unknown","neutral",2
"unknown","positive",1
"unknown","positive",1
"unknown","positive",1
"unknown","positive",2
"unknown","positive",1
"unknown","positive",2
"unknown","positive",2
"unknown","positive",1
"unknown","positive",1
"unknown","positive",1
"unknown","positive",1
"surprise","positive",2
"unknown","positive",2
"unknown","positive",1
"unknown","positive",2
"unknown","positive",2
"unknown","positive",0
"unknown","negative",2
"unknown","positive",2
"unknown","positive",1
"unknown","positive",2
"unknown","positive",2
"unknown","positive",2
"unknown","positive",2
"unknown","positive",0
"unknown","positive",2
"unknown","positive",1
"unknown","positive",2
"unknown","positive",1
"unknown","positive",2
"unknown","positive",1
"unknown","positive",1
"joy","positive",3
"unknown","positive",1
"unknown","negative",1
"unknown","positive",2
"unknown","positive",1
"unknown","positive",1
"unknown","positive",2
"unknown","positive",1
"joy","positive",3
"unknown","positive",1
"unknown","positive",0
"unknown","positive",1
"joy","positive",3
"unknown","positive",1
"unknown","positive",1
"unknown","positive",1
"unknown","positive",2
"unknown","negative",1
"unknown","positive",1
"unknown","positive",1
"unknown","positive",2
"unknown","positive",0
"unknown","positive",0
"unknown","positive",2
"unknown","positive",1
"unknown","positive",1
"unknown","positive",1
"unknown","positive",1
"unknown","positive",2
"unknown","positive",1
"unknown","positive",2
"unknown","positive",1
"surprise","positive",1
"unknown","positive",0
"unknown","negative",0
"joy","positive",3
"unknown","positive",2
"unknown","positive",1
"anger","negative",1
"unknown","positive",1
"unknown","positive",2
"unknown","negative",1
"unknown","positive",2
"unknown","positive",0
"unknown","positive",2
"unknown","positive",1
"unknown","positive",1
"unknown","positive",0
"unknown","positive",2
"unknown","neutral",1
"unknown","positive",3
"unknown","positive",3
"unknown","positive",0
"unknown","positive",1
"unknown","positive",2
"unknown","positive",1
"unknown","positive",2
"unknown","positive",2
"unknown","positive",0
"unknown","positive",0
"unknown","positive",3
"unknown","positive",0
"unknown","positive",2
"unknown","positive",0
"unknown","positive",1
"unknown","positive",1
"unknown","positive",1
"unknown","positive",0
"unknown","positive",0
"unknown","positive",2
"unknown","positive",1
"unknown","positive",2
"unknown","positive",2
"unknown","positive",0
"unknown","positive",0
"joy","positive",3
"unknown","positive",1
"unknown","positive",1
"unknown","positive",3
"unknown","positive",2
"unknown","positive",1
"unknown","positive",2
"unknown","positive",4
"joy","positive",1
"unknown","positive",0
"unknown","negative",3
"unknown","negative",3
"unknown","negative",-1
"unknown","positive",0
"unknown","positive",2
"unknown","positive",0
"unknown","positive",0
"unknown","positive",2
"unknown","positive",1
"unknown","positive",1
"unknown","positive",4
"unknown","positive",2
"unknown","negative",3
"unknown","positive",1
"unknown","positive",1
"unknown","negative",1
"unknown","positive",1
"joy","positive",3
"unknown","positive",2
"unknown","positive",0
